motion_summary,lhs_family,rhs_family,scale_id,latent,k,incremental_gain_delta_neg_mse,ci95_low,ci95_high,n_images,n_sessions,scale,candidate_metric,candidate,family,incremental_gain_neg_mse,observer,static_summary,trace_samples_per_image,sample_rows
delta_mean,,,rel_0p25x,pyramid_local_field,16,,-2.953598404202044,0.5926853438857106,384,30,0.25,power_rerun_absolute_gain_known_eye,4B_candidate_3_power_rerun_absolute_gain,rotated,-1.1953114795163158,,,,
delta_mean,,,rel_0p25x,pyramid_local_field,16,,-7.008963245202503,-3.4977400447639475,384,30,0.25,pose_unaware_hidden_samples_proxy,4B_candidate_3_power_rerun_absolute_gain,pose_unaware,-5.288819952074167,pose_unaware_train_mean_test_hidden_samples,mean,8.0,3072.0
delta_mean,,,rel_0p5x,pyramid_local_field,16,,-6.173523671555484,-2.621541956249318,384,30,0.5,pose_unaware_hidden_samples_proxy,4B_candidate_3_power_rerun_absolute_gain,pose_unaware,-4.41478937529601,pose_unaware_train_mean_test_hidden_samples,mean,8.0,3072.0
delta_mean,,,rel_1x,pyramid_local_field,16,,-4.093398774128936,-1.2696391220937042,384,30,1.0,pose_unaware_hidden_samples_proxy,4B_candidate_3_power_rerun_absolute_gain,pose_unaware,-2.7444950621732205,pose_unaware_train_mean_test_hidden_samples,mean,8.0,3072.0
delta_mean,,,rel_1p5x,pyramid_local_field,16,,-3.000790492627769,-0.3896237641451723,384,30,1.5,pose_unaware_hidden_samples_proxy,4B_candidate_3_power_rerun_absolute_gain,pose_unaware,-1.687078768188044,pose_unaware_train_mean_test_hidden_samples,mean,8.0,3072.0
delta_mean,,,rel_2x,pyramid_local_field,16,,-3.1210729903911867,-0.5118604864379785,384,30,2.0,pose_unaware_hidden_samples_proxy,4B_candidate_3_power_rerun_absolute_gain,pose_unaware,-1.791612094223623,pose_unaware_train_mean_test_hidden_samples,mean,8.0,3072.0
delta_mean,,,rel_1x,pyramid_local_field,16,,0.581022617737828,3.049441672827118,384,30,1.0,gain_over_static,4B_candidate_4_k16_tworeadout_preview,empirical,1.757409044700655,,,,
delta_mean,,,rel_2x,pyramid_local_field,16,,0.9823170880560456,3.401769281939335,384,30,2.0,gain_over_static,4B_candidate_4_k16_tworeadout_preview,empirical,2.2251013852144785,,,,
delta_mean,,,rel_0p5x,pyramid_local_field,16,,-1.349854892086171,1.7650245602980308,384,30,0.5,gain_over_static,4B_candidate_4_k16_tworeadout_preview,empirical,0.1597708351172865,,,,
delta_mean,,,rel_1p5x,pyramid_local_field,16,,0.9406788472583753,3.3092682713006325,384,30,1.5,gain_over_static,4B_candidate_4_k16_tworeadout_preview,empirical,2.1457256589268607,,,,
delta_mean,,,rel_0p25x,pyramid_local_field,16,,-2.165850290681381,0.9297419433176384,384,30,0.25,gain_over_static,4B_candidate_4_k16_tworeadout_preview,empirical,-0.648128027795466,,,,
delta_mean,empirical,brownian,rel_1x,pyramid_local_field,16,0.6605923201108778,-0.0592831590525538,1.3424134300928492,384,30,1.0,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,rotated,rel_1x,pyramid_local_field,16,0.5919391804374559,-0.0719300117124547,1.3443085563522663,384,30,1.0,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,brownian,rel_2x,pyramid_local_field,16,0.601981555842206,-0.2773902587402722,1.565584546481561,384,30,2.0,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,rotated,rel_2x,pyramid_local_field,16,0.6965390090788408,-0.3191801597423038,2.029842640315912,384,30,2.0,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,brownian,rel_0p5x,pyramid_local_field,16,-0.487732100734324,-1.3027475502650343,0.2691268830593955,384,30,0.5,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,rotated,rel_0p5x,pyramid_local_field,16,0.4906826833060836,-0.2276581021561806,1.296540436709013,384,30,0.5,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,brownian,rel_1p5x,pyramid_local_field,16,0.7919741204089746,-0.0162276420419487,1.7084161664735416,384,30,1.5,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,rotated,rel_1p5x,pyramid_local_field,16,0.2802272525880031,-0.3608033627049883,0.97142851929643,384,30,1.5,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,brownian,rel_0p25x,pyramid_local_field,16,0.089207361226636,-0.7436566385789214,0.921337488621695,384,30,0.25,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
delta_mean,empirical,rotated,rel_0p25x,pyramid_local_field,16,0.5471834517208497,-0.051707464928882,1.1381126900938203,384,30,0.25,empirical_minus_control,4B_candidate_4_k16_tworeadout_preview,,,,,,
