input_mode,decoder_mode,fold,n_train_rows,n_test_rows,train_source,input_dim,latent,feature_space_mode,feature_dim,raw_feature_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_variance_fraction,mlp_hidden_dim,mlp_layers,mlp_dropout,mlp_learning_rate,mlp_weight_decay,mlp_batch_size,mlp_epochs_requested,mlp_epochs_trained,mlp_best_epoch,mlp_best_val_loss,mlp_final_train_loss,mlp_final_val_loss,mlp_n_fit_rows,mlp_n_val_rows,mlp_device,target_standardized_for_training,response_standardized_for_training
augmented_true_tau_interactions,mlp,1,38976,156,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,54,13,0.6098784804344177,0.00654007420165553,0.6527361273765564,32160,6816,cuda,True,True
augmented_zero_static,mlp,1,2436,156,augmented_zero_static_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,42,1,1.65809166431427,0.00011833506141556427,1.9067226648330688,1950,486,cuda,True,True
augmented_known_eye_model,mlp,1,2436,156,augmented_known_eye_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,223,182,0.9431052803993225,8.538009478797903e-05,0.9483203291893005,2004,432,cuda,True,True
observed_plus_continuous_tau,mlp,1,612,156,observed_true_rows,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,41,0,1.0445928573608398,0.0029124078573659062,1.254256010055542,492,120,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,1,612,156,observed_true_rows,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,42,1,1.2429193258285522,0.003974989987909794,1.4009168148040771,492,120,cuda,True,True
zero_static,mlp,1,612,156,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,42,1,1.0539205074310303,0.003240757971070707,1.3838117122650146,492,120,cuda,True,True
known_eye_model,mlp,1,612,156,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,42,1,1.3112610578536987,0.002870817785151303,1.5548315048217773,492,120,cuda,True,True
observed_compact,mlp,2,612,156,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,42,1,1.0659857988357544,0.0022049694089218974,1.2969337701797485,492,120,cuda,True,True
augmented_observed_compact,mlp,2,39264,156,augmented_prior_trajectory_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,49,8,1.0611748695373535,0.0021471388985417664,1.1280033588409424,32160,7104,cuda,True,True
augmented_continuous_tau,mlp,2,39264,156,augmented_prior_trajectory_responses,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,76,35,1.1793822050094604,0.001879207380018973,1.2630534172058105,30624,8640,cuda,True,True
augmented_continuous_tau_interactions,mlp,2,39264,156,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,52,11,1.0369547605514526,0.005398336167369659,1.1612001657485962,30528,8736,cuda,True,True
augmented_true_tau,mlp,2,39264,156,augmented_prior_trajectory_responses,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,50,9,0.9923955202102661,0.0027060087509453296,1.1069034337997437,31968,7296,cuda,True,True
augmented_true_tau_interactions,mlp,2,39264,156,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,46,5,1.3174924850463867,0.010038311014974826,1.4711668491363525,31104,8160,cuda,True,True
augmented_zero_static,mlp,2,2454,156,augmented_zero_static_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,226,185,0.9171801805496216,8.270630587503547e-06,0.9322064518928528,1878,576,cuda,True,True
augmented_known_eye_model,mlp,2,2454,156,augmented_known_eye_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,41,0,1.426241159439087,0.002680671022972092,1.7887077331542969,1962,492,cuda,True,True
observed_plus_continuous_tau,mlp,2,612,156,observed_true_rows,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,41,0,1.0308939218521118,0.0033234336879104376,1.2515289783477783,492,120,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,2,612,156,observed_true_rows,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,41,0,0.9974626302719116,0.003785665496252477,1.2139643430709839,492,120,cuda,True,True
zero_static,mlp,2,612,156,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,46,5,0.9228273034095764,0.0035625805612653494,0.9438868761062622,492,120,cuda,True,True
known_eye_model,mlp,2,612,156,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,41,0,1.4817838668823242,0.0030646681552752852,1.6283820867538452,492,120,cuda,True,True
observed_compact,mlp,3,618,150,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,166,125,0.9592384696006775,0.00013668962128576823,0.9643969535827637,492,126,cuda,True,True
augmented_observed_compact,mlp,3,38304,150,augmented_prior_trajectory_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,42,1,1.4219799041748047,0.002495343587556932,1.5117499828338623,30336,7968,cuda,True,True
augmented_continuous_tau,mlp,3,38304,150,augmented_prior_trajectory_responses,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,72,31,1.260268211364746,0.002247616280025492,1.373264193534851,28992,9312,cuda,True,True
augmented_continuous_tau_interactions,mlp,3,38304,150,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,58,17,1.1720770597457886,0.005669931387368204,1.358869194984436,29568,8736,cuda,True,True
augmented_true_tau,mlp,3,38304,150,augmented_prior_trajectory_responses,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,49,8,0.9476966857910156,0.01015820661011864,1.011536717414856,30432,7872,cuda,True,True
augmented_true_tau_interactions,mlp,3,38304,150,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,47,6,1.889543890953064,0.008427534307188848,2.0000967979431152,30240,8064,cuda,True,True
augmented_zero_static,mlp,3,2394,150,augmented_zero_static_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,42,1,1.1816781759262085,0.0020296877046348527,1.2309871912002563,1878,516,cuda,True,True
augmented_known_eye_model,mlp,3,2394,150,augmented_known_eye_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,42,1,1.0580358505249023,0.0012150710390415043,1.182492971420288,1854,540,cuda,True,True
observed_plus_continuous_tau,mlp,3,618,150,observed_true_rows,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,42,1,0.7662884593009949,0.0028492340352386236,0.8697991967201233,492,126,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,3,618,150,observed_true_rows,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,41,0,1.170946478843689,0.004303985275328159,1.2016243934631348,492,126,cuda,True,True
zero_static,mlp,3,618,150,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,41,0,1.1210930347442627,0.0029289547819644213,1.3356684446334839,492,126,cuda,True,True
known_eye_model,mlp,3,618,150,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6305056792513557,512,4,0.0,0.001,1e-05,256,300,41,0,0.8205329775810242,0.003373292274773121,1.0330932140350342,492,126,cuda,True,True
observed_compact,mlp,4,618,150,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,42,1,1.2438393831253052,0.0028191922465339303,1.4312411546707153,492,126,cuda,True,True
augmented_observed_compact,mlp,4,40416,150,augmented_prior_trajectory_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,57,16,1.0486130714416504,0.0012429349694684788,1.189470887184143,32640,7776,cuda,True,True
augmented_continuous_tau,mlp,4,40416,150,augmented_prior_trajectory_responses,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,43,2,1.2778055667877197,0.002343085908611852,1.4634631872177124,32256,8160,cuda,True,True
augmented_continuous_tau_interactions,mlp,4,40416,150,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,44,3,1.0763615369796753,0.0044554790583233,1.136303186416626,33504,6912,cuda,True,True
augmented_true_tau,mlp,4,40416,150,augmented_prior_trajectory_responses,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,45,4,0.9613708257675171,0.0024055062427318524,1.020887851715088,32064,8352,cuda,True,True
augmented_true_tau_interactions,mlp,4,40416,150,augmented_prior_trajectory_responses,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,46,5,1.0839335918426514,0.007965944179525699,1.18085515499115,33408,7008,cuda,True,True
augmented_zero_static,mlp,4,2526,150,augmented_zero_static_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,41,0,1.1063430309295654,0.0009213211305905133,1.255439281463623,2028,498,cuda,True,True
augmented_known_eye_model,mlp,4,2526,150,augmented_known_eye_responses,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,41,0,1.1037477254867554,0.0023734942951705307,1.5920045375823975,1998,528,cuda,True,True
observed_plus_continuous_tau,mlp,4,618,150,observed_true_rows,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,42,1,1.6238162517547607,0.0028334580129012465,1.8366516828536987,492,126,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,4,618,150,observed_true_rows,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,41,0,1.2290458679199219,0.0035676530096679926,1.4450486898422241,492,126,cuda,True,True
zero_static,mlp,4,618,150,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,41,0,1.259063959121704,0.004804725293070078,1.784520149230957,492,126,cuda,True,True
known_eye_model,mlp,4,618,150,observed_true_rows,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6573749397496815,512,4,0.0,0.001,1e-05,256,300,42,1,0.8955408930778503,0.00248038477730006,1.0630468130111694,492,126,cuda,True,True
