logmar,condition,normalization,mean_mimicry_unconstrained,mean_residual_unconstrained,mean_mimicry_constrained_1p0_arcmin,mean_projection_ls_gap,alpha_pooled,alpha_orientation_mean,signal_trace,mean_pairwise_separation,jacobian_path
-0.2,real,raw,0.40327980000524827,0.596720172341178,0.35363133723817736,3.024636624165012e-05,0.6281651701012968,0.559385774085084,4.699942344671678e-05,0.008838431185220303,test3_lm-0.20.npz
-0.2,real,zscore,0.34523814848218265,0.6547618515160148,0.3150857201370969,7.124349439664839e-07,0.5693075963434006,0.4554084195019401,0.767864642721986,1.1332571791815151,test3_lm-0.20.npz
-0.2,stabilized,raw,0.3088320295937032,0.6911679581784739,0.2603695759768574,1.542010324698213e-05,0.5141657991945519,0.46042330570850754,8.30346492230754e-05,0.011891546622632775,test3_lm-0.20.npz
-0.2,stabilized,zscore,0.2962184953927664,0.7037815046061257,0.26076234718777275,7.370722398342711e-07,0.5630095871667471,0.47082361771509773,1.0892135057542052,1.3446732345098251,test3_lm-0.20.npz
-0.25,real,raw,0.3612572770220865,0.6387426979778053,0.34110126810822633,8.609184529451604e-07,0.6515007791635475,0.45548496509368513,4.864642147875429e-05,0.009019119309859032,test3_lm-0.25.npz
-0.25,real,zscore,0.24608762336824788,0.7539123766300572,0.24608721538868594,4.079795619651545e-07,0.6139301305270947,0.29636517774892507,0.7950811858693381,1.1533656987011673,test3_lm-0.25.npz
-0.25,stabilized,raw,0.24630367340463907,0.7536963140194137,0.22715398921686858,5.980946420281024e-07,0.4637523324803371,0.3217046346268313,7.122128581633265e-05,0.011157996769916363,test3_lm-0.25.npz
-0.25,stabilized,zscore,0.1948583125043415,0.8051416874945289,0.194857901064482,4.114398594832573e-07,0.5057814302193929,0.23994243616100008,0.9058059638999583,1.246846919389609,test3_lm-0.25.npz
-0.3,real,raw,0.31798907623503386,0.682010916322394,0.30480061412629106,3.3720071130726123e-06,0.4745717520008876,0.38806855306296417,0.00012808031074838637,0.015211373701141735,test3_lm-0.30.npz
-0.3,real,zscore,0.24669698480187352,0.753303015197802,0.24669651031766662,4.744842069213939e-07,0.42995431826801833,0.32410065850392167,2.3103768870840753,2.064263860457633,test3_lm-0.30.npz
-0.3,stabilized,raw,0.34253658264322967,0.6574634114854596,0.3053594728231926,2.60806047816679e-06,0.5352933741098274,0.4658433758190259,0.0001517145854164635,0.016635012167706447,test3_lm-0.30.npz
-0.3,stabilized,zscore,0.2888787145575564,0.7111212854420708,0.28887809398516695,6.205723894780503e-07,0.5387019015528413,0.42341700797941917,2.2101641619645953,2.0032154358553584,test3_lm-0.30.npz
-0.35,real,raw,0.3760294234508678,0.6239705710945951,0.32134797207288646,5.509597314067606e-06,0.5461128108980016,0.4582833971570878,0.00023778349227788445,0.020153595492135638,test3_lm-0.35.npz
-0.35,real,zscore,0.3837641294008208,0.6162358705990789,0.38336970301529183,4.177795388071841e-06,0.6275801711570544,0.4619688455066251,15.551019832436658,5.118729313259274,test3_lm-0.35.npz
-0.35,stabilized,raw,0.4884836974845898,0.5115162993651985,0.3688324185463934,9.761131994033093e-06,0.7022295508986189,0.5843541953717931,0.00041917630611073707,0.02673736458798664,test3_lm-0.35.npz
-0.35,stabilized,zscore,0.3996337117596538,0.6003662882401547,0.37125550943551694,1.8856143385829794e-06,0.6754360903718171,0.5012339394840172,9.02688332733975,3.8842080879474596,test3_lm-0.35.npz
-0.4,real,raw,0.39817528381277395,0.6018247108058999,0.3535734466918186,8.678283974157917e-05,0.5374943658949255,0.4647037072138765,0.0002445026410757637,0.020419315392448133,test3_lm-0.40.npz
-0.4,real,zscore,0.4010472289814621,0.5989527710184391,0.3756446909139382,8.836175205123253e-06,0.6048431925790441,0.4712084746133039,16.11074191883254,5.204276683416405,test3_lm-0.40.npz
-0.4,stabilized,raw,0.48359381563206255,0.516406181181084,0.37445997755587385,6.998999608449387e-05,0.6808342343713295,0.575479057437634,0.0004305063684031151,0.02706767100095694,test3_lm-0.40.npz
-0.4,stabilized,zscore,0.4240048088635371,0.5759951911362754,0.4044917036206952,2.8193264223752104e-06,0.6425339006339205,0.5098698142276483,9.246965923679982,3.933238854032656,test3_lm-0.40.npz
