logmar,offset_x_deg,offset_y_deg,offset_x_arcmin,offset_y_arcmin,signal_trace,mean_pairwise_sep,min_pairwise_sep,alpha_pooled,alpha_orientation_mean,mean_mimicry,max_mimicry
-0.2,-0.07998983561992645,-0.07998983561992645,-4.799390137195587,-4.799390137195587,0.01598898507654667,0.1773366928100586,0.1429167538881302,0.8578081130981445,0.29199644923210144,0.3062424957752228,0.6940228939056396
-0.2,-0.07998983561992645,-0.0699911043047905,-4.799390137195587,-4.19946625828743,0.01525663211941719,0.1704515963792801,0.13624884188175201,0.8445136547088623,0.35894888639450073,0.346547394990921,0.7365474104881287
-0.2,-0.07998983561992645,-0.05999237671494484,-4.799390137195587,-3.5995426028966904,0.026281526312232018,0.2210421860218048,0.10652875155210495,0.8538079857826233,0.44140341877937317,0.40750786662101746,0.8475120067596436
-0.2,-0.07998983561992645,-0.04999364912509918,-4.799390137195587,-2.999618947505951,0.010204948484897614,0.139339417219162,0.10660265386104584,0.7636315822601318,0.16628436744213104,0.20831575989723206,0.7135707139968872
-0.2,-0.07998983561992645,-0.039994917809963226,-4.799390137195587,-2.3996950685977936,0.02708693966269493,0.22246944904327393,0.07898005843162537,0.8724886178970337,0.42672696709632874,0.4328272044658661,0.8550968766212463
-0.2,-0.07998983561992645,-0.02999618835747242,-4.799390137195587,-1.7997713014483452,0.010907750576734543,0.1463773399591446,0.12547071278095245,0.7758371233940125,0.35514140129089355,0.29996591806411743,0.800539493560791
-0.2,-0.07998983561992645,-0.019997458904981613,-4.799390137195587,-1.1998475342988968,0.01581818051636219,0.17531906068325043,0.13206635415554047,0.7541430592536926,0.3286888003349304,0.3169509470462799,0.5683780908584595
-0.2,-0.07998983561992645,-0.009998729452490807,-4.799390137195587,-0.5999237671494484,0.026662632822990417,0.22119498252868652,0.09127458930015564,0.886985182762146,0.48633384704589844,0.41980305314064026,0.8178452253341675
-0.2,-0.07998983561992645,0.0,-4.799390137195587,0.0,0.006369084119796753,0.11119196563959122,0.08993454277515411,0.7847548127174377,0.2279815673828125,0.26500028371810913,0.6027708053588867
-0.2,-0.07998983561992645,0.009998729452490807,-4.799390137195587,0.5999237671494484,0.02525678649544716,0.21521203219890594,0.09390828758478165,0.9143784642219543,0.37356725335121155,0.4392453730106354,0.8937779664993286
-0.2,-0.07998983561992645,0.019997458904981613,-4.799390137195587,1.1998475342988968,0.011084279045462608,0.14585110545158386,0.08608673512935638,0.7759920358657837,0.4454953968524933,0.35078164935112,0.8004598021507263
-0.2,-0.07998983561992645,0.02999618835747242,-4.799390137195587,1.7997713014483452,0.013698762282729149,0.16449323296546936,0.13818879425525665,0.6860544085502625,0.2526171803474426,0.24693645536899567,0.5674818754196167
-0.2,-0.07998983561992645,0.039994917809963226,-4.799390137195587,2.3996950685977936,0.024184944108128548,0.20813950896263123,0.06488418579101562,0.7907092571258545,0.415444552898407,0.3483881652355194,0.7968299388885498
-0.2,-0.07998983561992645,0.04999364912509918,-4.799390137195587,2.999618947505951,0.006133517250418663,0.10759073495864868,0.052810851484537125,0.7917366027832031,0.39888161420822144,0.3796227276325226,0.733412504196167
-0.2,-0.07998983561992645,0.05999237671494484,-4.799390137195587,3.5995426028966904,0.027200663462281227,0.22206713259220123,0.07688893377780914,0.8961783051490784,0.43089503049850464,0.4861301779747009,0.8167853951454163
-0.2,-0.07998983561992645,0.0699911043047905,-4.799390137195587,4.19946625828743,0.010791469365358353,0.14563237130641937,0.1218765377998352,0.8603568077087402,0.37887537479400635,0.3446740210056305,0.8086022138595581
-0.2,-0.07998983561992645,0.07998983561992645,-4.799390137195587,4.799390137195587,0.010008343495428562,0.14023925364017487,0.10504114627838135,0.868291437625885,0.33242401480674744,0.3312751054763794,0.6553143858909607
-0.2,-0.0699911043047905,-0.07998983561992645,-4.19946625828743,-4.799390137195587,0.026715518906712532,0.21998938918113708,0.14137707650661469,0.8828181028366089,0.35263532400131226,0.3760705590248108,0.7416346073150635
-0.2,-0.0699911043047905,-0.0699911043047905,-4.19946625828743,-4.19946625828743,0.02029482088983059,0.18730971217155457,0.09478837251663208,0.65549236536026,0.5440143346786499,0.3979664742946625,0.692114531993866
-0.2,-0.0699911043047905,-0.05999237671494484,-4.19946625828743,-3.5995426028966904,0.01953067258000374,0.18604733049869537,0.10631144046783447,0.6834453344345093,0.27530089020729065,0.22758744657039642,0.4044671952724457
-0.2,-0.0699911043047905,-0.04999364912509918,-4.19946625828743,-2.999618947505951,0.018283909186720848,0.18177762627601624,0.1274014264345169,0.6168208718299866,0.2027006894350052,0.2670208215713501,0.5017684698104858
-0.2,-0.0699911043047905,-0.039994917809963226,-4.19946625828743,-2.3996950685977936,0.014682142995297909,0.16193579137325287,0.06029022857546806,0.6905442476272583,0.4176190495491028,0.40016356110572815,0.6586328148841858
-0.2,-0.0699911043047905,-0.02999618835747242,-4.19946625828743,-1.7997713014483452,0.007419108878821135,0.1187189593911171,0.07902571558952332,0.5525436997413635,0.30678221583366394,0.283065527677536,0.5961229205131531
-0.2,-0.0699911043047905,-0.019997458904981613,-4.19946625828743,-1.1998475342988968,0.016976330429315567,0.1828904002904892,0.13821519911289215,0.6361773610115051,0.3692193627357483,0.3661418855190277,0.6783766746520996
-0.2,-0.0699911043047905,-0.009998729452490807,-4.19946625828743,-0.5999237671494484,0.0136773232370615,0.15813958644866943,0.1042994037270546,0.5798938274383545,0.34113994240760803,0.2860528230667114,0.45267733931541443
-0.2,-0.0699911043047905,0.0,-4.19946625828743,0.0,0.022531215101480484,0.20047475397586823,0.1089155375957489,0.6893007755279541,0.19618436694145203,0.2807481288909912,0.5871581435203552
-0.2,-0.0699911043047905,0.009998729452490807,-4.19946625828743,0.5999237671494484,0.011081269010901451,0.14070536196231842,0.05833444744348526,0.5791209936141968,0.2592407464981079,0.2392021268606186,0.4093761146068573
-0.2,-0.0699911043047905,0.019997458904981613,-4.19946625828743,1.1998475342988968,0.007728359196335077,0.12278159707784653,0.09951133280992508,0.5267743468284607,0.3040275573730469,0.2560948431491852,0.43028247356414795
-0.2,-0.0699911043047905,0.02999618835747242,-4.19946625828743,1.7997713014483452,0.02056480012834072,0.1998617947101593,0.16510029137134552,0.5429566502571106,0.17623686790466309,0.21208584308624268,0.5024470090866089
-0.2,-0.0699911043047905,0.039994917809963226,-4.19946625828743,2.3996950685977936,0.01541663147509098,0.1701849400997162,0.09341362863779068,0.576335072517395,0.36800289154052734,0.3182055354118347,0.5488106608390808
-0.2,-0.0699911043047905,0.04999364912509918,-4.19946625828743,2.999618947505951,0.03262433782219887,0.23580245673656464,0.11766010522842407,0.8095394968986511,0.3705456852912903,0.4374179542064667,0.7281655669212341
-0.2,-0.0699911043047905,0.05999237671494484,-4.19946625828743,3.5995426028966904,0.01189264003187418,0.1520826667547226,0.10698742419481277,0.6482763886451721,0.24458976089954376,0.23524516820907593,0.4720347821712494
-0.2,-0.0699911043047905,0.0699911043047905,-4.19946625828743,4.19946625828743,0.021757764741778374,0.1947908252477646,0.0772143080830574,0.8352292776107788,0.5053390860557556,0.46700984239578247,0.7172790765762329
-0.2,-0.0699911043047905,0.07998983561992645,-4.19946625828743,4.799390137195587,0.012482697144150734,0.15386608242988586,0.10504452139139175,0.7689223885536194,0.29276663064956665,0.24175585806369781,0.7526800632476807
-0.2,-0.05999237671494484,-0.07998983561992645,-3.5995426028966904,-4.799390137195587,0.05577172711491585,0.31442463397979736,0.06945595890283585,0.9272205829620361,0.3712606728076935,0.40413737297058105,0.9443752765655518
-0.2,-0.05999237671494484,-0.0699911043047905,-3.5995426028966904,-4.19946625828743,0.017951980233192444,0.18733033537864685,0.15215520560741425,0.5655790567398071,0.23871755599975586,0.20502474904060364,0.47375819087028503
-0.2,-0.05999237671494484,-0.05999237671494484,-3.5995426028966904,-3.5995426028966904,0.012249127961695194,0.15556102991104126,0.12997932732105255,0.6028575897216797,0.2939686179161072,0.26433613896369934,0.6699027419090271
-0.2,-0.05999237671494484,-0.04999364912509918,-3.5995426028966904,-2.999618947505951,0.0650729089975357,0.3378153443336487,0.1611596643924713,0.7919342517852783,0.3337942659854889,0.29468435049057007,0.6216840147972107
-0.2,-0.05999237671494484,-0.039994917809963226,-3.5995426028966904,-2.3996950685977936,0.012527029030025005,0.1534787118434906,0.10297311842441559,0.528255820274353,0.22376291453838348,0.20030026137828827,0.42865437269210815
-0.2,-0.05999237671494484,-0.02999618835747242,-3.5995426028966904,-1.7997713014483452,0.03933853656053543,0.2665872871875763,0.16717064380645752,0.6867178082466125,0.46261006593704224,0.40066972374916077,0.6155890226364136
-0.2,-0.05999237671494484,-0.019997458904981613,-3.5995426028966904,-1.1998475342988968,0.0159306563436985,0.17625632882118225,0.13904449343681335,0.6493552327156067,0.2459365576505661,0.2537928819656372,0.6663974523544312
-0.2,-0.05999237671494484,-0.009998729452490807,-3.5995426028966904,-0.5999237671494484,0.01223855372518301,0.15534797310829163,0.12203823775053024,0.43371105194091797,0.19310761988162994,0.22373969852924347,0.6132236123085022
-0.2,-0.05999237671494484,0.0,-3.5995426028966904,0.0,0.07027837634086609,0.35274454951286316,0.1765538901090622,0.6740708351135254,0.14352741837501526,0.15178236365318298,0.5403472185134888
