input_mode,decoder_mode,fold,n_train_rows,n_test_rows,input_dim,latent,feature_space_mode,feature_dim,raw_feature_dim,feature_fit_scope,feature_preprocessing,feature_whitened,feature_variance_fraction,mlp_hidden_dim,mlp_layers,mlp_dropout,mlp_learning_rate,mlp_weight_decay,mlp_batch_size,mlp_epochs_requested,mlp_epochs_trained,mlp_best_epoch,mlp_best_val_loss,mlp_final_train_loss,mlp_final_val_loss,mlp_n_fit_rows,mlp_n_val_rows,mlp_device,target_standardized_for_training,response_standardized_for_training
observed_compact,mlp,0,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,42,1,1.068191409111023,0.0029144297586753964,1.1373049020767212,492,120,cuda,True,True
observed_plus_continuous_tau,mlp,0,612,156,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,41,0,1.164473295211792,0.003520336002111435,1.2473336458206177,492,120,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,0,612,156,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,42,1,0.9677103161811829,0.004168088082224131,1.073876142501831,492,120,cuda,True,True
observed_plus_true_tau_interactions,mlp,0,612,156,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,41,0,0.847492516040802,0.0007526710105594248,0.9792144894599915,492,120,cuda,True,True
zero_static,mlp,0,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,42,1,1.1166499853134155,0.005496423924341798,1.1711093187332153,492,120,cuda,True,True
known_eye_model,mlp,0,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6515567488573997,512,4,0.0,0.001,1e-05,256,300,41,0,0.8360317945480347,0.0034955277806147933,1.0063031911849976,492,120,cuda,True,True
observed_compact,mlp,1,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,41,0,1.1391302347183228,0.0027773422189056873,1.2472907304763794,492,120,cuda,True,True
observed_plus_continuous_tau,mlp,1,612,156,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,41,0,1.0445928573608398,0.0029124078573659062,1.254256010055542,492,120,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,1,612,156,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,42,1,1.2429193258285522,0.003974989987909794,1.4009168148040771,492,120,cuda,True,True
observed_plus_true_tau_interactions,mlp,1,612,156,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,41,0,0.9260173439979553,0.0007538156060036272,1.1000689268112183,492,120,cuda,True,True
zero_static,mlp,1,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,42,1,1.0539205074310303,0.003240757971070707,1.3838117122650146,492,120,cuda,True,True
known_eye_model,mlp,1,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6529153585020098,512,4,0.0,0.001,1e-05,256,300,42,1,1.3112610578536987,0.002870817785151303,1.5548315048217773,492,120,cuda,True,True
observed_compact,mlp,2,612,156,800,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,42,1,1.0659857988357544,0.0022049694089218974,1.2969337701797485,492,120,cuda,True,True
observed_plus_continuous_tau,mlp,2,612,156,1040,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,41,0,1.0308939218521118,0.0033234336879104376,1.2515289783477783,492,120,cuda,True,True
observed_plus_continuous_tau_interactions,mlp,2,612,156,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,41,0,0.9974626302719116,0.003785665496252477,1.2139643430709839,492,120,cuda,True,True
observed_plus_true_tau_interactions,mlp,2,612,156,2640,pyramid_local_field,fold_zscore_whitened_pca,32,3072,fold,zscore,True,0.6448650654842578,512,4,0.0,0.001,1e-05,256,300,41,0,1.0403555631637573,0.0006664968968834728,1.3422465324401855,492,120,cuda,True,True
