row_index,table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,true_candidate_index,true_candidate_id,true_source_row,n_candidates,n_trajectories,n_timebins,n_units,projection_basis_dim,continuous_inference_basis_dim,trajectory_rmse,trajectory_corr_mean,continuous_joint_true_rank,continuous_joint_correct,input_mode,decoder_mode,fold,latent,feature_space_mode,feature_dim,feature_variance_fraction,input_dim,n_train_rows,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm
70,70,70,35,response_tables/trial_00035_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:1446,1446,4,16,40,756,20,20,0.12296290686656661,-0.418113251301633,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.1517897635314899,-0.1517897635314899,0.38960205791485486,2.2039220569266234,0.06503002846910787,2.170942846597251,0.5464052832545464
71,71,71,35,response_tables/trial_00035_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:1446,1446,4,16,40,756,20,20,0.10897392380097531,0.23519819938410325,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.1517897635314899,-0.1517897635314899,0.38960205791485486,2.2039220569266234,0.06503002846910787,2.170942846597251,0.5464052832545464
84,84,84,42,response_tables/trial_00042_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:1918,1918,4,16,40,756,20,10,0.03448013376338204,-0.023419271296728633,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.3518262151378482,-0.3518262151378482,0.5931494037237568,3.3553597250386047,0.41441481995811086,3.5544644711160847,0.5819463029555227
85,85,85,42,response_tables/trial_00042_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:1918,1918,4,16,40,756,20,10,0.031645984378740076,-0.040830299354441435,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.3518262151378482,-0.3518262151378482,0.5931494037237568,3.3553597250386047,0.41441481995811086,3.5544644711160847,0.5819463029555227
86,86,86,43,response_tables/trial_00043_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,0,source_row:1918,1918,4,16,40,756,20,20,0.08711672173261535,0.6812496184259238,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.33487296349035717,-0.33487296349035717,0.578682091903972,3.2735202506921244,0.47118792242838603,3.5544644711160847,0.7331511318097291
87,87,87,43,response_tables/trial_00043_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,0,source_row:1918,1918,4,16,40,756,20,20,0.10439950256823463,0.010619439751149928,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.33487296349035717,-0.33487296349035717,0.578682091903972,3.2735202506921244,0.47118792242838603,3.5544644711160847,0.7331511318097291
88,88,88,44,response_tables/trial_00044_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,0,source_row:1918,1918,4,16,40,756,20,20,0.1512166468493179,-0.16335304163359796,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.3034242359687571,-0.3034242359687571,0.5508395737133972,3.116019183349202,0.5389956680615676,3.5544644711160847,1.0522412597950055
89,89,89,44,response_tables/trial_00044_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,0,source_row:1918,1918,4,16,40,756,20,20,0.13198367963478552,0.22005649139031105,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.3034242359687571,-0.3034242359687571,0.5508395737133972,3.116019183349202,0.5389956680615676,3.5544644711160847,1.0522412597950055
90,90,90,45,response_tables/trial_00045_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,0,source_row:1945,1945,4,16,40,756,20,10,0.0611321569092742,-0.16155452526149067,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.17798910942545712,-0.17798910942545712,0.4218875554285254,2.386556410733806,0.397553656885843,2.583891354515397,0.7545274560758817
91,91,91,45,response_tables/trial_00045_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,0,source_row:1945,1945,4,16,40,756,20,10,0.05424556438451112,0.3375248373743904,1,True,observed_compact,mlp,0,pyramid_local_field,fold_zscore_whitened_pca,32,0.6515567488573997,800,612,0.17798910942545712,-0.17798910942545712,0.4218875554285254,2.386556410733806,0.397553656885843,2.583891354515397,0.7545274560758817
