prior_scale,n,posterior_temperature,image_accuracy,mean_feature_cosine,mean_true_mass,median_neff_fraction,max_effective_score_error,max_raw_temperature_feature_mismatch
all,768,mixed,0.70703125,0.937435564942103,0.5966121174243362,0.4608986389278136,9.094947017729282e-13,1.412203687323199e-13
0.5,256,0.125,0.8125,0.9603314959093048,0.689408575474385,0.33031191680928085,9.094947017729282e-13,1.412203687323199e-13
1,256,0.125,0.69921875,0.9404414200987237,0.6237850747162956,0.38165931733631464,9.094947017729282e-13,1.412203687323199e-13
2,256,0.5,0.609375,0.9115337788182807,0.47664270208232784,0.6188862638085961,9.094947017729282e-13,1.412203687323199e-13
