lag_model,lags,n_lags,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
instant,0,1,0.5,32,-0.0035228805447513716,-0.002276670837907363,0.00372157501152504,0.008033746536264826,
lag0_1,"0,1",2,0.5,32,-0.011871114417755155,-0.008769939783607711,0.007412886303372315,0.14391109490567586,0.0016036271726014733
lag0_1_2,"0,1,2",3,0.5,32,-0.02732494806276437,-0.01456391303966327,0.011924990377085717,0.1783708002336604,0.07084309083163176
lag0_1_2_4,"0,1,2,4",4,0.5,32,-0.05050861499247376,-0.022455633306232292,0.02317393213689776,0.31634846759468593,0.09821166057142744
lag0_1_2_4_8,"0,1,2,4,8",5,0.5,32,-0.06688853446290377,-0.03454486253166052,0.06406429758236405,0.2916978023671387,0.13944315750685438
instant,0,1,1.0,32,-0.0019453699416427982,-0.0014239042818295078,0.004722921127564548,0.00919862140295248,
lag0_1,"0,1",2,1.0,32,-0.006748374841796437,-0.0051111649771203305,0.0075730730905273205,0.2375199722992618,0.004814918802293938
lag0_1_2,"0,1,2",3,1.0,32,-0.01571253468132401,-0.008113764107534338,0.011223294863184807,0.24132603723181775,0.0994450248715696
lag0_1_2_4,"0,1,2,4",4,1.0,32,-0.03991300052845454,-0.01946598232381383,0.020910150275861638,0.35500474679977867,0.1332489098857057
lag0_1_2_4_8,"0,1,2,4,8",5,1.0,32,-0.0620014296665531,-0.02175786370145269,0.05013792718498791,0.27648414258870235,0.14296768759360698
instant,0,1,2.0,32,-0.0002362825419327955,-0.00038210450053575984,0.003035931754888175,0.01403698154778006,
lag0_1,"0,1",2,2.0,32,-0.0023955441688087676,-0.0029159761774950194,0.005731700471112556,0.16425804482064799,0.007663483638339047
lag0_1_2,"0,1,2",3,2.0,32,-0.005430078652662985,-0.004852129035372882,0.00905650151920674,0.15561103941183815,0.07937351193909192
lag0_1_2_4,"0,1,2,4",4,2.0,32,-0.01438874112877905,-0.01606016531653548,0.016841512968371913,0.18686771196173338,0.09503276285243768
lag0_1_2_4_8,"0,1,2,4,8",5,2.0,32,-0.043697556140381205,-0.04270073631303213,0.03342826220484831,0.2525337391010071,0.13213555555854523
