run_slug,run_label,n,image_accuracy,mean_feature_cosine,mean_true_mass,median_N_eff_fraction
k20_ridge0p1,1.0x k=20 ridge=0.1,256,0.703125,0.910335603072445,0.4158108222683058,0.8595465892428115
k15_ridge0p1,1.0x k=15 ridge=0.1,256,0.6875,0.9102607880927293,0.4142943712655924,0.8599691879093088
k10_ridge0p01,1.0x k=10 ridge=0.01,256,0.671875,0.9095592653592599,0.4133009671408402,0.8668486559740931
