table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,optimizer_final_iterations,optimizer_stage_success_fraction,quadratic_continuation_scales,observation_continuation_scales,trajectory_hat_rms,trajectory_hat_temporal_std_mean
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.0034508240196831075,0.00028932596784857624,0.478366043035942,0.0001514448590184671,44.08590972927013,1,True,211,28,1.0,"0,0.25,0.5,1","4,2,1,1",0.0970549105254693,0.019392735860914195
4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.0053164794249517255,0.0001751921434804486,0.46511530988397753,9.420845267661324e-05,154.1485410184011,2,True,191,56,1.0,"0,0.25,0.5,1","4,2,1,1",0.10653614099083981,0.06330726208891434
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,0,0,16,640,0.0039444756544373405,0.0002982064530433516,0.4756891967025114,0.0001569720373233037,48.49812406572302,2,False,281,80,0.75,"0,0.25,0.5,1","4,2,1,1",0.13607483538370488,0.10156393340811833
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,1,0,16,640,0.00587222226358286,0.0003176025636196881,0.47993249525683357,0.0001661504451045712,44.44231133045109,0,False,253,80,0.75,"0,0.25,0.5,1","4,2,1,1",0.12441426375599007,0.09786366313027643
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,2,0,16,640,0.004208281179255424,0.00031896222007556693,0.46744688707306437,0.00017058218098910227,39.39753404029096,0,True,237,53,1.0,"0,0.25,0.5,1","4,2,1,1",0.09457642463418398,0.01899232754346144
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,3,0,16,640,0.0031338013476015503,0.0002515386290886005,0.4605723482101215,0.0001361134445195711,109.33263919935713,1,True,158,27,1.0,"0,0.25,0.5,1","4,2,1,1",0.09753473913241138,0.06078379274281137
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,0,0,16,640,0.0018852399459393654,3.133069460646598e-05,0.31139594101026313,2.161519330283403e-05,255.14570000136953,0,True,146,14,1.0,"0,0.25,0.5,1","4,2,1,1",0.12493198601400857,0.01892580815810645
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,1,0,16,640,0.0013739021473215818,4.270844017765567e-05,0.23888394235617627,3.255080123184384e-05,382.2314907734451,2,True,247,60,1.0,"0,0.25,0.5,1","4,2,1,1",0.12600007446004682,0.024482245303990322
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,2,0,16,640,0.003537740443870674,3.3859332836686606e-05,0.2928510852182399,2.402859741156975e-05,232.8886262206683,0,True,145,17,1.0,"0,0.25,0.5,1","4,2,1,1",0.11991392492980067,0.019733477862443144
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,3,0,16,640,0.0009038958533496011,3.5433179049813155e-05,0.31887599264469846,2.4156223618107647e-05,378.50241229042183,0,True,172,53,1.0,"0,0.25,0.5,1","4,2,1,1",0.1109362121379902,0.03144585242229608
