trial_id,response_cache_path,prior_family,prior_scale,candidate_index,lag_model,lags,n_lags,n_trajectories,n_timebins,basis_dim,ridge,train_r2_energy,cv_r2_energy,mean_fold_r2_energy,feature_dim,coef_singular1,coef_singular2,coef_singular3,coef_s2_over_s1,coef_s3_over_s1,A_singular1_median,A_singular2_median,A_singular2_p10,A_anisotropy_median,A_condition_median,A_log10_condition_median,A_area_median,A_rank1_fraction_anisotropy_lt_0p1,A_rank1_fraction_anisotropy_lt_0p2
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,2,lag0_1_2_4,"0,1,2,4",4,16,40,10,0.01,0.05762749860739336,0.021959890776447888,-0.006384812558929337,8,0.2402446922516092,0.062447758140993445,0.008284873383716501,0.25993397629609927,0.034485146398321766,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,2,lag0_1_2_4_8,"0,1,2,4,8",5,16,40,10,0.01,0.20017843990885542,0.1394965120435835,-0.005962910523837406,10,0.3644137422850352,0.06578021713875606,0.030599001349873103,0.1805097050574576,0.08396774819194205,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,instant,0,1,16,40,10,0.01,0.0033033406965090606,-0.0021286196303864635,-8.593408986865003e-05,2,0.025996240209235227,2.0053316471030285e-09,,7.713929518125585e-08,,0.025996240209235227,2.0053316471030285e-09,2.0053316471030285e-09,7.713929518125585e-08,12963561.53696088,7.112724333583663,5.213108319727165e-11,1.0,1.0
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,lag0_1,"0,1",2,16,40,10,0.01,0.008558362948733356,-0.00022947128982897524,0.00161408408381164,4,0.08414681007153373,0.006071446473729637,2.5364546905380006e-09,0.07215302004399529,3.014320671671029e-08,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,lag0_1_2,"0,1,2",3,16,40,10,0.01,0.018155067010840575,0.004255838482542962,0.007573973807172896,6,0.12344249898428879,0.01259199216851969,0.004867729348296876,0.10200694470809718,0.03943317243534108,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,lag0_1_2_4,"0,1,2,4",4,16,40,10,0.01,0.05670893201933258,0.027975977716165112,0.03205983003853741,8,0.19056947068985491,0.04851807815937266,0.0070153552267822545,0.2545952296752407,0.03681258703918792,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,lag0_1_2_4_8,"0,1,2,4,8",5,16,40,10,0.01,0.23263274266945388,0.18379222553148156,0.1004522910346039,10,0.3025152590748144,0.04822479387972697,0.026269419864511947,0.1594127649203989,0.08683667708151975,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,0,instant,0,1,16,40,10,0.01,0.007212996133107441,0.0005762930943673528,0.0022524104851315563,2,0.05028978494725386,4.1003847225369344e-08,,8.153514131821399e-07,,0.05028978494725386,4.1003847225369344e-08,4.1003847225369344e-08,8.153514131821399e-07,1226465.0356062015,6.0886551717354465,2.0620746589738764e-09,1.0,1.0
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,0,lag0_1,"0,1",2,16,40,10,0.01,0.016811767556909607,0.004109322425383866,0.0028468498509761075,4,0.149308868591717,0.011790708983185044,1.9671240832198484e-08,0.07896857764977493,1.3174864304939057e-07,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,0,lag0_1_2,"0,1,2",3,16,40,10,0.01,0.027914651810895363,0.01034004264389643,0.004892224147304114,6,0.18390505067427762,0.013091404160597309,0.009192180402685638,0.07118566952130137,0.04998329501546053,,,,,,,,,
