trial_id,prior_family,prior_scale,response_cache_path,true_image_id_unsmoothed,continuous_joint_correct_unsmoothed,continuous_joint_pred_image_id_unsmoothed,continuous_joint_true_margin_unsmoothed,catalog_residual_true_best_anchor_index_unsmoothed,catalog_residual_true_anchor_score_gap_unsmoothed,trajectory_rmse_unsmoothed,trajectory_corr_mean_unsmoothed,nearest_trajectory_distance_unsmoothed,true_image_id_smooth6,continuous_joint_correct_smooth6,continuous_joint_pred_image_id_smooth6,continuous_joint_true_margin_smooth6,catalog_residual_true_best_anchor_index_smooth6,catalog_residual_true_anchor_score_gap_smooth6,trajectory_rmse_smooth6,trajectory_corr_mean_smooth6,nearest_trajectory_distance_smooth6,prediction_changed,anchor_changed,rmse_improved,corr_improved
100,axis_edge_parallel,1.0,response_tables/trial_00100_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,source_row:3675,True,source_row:3675,0.3192159785226636,6,0.8520971614486257,0.0759641233811763,0.47765718447824,0.0348638147115707,source_row:3675,True,source_row:3675,0.3175328310372833,6,0.8569966571411101,0.0747825200144592,0.4798331130632333,0.0348638147115707,False,False,True,True
100,axis_edge_orthogonal,1.0,response_tables/trial_00100_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,source_row:3675,True,source_row:3675,0.1808183978154147,11,0.801090718593855,0.0502833208114116,0.154402744920841,0.0467701666057109,source_row:3675,True,source_row:3675,0.1804058305095282,11,0.7944667526401759,0.0482038497523839,0.1566092400737562,0.0467701666057109,False,False,True,True
101,axis_edge_parallel,2.0,response_tables/trial_00101_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,source_row:3675,True,source_row:3675,0.1787683305979612,11,0.8611559203444017,0.0715484348148993,0.4071341446128173,0.0711891204118728,source_row:3675,True,source_row:3675,0.185430683937227,11,0.8846781336042113,0.0729270703883033,0.3795766225280912,0.0711891204118728,False,False,False,False
101,axis_edge_orthogonal,2.0,response_tables/trial_00101_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,source_row:3675,True,source_row:3675,0.083371340772544,11,1.1744042905465335,0.1108879450716512,-0.1612446825842731,0.1018352881073951,source_row:3675,True,source_row:3675,0.0817004666635057,11,1.1895204729671605,0.1066818340404171,-0.1357121595365036,0.1018352881073951,False,False,True,True
102,axis_edge_parallel,0.5,response_tables/trial_00102_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,source_row:3691,True,source_row:3691,2.1608829923637813,9,0.673340379568458,0.0443282736526472,-0.4827298836985506,0.0212220717221498,source_row:3691,True,source_row:3691,2.160088951054547,9,0.672515673796056,0.0438979398764921,-0.4883734332430865,0.0212220717221498,False,False,True,False
102,axis_edge_orthogonal,0.5,response_tables/trial_00102_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,source_row:3691,True,source_row:3691,2.3538967452034285,9,0.584297577305847,0.0390308323430839,-0.0106331760277698,0.0303383544087409,source_row:3691,True,source_row:3691,2.3450553733101174,9,0.582945361964903,0.0386684430098021,-0.0154482882944468,0.0303383544087409,False,False,True,False
103,axis_edge_parallel,1.0,response_tables/trial_00103_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,source_row:3691,True,source_row:3691,2.184570596363585,14,0.7673840746114138,0.0475765311392385,0.6757898421604829,0.0447801314294338,source_row:3691,True,source_row:3691,2.18088346751108,14,0.7730814413197322,0.0466858537775505,0.687645367654877,0.0447801314294338,False,False,True,True
103,axis_edge_orthogonal,1.0,response_tables/trial_00103_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,source_row:3691,True,source_row:3691,2.752010427239441,14,0.7864197265303119,0.074631296841776,0.262122924909882,0.0602787137031555,source_row:3691,True,source_row:3691,2.7418558870863308,14,0.7911097522124919,0.0740003908389231,0.2543769728037287,0.0602787137031555,False,False,True,False
104,axis_edge_parallel,2.0,response_tables/trial_00104_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,source_row:3691,True,source_row:3691,2.786116001690744,5,1.3702571108706252,0.1098847833396109,0.7139009966834231,0.0748394280672073,source_row:3691,True,source_row:3691,2.77517732376532,5,1.373430364788078,0.1078008871814144,0.7076352706732937,0.0748394280672073,False,False,True,False
104,axis_edge_orthogonal,2.0,response_tables/trial_00104_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,source_row:3691,True,source_row:3691,2.1163578449894658,5,1.4011987204665957,0.137617654237002,0.1391028733011253,0.1078803315758705,source_row:3691,True,source_row:3691,2.1400299092526893,5,1.4019547661355318,0.1343989570444424,0.1434821466076076,0.1078803315758705,False,False,True,True
