row_type,split_key,calibration_mode,prior_scale,prior_family,eval_split,selected_on_split,selected_run_slug,selected_run_label,train_feature_cosine,eval_feature_cosine,eval_image_accuracy,eval_delta_vs_default,selected_temperature,n_eval
split,trial_id,scale_specific,all,all,0,1,knownstart_scale_prior_hybrid_predeclared_full,Scale-prior_hybrid_predeclared,0.9377999998549905,0.9355324802145724,0.71875,0.02448559099823877,"0.5:0.125,1.0:0.125,2.0:0.25",384
split,trial_id,scale_specific,all,all,1,0,strict_scale_prior_predeclared_full,Strict_scale-prior_predeclared,0.9368472778252496,0.9373006321635953,0.703125,0.025738091685661952,"0.5:0.125,1.0:0.125,2.0:0.5",384
aggregate,trial_id,scale_specific,all,all,-1,-1,knownstart_scale_prior_hybrid_predeclared_full;strict_scale_prior_predeclared_full,Scale-prior_hybrid_predeclared;Strict_scale-prior_predeclared,0.93732363884012,0.9364165561890839,0.7109375,0.025111841341950363,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",768
