candidate_index,scheme,scheme_label,metric,n_bins,inner_mean_feature_cosine,inner_image_accuracy,inner_n_eval,outer_eval_split,selected_for_outer_eval
11,scale_geometry_temp,scale + mean B R2 Q3,candidate_mean_B_train_r2_energy,3,0.9374511009976807,0.7083333333333334,384,0,True
12,scale_geometry_temp,scale + mean B R2 Q4,candidate_mean_B_train_r2_energy,4,0.9372606169412822,0.7083333333333334,384,0,False
0,scale_temp,scale temp,,0,0.9364485368325544,0.7083333333333334,384,0,False
7,scale_geometry_temp,scale + median residual Q2,candidate_median_residual_variance,2,0.9360218411903313,0.7083333333333334,384,0,False
4,scale_geometry_temp,scale + min residual Q2,candidate_min_residual_variance,2,0.9358425269252066,0.7083333333333334,384,0,False
10,scale_geometry_temp,scale + mean B R2 Q2,candidate_mean_B_train_r2_energy,2,0.9358359110516675,0.7083333333333334,384,0,False
2,scale_geometry_temp,scale + mean residual Q3,candidate_mean_residual_variance,3,0.9353296735822175,0.7083333333333334,384,0,False
9,scale_geometry_temp,scale + median residual Q4,candidate_median_residual_variance,4,0.9351293815902556,0.7083333333333334,384,0,False
5,scale_geometry_temp,scale + min residual Q3,candidate_min_residual_variance,3,0.9346060729332278,0.7083333333333334,384,0,False
8,scale_geometry_temp,scale + median residual Q3,candidate_median_residual_variance,3,0.9344371640770136,0.7083333333333334,384,0,False
1,scale_geometry_temp,scale + mean residual Q2,candidate_mean_residual_variance,2,0.933926912612766,0.7083333333333334,384,0,False
6,scale_geometry_temp,scale + min residual Q4,candidate_min_residual_variance,4,0.9325340826175305,0.7083333333333334,384,0,False
3,scale_geometry_temp,scale + mean residual Q4,candidate_mean_residual_variance,4,0.9322809397774533,0.7083333333333334,384,0,False
11,scale_geometry_temp,scale + mean B R2 Q3,candidate_mean_B_train_r2_energy,3,0.9366146088611873,0.7083333333333334,384,1,True
12,scale_geometry_temp,scale + mean B R2 Q4,candidate_mean_B_train_r2_energy,4,0.9360378460854157,0.7083333333333334,384,1,False
1,scale_geometry_temp,scale + mean residual Q2,candidate_mean_residual_variance,2,0.9355631361402938,0.7083333333333334,384,1,False
7,scale_geometry_temp,scale + median residual Q2,candidate_median_residual_variance,2,0.9354271100879538,0.7083333333333334,384,1,False
10,scale_geometry_temp,scale + mean B R2 Q2,candidate_mean_B_train_r2_energy,2,0.9351129188461443,0.7083333333333334,384,1,False
0,scale_temp,scale temp,,0,0.9349676809864486,0.7083333333333334,384,1,False
4,scale_geometry_temp,scale + min residual Q2,candidate_min_residual_variance,2,0.9349619532822565,0.7083333333333334,384,1,False
6,scale_geometry_temp,scale + min residual Q4,candidate_min_residual_variance,4,0.9340134127932714,0.7083333333333334,384,1,False
2,scale_geometry_temp,scale + mean residual Q3,candidate_mean_residual_variance,3,0.9337850621919142,0.7083333333333334,384,1,False
8,scale_geometry_temp,scale + median residual Q3,candidate_median_residual_variance,3,0.933609302702954,0.7083333333333334,384,1,False
3,scale_geometry_temp,scale + mean residual Q4,candidate_mean_residual_variance,4,0.9325293774183722,0.7083333333333334,384,1,False
9,scale_geometry_temp,scale + median residual Q4,candidate_median_residual_variance,4,0.9324119289860962,0.7083333333333334,384,1,False
5,scale_geometry_temp,scale + min residual Q3,candidate_min_residual_variance,3,0.932325829421468,0.7083333333333334,384,1,False
