comparison,candidate_slug,baseline_slug,n_tables,candidate_feature_cosine,baseline_feature_cosine,feature_cosine_delta,feature_cosine_delta_ci_low,feature_cosine_delta_ci_high,candidate_image_accuracy,baseline_image_accuracy,image_accuracy_delta,image_accuracy_delta_ci_low,image_accuracy_delta_ci_high,fraction_feature_delta_positive,prior_scale,prior_family
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,256,0.9157485928608331,0.9179707770814673,-0.0022221842206343535,-0.004620023859475613,9.275219233405014e-05,0.7890625,0.81640625,-0.02734375,-0.05859375,0.0,0.4921875,0.5,
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,256,0.910335603072445,0.9095592653592599,0.0007763377131850399,-0.0017980877680732138,0.003419164086677751,0.703125,0.671875,0.03125,-0.0078125,0.0703125,0.50390625,1.0,
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,256,0.9039985930308769,0.9017943302832161,0.002204262747660828,-0.0019953312602753234,0.006224226645057039,0.60546875,0.5859375,0.01953125,-0.02734375,0.06640625,0.49609375,2.0,
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,128,0.9173695550163337,0.9196655173233672,-0.0022959623070336523,-0.005098420896541313,0.0004236023658427233,0.78125,0.8046875,-0.0234375,-0.0625,0.015625,0.484375,0.5,axis_edge_orthogonal
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,128,0.9141276307053323,0.9162760368395674,-0.0021484061342350548,-0.006437253934210133,0.001703217145761227,0.796875,0.828125,-0.03125,-0.0703125,0.0078125,0.5,0.5,axis_edge_parallel
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,128,0.9103292243892008,0.9105497544221131,-0.00022053003291225455,-0.003763962352756654,0.0031876315146805675,0.703125,0.6796875,0.0234375,-0.0234375,0.0703125,0.5078125,1.0,axis_edge_orthogonal
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,128,0.910341981755689,0.9085687762964068,0.0017732054592823343,-0.002006043641998372,0.0057863546749233104,0.703125,0.6640625,0.0390625,-0.0234375,0.1015625,0.5,1.0,axis_edge_parallel
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,128,0.9034232755170051,0.9043089471910706,-0.0008856716740654703,-0.006730003592412363,0.004412367343370636,0.59375,0.59375,0.0,-0.0625,0.0625,0.4765625,2.0,axis_edge_orthogonal
k20_vs_k10,k20_ridge0p1,k10_ridge0p01,128,0.9045739105447488,0.8992797133753616,0.005294197169387126,-0.0008611704480280371,0.01152302392246651,0.6171875,0.578125,0.0390625,-0.0390625,0.109375,0.515625,2.0,axis_edge_parallel
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,256,0.9179320209324762,0.9179707770814673,-3.875614899119485e-05,-9.983988331737305e-05,1.3692183844885287e-06,0.81640625,0.81640625,0.0,0.0,0.0,0.4140625,0.5,
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,256,0.9103620762776532,0.9095592653592599,0.0008028109183933541,-0.0017754201713813672,0.003461612125530566,0.703125,0.671875,0.03125,-0.0078125,0.0703125,0.5078125,1.0,
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,256,0.9039984307396762,0.9017943302832161,0.0022041004564602607,-0.0019951760120300527,0.006223849295258238,0.60546875,0.5859375,0.01953125,-0.02734375,0.06640625,0.49609375,2.0,
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,128,0.9196367462516399,0.9196655173233672,-2.877107172730587e-05,-7.743549045822792e-05,6.409984176380555e-06,0.8046875,0.8046875,0.0,0.0,0.0,0.4296875,0.5,axis_edge_orthogonal
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,128,0.9162272956133123,0.9162760368395674,-4.874122625508383e-05,-0.00015122718586635704,1.0998853952078054e-05,0.828125,0.828125,0.0,0.0,0.0,0.3984375,0.5,axis_edge_parallel
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,128,0.9103820907463086,0.9105497544221131,-0.0001676636758045141,-0.0037498776405801913,0.00323611166310022,0.703125,0.6796875,0.0234375,-0.0234375,0.0703125,0.515625,1.0,axis_edge_orthogonal
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,128,0.9103420618089979,0.9085687762964068,0.0017732855125912224,-0.0020061039098883343,0.005786802466955967,0.703125,0.6640625,0.0390625,-0.0234375,0.1015625,0.5,1.0,axis_edge_parallel
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,128,0.9034227499766645,0.9043089471910706,-0.0008861972144060589,-0.006731121600443999,0.004412163085167929,0.59375,0.59375,0.0,-0.0625,0.0625,0.4765625,2.0,axis_edge_orthogonal
scale_conditioned_vs_k10,scale_conditioned,k10_ridge0p01,128,0.9045741115026882,0.8992797133753616,0.00529439812732658,-0.0008611394482914124,0.011523064676359331,0.6171875,0.578125,0.0390625,-0.0390625,0.109375,0.515625,2.0,axis_edge_parallel
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,256,0.9179320209324762,0.9157485928608331,0.0021834280716431587,-0.00012373074538986968,0.004572716966524649,0.81640625,0.7890625,0.02734375,0.0,0.05859375,0.5078125,0.5,
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,256,0.9103620762776532,0.910335603072445,2.6473205208314265e-05,-4.04446951347533e-07,7.989328063536281e-05,0.703125,0.703125,0.0,0.0,0.0,0.5234375,1.0,
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,256,0.9039984307396762,0.9039985930308769,-1.6229120056729732e-07,-7.458855488020602e-07,3.18318570050719e-07,0.60546875,0.60546875,0.0,0.0,0.0,0.51171875,2.0,
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,128,0.9196367462516399,0.9173695550163337,0.0022671912353063465,-0.0004611278498135092,0.005060888306374253,0.8046875,0.78125,0.0234375,-0.015625,0.0625,0.515625,0.5,axis_edge_orthogonal
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,128,0.9162272956133123,0.9141276307053323,0.002099664907979971,-0.0017444290115672053,0.006370494905643014,0.828125,0.796875,0.03125,-0.0078125,0.0703125,0.5,0.5,axis_edge_parallel
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,128,0.9103820907463086,0.9103292243892008,5.286635710774045e-05,-7.238067453408216e-07,0.00015956963736756037,0.703125,0.703125,0.0,0.0,0.0,0.4765625,1.0,axis_edge_orthogonal
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,128,0.9103420618089979,0.910341981755689,8.005330888807838e-08,-4.0666279182898985e-07,6.450368511360171e-07,0.703125,0.703125,0.0,0.0,0.0,0.5703125,1.0,axis_edge_parallel
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,128,0.9034227499766645,0.9034232755170051,-5.255403405885969e-07,-1.5695199184125605e-06,2.1528086009653206e-07,0.59375,0.59375,0.0,0.0,0.0,0.484375,2.0,axis_edge_orthogonal
scale_conditioned_vs_k20,scale_conditioned,k20_ridge0p1,128,0.9045741115026882,0.9045739105447488,2.009579394540023e-07,-2.7388400654813295e-07,7.77956069998499e-07,0.6171875,0.6171875,0.0,0.0,0.0,0.5390625,2.0,axis_edge_parallel
