lag_model,lags,n_lags,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
instant,0,1,0.5,32,-0.003380541093428306,-0.002200603568914161,0.003721319969027634,8.078688413204663e-07,
lag0_1,"0,1",2,0.5,32,-0.010180740039520225,-0.0076862182273606805,0.007387160759536934,0.15351756215575377,1.7505402585043247e-07
lag0_1_2,"0,1,2",3,0.5,32,-0.023279622950468377,-0.013202154335551872,0.011899739095211177,0.17744023857101016,0.06983703761026333
lag0_1_2_4,"0,1,2,4",4,0.5,32,-0.04542943170964181,-0.020680609999188235,0.023149428238772373,0.3106223587467779,0.0983170750233727
lag0_1_2_4_8,"0,1,2,4,8",5,0.5,32,-0.06275860060276288,-0.03160198235370426,0.06403269361837563,0.2823221308379569,0.13737634967341344
instant,0,1,1.0,32,-0.0018872151459287936,-0.0014122053468391405,0.004722852834957905,9.233140963879501e-07,
lag0_1,"0,1",2,1.0,32,-0.006357764583080815,-0.0049565607167823544,0.00757111832522602,0.23702240867792668,4.884527517882079e-07
lag0_1_2,"0,1,2",3,1.0,32,-0.014809545857762835,-0.007837132958611853,0.01122106958843759,0.2421132882792013,0.09875328256366706
lag0_1_2_4,"0,1,2,4",4,1.0,32,-0.03808075251207428,-0.01892215366162142,0.02090778046246071,0.35320279807858407,0.13366989213043948
lag0_1_2_4_8,"0,1,2,4,8",5,1.0,32,-0.060489337823384316,-0.021186299423956986,0.05013442375782074,0.2749671766890198,0.141975999128775
instant,0,1,2.0,32,-0.00022697144387845512,-0.00037356938076167634,0.0030359205944270372,1.4076967118113321e-06,
lag0_1,"0,1",2,2.0,32,-0.002319154763656777,-0.002832640748375609,0.005731482612857324,0.16512385693599102,7.760939846042202e-07
lag0_1_2,"0,1,2",3,2.0,32,-0.005293945200569007,-0.004761461399803296,0.009056183118984637,0.15595400531305953,0.07897077004706995
lag0_1_2_4,"0,1,2,4",4,2.0,32,-0.014139023440772227,-0.01585180679452783,0.01684111013988682,0.18594256814002386,0.09497333667075329
lag0_1_2_4_8,"0,1,2,4,8",5,2.0,32,-0.0433049527696629,-0.042337145434281534,0.0334278569534014,0.2515270624450652,0.13159087331671243
