table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_timebins,n_units,observer_mode,latent,posterior_temperature,true_candidate_index_local,pred_candidate_index_local,true_candidate_id,pred_candidate_id,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse,run_slug,run_label,n_trajectories,basis_dim,ridge,alpha,process_var,observation_var_floor,trajectory_initial_position,trajectory_initial_position_var,optimizer_max_iter,quadratic_continuation_scales,observation_continuation_scales
0,4.0,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,2,source_row:25,source_row:9142,False,3.0,-0.5221330294809832,0.22241048988794462,1.2152150335607343,3.142428198221563,0.7856070495553907,0.2855192951446141,-0.2855192951446141,0.5343400557179052,29.616132000723095,0.8448706982768075,55.35716385314352,46.45430176997992,0.5450920735126369,0.8627886600790683,0.9288641774118906,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
1,10.0,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,3.0,-0.6167184543618305,0.20920921794429298,1.2198194618053098,3.136725406852965,0.7841813517132412,0.14571712336365591,-0.14571712336365591,0.3817291230226689,21.157575545727138,0.900931427475492,47.34179291251737,47.707985683799066,0.8237351843954694,0.2779343607150047,0.5271948033839149,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
2,16.0,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:87,source_row:87,True,1.0,2.5057388503664697,0.9130304470231217,0.33715051973413607,1.1914893497879053,0.29787233744697633,0.002408749507944226,-0.002408749507944226,0.04907901290719106,2.7202350060986755,0.9966940054954073,31.988853179568522,31.0800402975092,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
3,22.0,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:369,source_row:369,True,1.0,0.6485932187682693,0.5786480338672432,1.0021133495314223,2.3002050736807296,0.5750512684201824,0.0850988405068303,-0.0850988405068303,0.2917170555638293,16.168600373470262,0.9295879622371642,43.55782142770001,38.58115162920569,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
4,28.0,14,response_tables/trial_00014_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:420,source_row:420,True,1.0,0.3102569946900644,0.4987487398845471,1.0613288826984246,2.5377469338194953,0.6344367334548738,0.1398483540555012,-0.1398483540555012,0.37396303835472994,20.72713544266307,0.9135591415387598,50.81129610299023,44.818683669541585,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
5,34.0,17,response_tables/trial_00017_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:454,source_row:454,True,1.0,0.0,0.4637310667116973,0.9383620739572599,2.305577370840052,0.576394342710013,0.0025714865407748993,-0.0025714865407748993,0.05070982686595271,2.810623890395243,0.9976358394048173,38.62978874581035,37.615390779680666,0.9999999999999999,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
6,40.0,20,response_tables/trial_00020_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:455,source_row:455,True,1.0,0.0,0.450024738259869,0.9950270723467396,2.426220480417036,0.606555120104259,0.004982857111776045,-0.004982857111776045,0.07058935551325034,3.9124592071197384,0.9953048048503373,38.62978874581035,37.29631866799329,0.9999999999999999,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
7,46.0,23,response_tables/trial_00023_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:966,source_row:966,True,1.0,2.0819724264067645,0.7780314469352164,0.7678830015390317,1.6062251839539696,0.4015562959884924,0.02090212539420344,-0.02090212539420344,0.1445756735906959,8.013197190322535,0.9855786185983649,43.20788650402636,39.30567900800861,0.9999999999999999,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
8,52.0,26,response_tables/trial_00026_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:1249,source_row:1249,True,1.0,0.4655565161922368,0.41451650513053795,1.2433951477858205,3.210382660225418,0.8025956650563545,0.08388956036258499,-0.08388956036258499,0.289636945783139,16.053308987055008,0.8881439857134723,34.41165285343677,33.3217483643203,1.0000000000000002,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
9,58.0,29,response_tables/trial_00029_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:1422,source_row:1422,True,1.0,0.029529787429453336,0.36343810335563587,1.283715879606453,3.3504565067903984,0.8376141266975996,0.040240104294664465,-0.040240104294664465,0.2005993626477025,11.118345218296167,0.9721304552297775,47.40472271920179,46.408719759870685,1.0,0.0,0.0,k15_ridge0p1,k=15 ridge=0.1,,,,,,,,,,,
