table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_timebins,n_units,observer_mode,latent,posterior_temperature,analyzer_posterior_temperature,score_column,true_candidate_index_local,pred_candidate_index_local,true_candidate_id,pred_candidate_id,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse,axis_label,observer_label,feature_gain_vs_zero
30,30,15,response_tables/trial_00015_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:454,source_row:454,True,1,0.0,0.4999999805681822,0.6931478560537755,2.0000001554545457,0.5000000388636364,9.3805924208463e-16,-9.3805924208463e-16,3.062775280827227e-08,1.6975623675388142e-06,0.9999999999999991,38.62978874581035,38.62978820615523,0.9999999999999999,0.0,0.0,along contour,joint estimator,0.001121400254078253
31,31,15,response_tables/trial_00015_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:454,source_row:454,True,1,0.0,0.4999999840040567,0.6931477425590735,2.0000001279675486,0.5000000319918871,6.366702814504693e-16,-6.366702814504693e-16,2.5232326120484202e-08,1.39851746668243e-06,0.9999999999999996,38.62978874581035,38.62978830184992,0.9999999999999999,0.0,0.0,across contour,joint estimator,0.0011214002540786971
36,36,18,response_tables/trial_00018_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:455,source_row:455,True,1,0.0,0.4999999764082663,0.6931479924761615,2.000000188733874,0.5000000471834685,1.3763342881878234e-15,-1.3763342881878234e-15,3.709897961114057e-08,2.0562341630546347e-06,0.9999999999999988,38.62978874581035,38.62978808945629,0.9999999999999999,0.0,0.0,along contour,joint estimator,0.0016121625279184038
37,37,18,response_tables/trial_00018_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:455,source_row:455,True,1,0.0,0.4999999673301908,0.6931482825824552,2.000000261358482,0.5000000653396205,2.6490861174615613e-15,-2.6490861174615613e-15,5.1469273527625796e-08,2.8527166969122462e-06,0.9999999999999974,38.62978874581035,38.62978783818861,0.9999999999999999,0.0,0.0,across contour,joint estimator,0.0016121625279170715
42,42,21,response_tables/trial_00021_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:966,source_row:966,True,1,1.353604555416723,0.9999551169041137,0.000541708810309587,1.0000897715113355,0.2500224428778339,8.710251886919988e-10,-8.710251886919988e-10,2.9513135866796648e-05,0.0016357840259832042,0.9999999995044577,43.20788650402636,43.20697790539535,0.9999999999999999,0.0,0.0,along contour,joint estimator,0.007263560166068994
43,43,21,response_tables/trial_00021_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:966,source_row:966,True,1,1.3401030253839394,0.9999486741041268,0.0006132865104852142,1.0001026587698651,0.2500256646924663,1.114359205617801e-09,-1.114359205617801e-09,3.338201919623499e-05,0.0018502193058277942,0.99999999936839,43.20788650402636,43.20685449863437,0.9999999999999999,0.0,0.0,across contour,joint estimator,0.0072635600300012815
48,48,24,response_tables/trial_00024_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1249,source_row:1249,True,1,1.4635288459970184,0.9999853754823883,0.00019189425027516308,1.0000292495887255,0.2500073123971814,5.802951629635988e-11,-5.802951629635988e-11,7.617710699177272e-06,0.0004222163829867543,0.9999999999343476,34.41165285343677,34.411501917237544,1.0000000000000002,0.0,0.0,along contour,joint estimator,0.05018684993449418
49,49,24,response_tables/trial_00024_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1249,source_row:1249,True,1,1.4796330644657019,0.9999867080222625,0.0001759014019719577,1.0000265844148521,0.25000664610371304,4.6957529484371706e-11,-4.6957529484371706e-11,6.852556419641629e-06,0.0003798072281776505,0.9999999999469054,34.41165285343677,34.411516805135285,1.0000000000000002,0.0,0.0,across contour,joint estimator,0.050186849947051915
54,54,27,response_tables/trial_00027_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1422,source_row:1422,True,1,0.04139743631418469,0.5122627984794601,1.0304919447140881,2.457609152620758,0.6144022881551895,0.008091564336920393,-0.008091564336920393,0.08995312299703881,4.985708138571636,0.9944543066359659,47.40472271920179,47.10002376142695,1.0,0.0,0.0,along contour,joint estimator,0.022770937521661927
55,55,27,response_tables/trial_00027_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1422,source_row:1422,True,1,0.03610411232619981,0.5001936651131854,1.0423175314691557,2.4959193502385846,0.6239798375596461,0.008723687355997326,-0.008723687355997326,0.0934006817747993,5.176791241456795,0.9940195151871779,47.40472271920179,47.09368475355705,1.0,0.0,0.0,across contour,joint estimator,0.02233614607287393
60,60,30,response_tables/trial_00030_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1425,source_row:1425,True,1,0.0052780829169591925,0.42395208132100076,1.1192348549843025,2.7477365710393857,0.6869341427598464,0.008014730004588714,-0.008014730004588714,0.08952502446014027,4.9619805092419025,0.994939806967059,48.321366402134856,47.05196175420877,1.0,0.0,0.0,along contour,joint estimator,0.012031254004945868
61,61,30,response_tables/trial_00030_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1425,source_row:1425,True,1,0.016068235986153923,0.43319117743745844,1.1392850185052528,2.8113638579156026,0.7028409644789007,0.00986287804610895,-0.00986287804610895,0.09931202367341505,5.504431065754815,0.9936977384976566,48.321366402134856,47.03677376465314,1.0,0.0,0.0,across contour,joint estimator,0.010789185535543533
66,66,33,response_tables/trial_00033_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1446,source_row:1446,True,1,2.0843812915547346,0.9999999407506688,1.0538407067610234e-06,1.0000001184986695,0.2500000296246674,1.787996147218206e-15,-1.787996147218206e-15,4.2284703466125975e-08,2.3436561531620478e-06,0.9999999999999978,34.78821755483096,34.78821705895117,1.0,0.0,0.0,along contour,joint estimator,0.00307332628085355
67,67,33,response_tables/trial_00033_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1446,source_row:1446,True,1,2.1337034969624256,0.9999999604684142,7.177581242723659e-07,1.000000079063175,0.2500000197657937,8.061529624847601e-16,-8.061529624847601e-16,2.8392832942219066e-08,1.5736905352556402e-06,0.9999999999999992,34.78821755483096,34.788217222599016,1.0,0.0,0.0,across contour,joint estimator,0.0030733262808549933
72,72,36,response_tables/trial_00036_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1523,source_row:1523,True,1,1.3667092059537822,0.9999821273688494,0.00021345571532662308,1.0000357459020885,0.25000893647552214,2.605053545356366e-10,-2.605053545356366e-10,1.6140178268397058e-05,0.0008945794817306486,0.9999999998302114,45.115038397764515,45.114708074091425,1.0000000000000002,0.0,0.0,along contour,joint estimator,0.25945749251698735
73,73,36,response_tables/trial_00036_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1523,source_row:1523,True,1,1.4562780301772023,0.9999912739681701,0.00011044824451407188,1.000017452216104,0.250004363054026,6.212604359837414e-11,-6.212604359837414e-11,7.882007586800088e-06,0.00043686520339139545,0.999999999959505,45.115038397764515,45.11487712924272,1.0000000000000002,0.0,0.0,across contour,joint estimator,0.25945749264628093
78,78,39,response_tables/trial_00039_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1709,source_row:1709,True,1,0.2394909584431275,0.8716836271102731,0.38317362287308154,1.2881660455398976,0.3220415113849744,0.011555861552959323,-0.011555861552959323,0.10749819325439532,5.95815463803106,0.994543548596155,54.78713570327037,52.805196591720055,1.0000000000000002,0.0,0.0,along contour,joint estimator,0.0684096286651249
79,79,39,response_tables/trial_00039_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1709,source_row:1709,True,1,0.22978814104405387,0.8627481346101992,0.3999432871745042,1.3103198910057994,0.32757997275144984,0.013221316187442553,-0.013221316187442553,0.11498398230815696,6.373059181258521,0.9937271400083932,54.78713570327037,52.68950206236072,1.0000000000000002,0.0,0.0,across contour,joint estimator,0.06759322007736313
84,84,42,response_tables/trial_00042_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,0.125,0.125,candidate_score_raw,0,0,source_row:1918,source_row:1918,True,1,0.542969786868241,0.9871788898545909,0.06859582815352366,1.0259708711539026,0.25649271778847565,7.424543907154567e-05,-7.424543907154567e-05,0.00861657931383131,0.47757930108808977,0.9999385731529252,39.83355717057559,39.64902651824003,1.0,0.0,0.0,along contour,joint estimator,0.008232583689179673
