poly_model,degree,include_intercept,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
linear,1,False,0.5,32,-0.003508237485552795,-0.002268928697140127,0.0037215724081970727,8.038634736924454e-06,
quadratic,2,False,0.5,32,0.2868790041480004,0.29945761737371834,0.4103639400176496,0.00474625707809336,3.4587074345568486e-08
cubic,3,False,0.5,32,0.27905722913635805,0.2929535991731729,0.4218236010897389,0.04776302056670706,0.003575690448564736
affine_linear,1,True,0.5,32,0.39073281403491383,0.3936361259687504,0.4516531927509263,0.22430217120129903,3.3345722194649774e-06
affine_quadratic,2,True,0.5,32,0.5268915364584321,0.5323261806877556,0.6101011331982253,0.007807194814760464,0.001868426910488058
linear,1,False,1.0,32,-0.0019394956718030362,-0.001422730480019646,0.0047229204381748135,9.207210927809822e-06,
quadratic,2,False,1.0,32,0.18695085891465085,0.2823887658025901,0.3176886152496431,0.0056217220118944386,5.8965902884743385e-08
cubic,3,False,1.0,32,0.14396734630388655,0.2652931165267871,0.33577607403915466,0.08927918389504351,0.003427946914627125
affine_linear,1,True,1.0,32,0.6221173133766491,0.6323994538283847,0.6563293868267854,0.2075080007965591,3.0694317341339497e-06
affine_quadratic,2,True,1.0,32,0.657307956418843,0.6642930442261142,0.7045661528167775,0.01897607751259759,0.007022388124481355
linear,1,False,2.0,32,-0.0002353479413096781,-0.0003812479787679707,0.003035931640789912,1.4051929873102845e-05,
quadratic,2,False,2.0,32,0.08860375127573203,0.24948104256291476,0.3042981183727934,0.005560233788464924,1.1243708909603813e-07
cubic,3,False,2.0,32,-0.009525372541313248,0.2405580250240461,0.36512672003748164,0.07343692111402192,0.0022442121915772356
affine_linear,1,True,2.0,32,0.796537614531883,0.8031597506879855,0.8058031218871352,0.1707321052237605,4.163200579208791e-06
affine_quadratic,2,True,2.0,32,0.7943358274166918,0.8018337238536387,0.8112243622695657,0.0999955556381136,0.027410035724435983
