trial_id,prior_family,prior_scale,response_cache_path,continuous_joint_correct_all_anchor_logmean,continuous_joint_pred_image_id_all_anchor_logmean,continuous_joint_true_margin_all_anchor_logmean,continuous_joint_score_corr_with_zero_all_anchor_logmean,trajectory_rmse_all_anchor_logmean,nearest_trajectory_distance_all_anchor_logmean,catalog_residual_true_anchor_score_gap_all_anchor_logmean,continuous_joint_correct_top2_logmean,continuous_joint_pred_image_id_top2_logmean,continuous_joint_true_margin_top2_logmean,continuous_joint_score_corr_with_zero_top2_logmean,trajectory_rmse_top2_logmean,nearest_trajectory_distance_top2_logmean,catalog_residual_true_anchor_score_gap_top2_logmean,continuous_joint_correct_top2_shrink0p19,continuous_joint_pred_image_id_top2_shrink0p19,continuous_joint_true_margin_top2_shrink0p19,continuous_joint_score_corr_with_zero_top2_shrink0p19,trajectory_rmse_top2_shrink0p19,nearest_trajectory_distance_top2_shrink0p19,catalog_residual_true_anchor_score_gap_top2_shrink0p19,continuous_joint_correct_top2_a0p85,continuous_joint_pred_image_id_top2_a0p85,continuous_joint_true_margin_top2_a0p85,continuous_joint_score_corr_with_zero_top2_a0p85,trajectory_rmse_top2_a0p85,nearest_trajectory_distance_top2_a0p85,catalog_residual_true_anchor_score_gap_top2_a0p85
0,axis_edge_parallel,0.5,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,True,source_row:25,0.259602781700778,0.788949738395596,0.0230811903853346,0.0235040225088596,,True,source_row:25,0.2186492304573448,0.8170106021160618,0.0230811903853346,0.0235040225088596,0.3842757191272312,True,source_row:25,0.2264304051935823,0.8116061675498969,0.0230811903853346,0.0235040225088596,0.3842757191272312,True,source_row:25,0.2190430084214085,0.8171422359224115,0.0230943588621983,0.0235040225088596,0.3848281821742603
0,axis_edge_orthogonal,0.5,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,True,source_row:25,0.2591796598200062,0.831428395834567,0.0159695911795555,0.0165096595883369,,True,source_row:25,0.2414273368544286,0.820635246084216,0.0159695911795555,0.0165096595883369,0.3992943491131768,True,source_row:25,0.2448002782178946,0.8231198174092476,0.0159695911795555,0.0165096595883369,0.3992943491131768,True,source_row:25,0.2416713804273627,0.8210643965219012,0.0159706958650781,0.0165096595883369,0.3998729558256286
1,axis_edge_parallel,1.0,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,True,source_row:25,0.2693567491837711,-0.7053461473582701,0.0556997563352286,0.0451176315546035,,True,source_row:25,0.1621281406889352,-0.6560684564001978,0.0556997563352286,0.0451176315546035,1.2068249044107802,True,source_row:25,0.1825015763029682,-0.6646050532253756,0.0556997563352286,0.0451176315546035,1.2068249044107802,True,source_row:25,0.1723603316312392,-0.6672146119521942,0.0592020145602275,0.0451176315546035,1.2075156914212926
1,axis_edge_orthogonal,1.0,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,True,source_row:25,0.1348337746033507,-0.6361582311972834,0.0274116198884593,0.0266389772295951,,True,source_row:25,0.1625325529854535,-0.6259551110823771,0.0274116198884593,0.0266389772295951,1.233858539540961,True,source_row:25,0.1572697850928648,-0.6278702764622068,0.0274116198884593,0.0266389772295951,1.233858539540961,True,source_row:25,0.1703245612079627,-0.6296583081402434,0.0280981735379005,0.0266389772295951,1.219099102117866
2,axis_edge_parallel,2.0,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,False,source_row:9427,-0.3857892769226509,-0.5710317305142031,0.1055093493822738,0.0954675748944282,,False,source_row:9427,-0.2141247337057166,-0.6165365412676355,0.1055093493822738,0.0954675748944282,1.6236286256967103,False,source_row:9427,-0.2467409969168557,-0.6088328872910964,0.1055093493822738,0.0954675748944282,1.6236286256967103,False,source_row:9427,-0.116654595351747,-0.6488528299430738,0.1400709002758705,0.0954675748944282,1.528155952981706
2,axis_edge_orthogonal,2.0,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,False,source_row:9427,-0.1774122249559013,-0.623701794044754,0.083952497104205,0.0689588785171508,,True,source_row:25,0.0652477351894731,-0.6765967547780981,0.083952497104205,0.0689588785171508,1.645008312076584,True,source_row:25,0.0191423427618246,-0.6694249295267543,0.083952497104205,0.0689588785171508,1.645008312076584,True,source_row:25,0.1753074024620673,-0.715909133333142,0.1238896591113489,0.0689588785171508,1.6184561866239164
3,axis_edge_parallel,0.5,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,False,source_row:4203,-0.478693900984581,0.0608631222855729,0.1110580505386474,0.0810113176703453,,False,source_row:7530,-0.383033059873469,-0.6240057403348793,0.1110580505386474,0.0810113176703453,2.094571840597837,False,source_row:7530,-0.3311420967929734,-0.5466287085988123,0.1110580505386474,0.0810113176703453,2.094571840597837,False,source_row:7530,-0.4172315242187778,-0.6404728276771706,0.1131975361709749,0.0810113176703453,2.1280573454941987
3,axis_edge_orthogonal,0.5,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,False,source_row:4203,-0.3818797727922174,0.9397097527623788,0.1547768424585464,0.1201969683170318,,False,source_row:4203,-0.2276429924251033,0.9281430876828566,0.1547768424585464,0.1201969683170318,1.535621559483161,False,source_row:4203,-0.2569479806949175,0.9305968926580592,0.1547768424585464,0.1201969683170318,1.535621559483161,False,source_row:4203,-0.2264861305632166,0.927835238421772,0.1588240357376306,0.1201969683170318,1.5381125745268491
4,axis_edge_parallel,1.0,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,False,source_row:4203,-0.4884755109992511,0.8028495751959742,0.1153810345619289,0.0744054690003395,,False,source_row:4203,-0.1930164636086146,0.7158820156660747,0.1153810345619289,0.0744054690003395,1.8255408803164528,False,source_row:4203,-0.2491536826129277,0.7368363853827702,0.1153810345619289,0.0744054690003395,1.8255408803164528,False,source_row:4203,-0.2034179464267254,0.7093213733587007,0.1507861480148982,0.0744054690003395,1.8888957133845
4,axis_edge_orthogonal,1.0,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,False,source_row:4203,-0.0021934694581204,0.8858189823057886,0.1239313057355601,0.121529497206211,,True,source_row:76,0.1313044244097909,0.8468126906578175,0.1239313057355601,0.121529497206211,0.9646226020702215,True,source_row:76,0.1059398245749889,0.8570914088520281,0.1239313057355601,0.121529497206211,0.9646226020702215,True,source_row:76,0.1472281377267563,0.8407430037079928,0.1404136753191648,0.121529497206211,0.929927454962126
