calibration_mode,eval_split,prior_scale,residual_bin,selected_temperature,n_eval,image_accuracy,mean_feature_cosine,mean_true_mass,median_N_eff_fraction
default_temp,0,all,all,1,384,0.7083333333333334,0.9103658556639126,0.4241525201669934,0.8297373959020168
scale_temp,0,0.5,all,0.125,128,0.8203125,0.9670160904748235,0.7152332702229132,0.3040250229768524
scale_residual_quartile_temp,0,0.5,0,0.125,30,0.8666666666666667,0.9578972814650031,0.7898598600652834,0.25488633933128446
scale_residual_quartile_temp,0,0.5,1,0.125,44,0.9090909090909091,0.9718784603049858,0.7698142896993198,0.29754916075737076
scale_residual_quartile_temp,0,0.5,2,0.125,27,0.8148148148148148,0.9616026087804137,0.6625275075490547,0.4459321533936937
scale_residual_quartile_temp,0,0.5,3,0.25,27,0.6296296296296297,0.9740090857045419,0.5617235125862852,0.5010603792916057
scale_temp,0,1.0,all,0.125,128,0.7265625,0.9382560809052242,0.6124299831331255,0.37349466340958354
scale_residual_quartile_temp,0,1.0,0,0.125,36,0.8611111111111112,0.971356725185491,0.6839306080349661,0.3914258164822555
scale_residual_quartile_temp,0,1.0,1,0.125,28,0.6071428571428571,0.9027937575364684,0.5294041675573283,0.4338223851755084
scale_residual_quartile_temp,0,1.0,2,0.25,35,0.7428571428571429,0.9324694505514679,0.5540921271468557,0.5395930872365825
scale_residual_quartile_temp,0,1.0,3,0.25,29,0.6551724137931034,0.9412495380316492,0.5521598380424803,0.4835168497155616
scale_temp,0,2.0,all,0.25,128,0.578125,0.8928424912807549,0.5118061053778273,0.46167384443616755
scale_residual_quartile_temp,0,2.0,0,0.25,27,0.7407407407407407,0.9306104182606937,0.6805919755743032,0.35333897189964875
scale_residual_quartile_temp,0,2.0,1,0.25,32,0.59375,0.888765913964995,0.4929719467575863,0.46701893943004424
scale_residual_quartile_temp,0,2.0,2,0.5,33,0.45454545454545453,0.8750217204207124,0.43581564271541584,0.6004059670757003
scale_residual_quartile_temp,0,2.0,3,0.5,36,0.5555555555555556,0.9072616490594636,0.4176006126783682,0.731105367325843
scale_temp,0,all,all,"0.5:0.125,1:0.125,2:0.25",384,0.7083333333333334,0.9327048875536007,0.6131564529112886,0.4098733237604727
scale_residual_quartile_temp,0,all,all,"0.5:Q1:0.125,0.5:Q2:0.125,0.5:Q3:0.125,0.5:Q4:0.25,1:Q1:0.125,1:Q2:0.125,1:Q3:0.25,1:Q4:0.25,2:Q1:0.25,2:Q2:0.25,2:Q3:0.5,2:Q4:0.5",384,0.7083333333333334,0.9350128849435522,0.5964575633578061,0.46505807205721517
selected_geometry_temp,0,all,all,"scale + mean B R2 Q3|0.5:Q1:0.125,0.5:Q2:0.25,0.5:Q3:0.125,1:Q1:0.125,1:Q2:0.25,1:Q3:0.125,2:Q1:1,2:Q2:0.25,2:Q3:0.125",384,0.7083333333333334,0.9290817025720246,0.5912172104260001,0.4298245687361588
default_temp,1,all,all,1,384,0.7083333333333334,0.9111624963026245,0.4135362495894126,0.8279974963746417
scale_temp,1,0.5,all,0.125,128,0.8125,0.9490219460392775,0.6531184883071506,0.3357575202032538
scale_residual_quartile_temp,1,0.5,0,0.125,37,0.8648648648648649,0.9635546503442141,0.6595875148570371,0.35184860147290054
scale_residual_quartile_temp,1,0.5,1,0.125,22,0.9090909090909091,0.9660675088775005,0.6779039204289663,0.3700127074577348
scale_residual_quartile_temp,1,0.5,2,0.125,27,0.7777777777777778,0.9567517404434961,0.6648093637784195,0.32757997274875
scale_residual_quartile_temp,1,0.5,3,0.125,42,0.7380952380952381,0.9223215438812427,0.6269211757654839,0.3112298940765632
scale_temp,1,1.0,all,0.125,128,0.6796875,0.9390772260480601,0.6246526593188729,0.3694464475811471
scale_residual_quartile_temp,1,1.0,0,0.125,21,0.8095238095238095,0.9663937609212163,0.7719930374779089,0.2890483184540165
scale_residual_quartile_temp,1,1.0,1,0.25,43,0.6744186046511628,0.9243839750216281,0.5200285539961516,0.6162383101678677
scale_residual_quartile_temp,1,1.0,2,0.125,26,0.6153846153846154,0.9369880868135775,0.5938920259948086,0.4254429263659101
scale_residual_quartile_temp,1,1.0,3,0.25,38,0.6578947368421053,0.9351598535805715,0.5590518993769804,0.5156940242217951
scale_temp,1,2.0,all,0.5,128,0.6328125,0.9197183731482075,0.47674568345140056,0.6214856512798017
scale_residual_quartile_temp,1,2.0,0,0.25,40,0.775,0.9528937068418346,0.6551191048768004,0.3607754024981308
scale_residual_quartile_temp,1,2.0,1,1,29,0.6551724137931034,0.9118738490589272,0.3988785525001414,0.799065766836789
scale_residual_quartile_temp,1,2.0,2,1,34,0.5588235294117647,0.8987935860781018,0.4023751254401631,0.7711762107541775
scale_residual_quartile_temp,1,2.0,3,0.25,25,0.48,0.8985001149757049,0.41550747647959474,0.5426469175937233
scale_temp,1,all,all,"0.5:0.125,1:0.125,2:0.5",384,0.7083333333333334,0.9359391817451815,0.5848389436924747,0.47579944543585984
scale_residual_quartile_temp,1,all,all,"0.5:Q1:0.125,0.5:Q2:0.125,0.5:Q3:0.125,0.5:Q4:0.125,1:Q1:0.125,1:Q2:0.25,1:Q3:0.125,1:Q4:0.25,2:Q1:0.25,2:Q2:1,2:Q3:1,2:Q4:0.25",384,0.7083333333333334,0.934887834346219,0.5747346259346554,0.49139567357533104
selected_geometry_temp,1,all,all,"scale + mean B R2 Q3|0.5:Q1:0.125,0.5:Q2:0.125,0.5:Q3:0.125,1:Q1:0.125,1:Q2:0.125,1:Q3:0.5,2:Q1:1,2:Q2:0.5,2:Q3:0.25",384,0.7083333333333334,0.933846664001178,0.5668828011762398,0.5016050456353955
