poly_model,degree,include_intercept,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
linear,1,False,0.5,256,-0.0014168144625513802,-0.0016128771084894244,0.0072769114962908995,3.639923932788033e-07,
quadratic,2,False,0.5,256,0.21890062872372756,0.2246934349754104,0.3032131311235892,0.009806832128572942,2.972379423227566e-09
cubic,3,False,0.5,256,0.2191898757157323,0.22599163376875753,0.30485054696988956,0.017809897179227357,0.00497016773611163
affine_linear,1,True,0.5,256,0.3820170162157992,0.38295880703634366,0.44867973476602413,0.20696153044832055,1.389963517993437e-07
affine_quadratic,2,True,0.5,256,0.4722827555857365,0.47785116401660654,0.5564717866461963,0.014485836456859427,0.0028309849334829567
linear,1,False,1.0,256,-0.0009518148433475096,-0.0007999669789671982,0.00469835651846109,6.059612467197588e-07,
quadratic,2,False,1.0,256,0.22392112896139363,0.2684518216921262,0.2989317871978075,0.007051858923099166,4.7591332812068545e-09
cubic,3,False,1.0,256,0.22922958705465593,0.2693504553347886,0.31503681668859435,0.020199007762040935,0.004601593583672604
affine_linear,1,True,1.0,256,0.6332862136744595,0.6404110208442568,0.6625182325400701,0.22254677489074787,2.0489853567386068e-07
affine_quadratic,2,True,1.0,256,0.6665712861932525,0.6713110428266534,0.7018854393771446,0.020597543801791032,0.009357341407907208
linear,1,False,2.0,256,0.000490166827132434,-6.002107762449749e-05,0.003211766510184323,1.1267298242051096e-06,
quadratic,2,False,2.0,256,0.16932096353646342,0.27117110411411705,0.28831090747870275,0.006341043816095179,9.571035854683813e-09
cubic,3,False,2.0,256,0.1857263646660677,0.2741536080580827,0.33517039348501043,0.025184953398820115,0.0032152016141008114
affine_linear,1,True,2.0,256,0.791394877959623,0.7936151102988597,0.8002937489685776,0.1707082688650356,2.8156481896116915e-07
affine_quadratic,2,True,2.0,256,0.7912205250552632,0.796552047565249,0.8043298707804959,0.12088280740689156,0.03817297249132399
