trial_id,response_cache_path,prior_family,prior_scale,candidate_index,poly_model,degree,include_intercept,n_trajectories,n_timebins,basis_dim,ridge,train_r2_energy,cv_r2_energy,mean_fold_r2_energy,feature_dim,coef_singular1,coef_singular2,coef_singular3,coef_s2_over_s1,coef_s3_over_s1,A_singular1_median,A_singular2_median,A_singular2_p10,A_anisotropy_median,A_condition_median,A_log10_condition_median,A_area_median,A_rank1_fraction_anisotropy_lt_0p1,A_rank1_fraction_anisotropy_lt_0p2
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,2,affine_linear,1,True,16,40,10,0.01,0.405553076598993,0.341718553068567,0.2661893973498314,3,0.03744818396848633,0.004100757649944522,2.6249023618576187e-08,0.109504846841049,7.009424980571943e-07,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,2,affine_quadratic,2,True,16,40,10,0.01,0.5878282959078509,0.49274625696530017,0.46343378076949343,6,1.609852545100756,0.012845555715031222,0.002551598782836415,0.007979336836857476,0.001584989128725897,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,linear,1,False,16,40,10,0.01,0.0033033406965090606,-0.0021286196303864635,-8.593408986865003e-05,2,0.025996240209235227,2.0053316471030285e-09,,7.713929518125585e-08,,0.025996240209235227,2.0053316471030285e-09,2.0053316471030285e-09,7.713929518125585e-08,12963561.53696088,7.112724333583663,5.213108319727165e-11,1.0,1.0
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,quadratic,2,False,16,40,10,0.01,0.46034046122343864,0.33441859580457933,0.24276497889654475,5,1.858779933709172,0.0051898994516927435,1.8795534652540187e-09,0.0027920999993454655,1.0111758961715244e-09,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,cubic,3,False,16,40,10,0.01,0.4603609933841101,0.33442627900690036,0.24278858298311265,9,1.8587945223341158,0.013046398006638777,0.00422921726274951,0.007018741366988871,0.002275247323969311,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,affine_linear,1,True,16,40,10,0.01,0.3527633902462183,0.2879260926884505,0.13381953745557934,3,0.028119112571509737,0.0024941827868887297,1.9424518913751878e-09,0.08870062241636437,6.907941658668413e-08,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,3,affine_quadratic,2,True,16,40,10,0.01,0.5916555612737955,0.4884924472033494,0.4229412790132346,6,1.3863609721862675,0.0051286151821827355,0.0018327825532213685,0.003699336092890005,0.0013220096280776728,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,0,linear,1,False,16,40,10,0.01,0.007212996133107441,0.0005762930943673528,0.0022524104851315563,2,0.05028978494725386,4.1003847225369344e-08,,8.153514131821399e-07,,0.05028978494725386,4.1003847225369344e-08,4.1003847225369344e-08,8.153514131821399e-07,1226465.0356062015,6.0886551717354465,2.0620746589738764e-09,1.0,1.0
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,0,quadratic,2,False,16,40,10,0.01,0.4055706799772737,0.28402619834276843,0.20477441597849494,5,2.3379431433582627,0.007423755054769195,3.816149235451633e-08,0.0031753360109970778,1.6322677676284502e-08,,,,,,,,,
0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,0,cubic,3,False,16,40,10,0.01,0.4055754794597496,0.28402442688483154,0.2047762701365479,9,2.3379712008024116,0.007425173205703081,0.0040427953126677615,0.003175904477845877,0.00172918952606441,,,,,,,,,
