observer_mode,prior_scale,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_map_feature_cosine,mean_true_mass,median_N_eff_fraction
zero,0.5,256,0.609375,0.8742879766199879,0.9255938662591103,0.8608573023752752,0.3966852366862985,0.6721519742822251
joint,0.5,256,0.796875,0.9266980565122521,0.9444346367576599,0.9513205656027092,0.46225930709944885,0.7845269945517425
best_single_tau,0.5,256,0.83203125,0.9279617763326482,0.9471720733479491,0.9584917595547299,0.4611825742835264,0.7959402653788958
linear_continuous,0.5,256,0.46484375,0.8317973404063049,0.9806604638160088,0.8218802261378914,0.4372157073411842,0.25075290742367445
quadratic_profile,0.5,256,0.609375,0.9041818124189763,0.9976095279050641,0.8900464491550302,0.5848434971867509,0.2587987607139344
quadratic_poisson,0.5,256,0.81640625,0.9179707770814673,0.9345019740609888,0.9545916506525215,0.4267638007442168,0.8390856044753805
known,0.5,256,1.0,0.9525628067670481,0.96650200094225,1.0,0.543264575183102,0.6672643718483452
zero,1.0,256,0.390625,0.8263848964355318,0.8861813452388629,0.7726769045992838,0.33961917613408704,0.5060949767191283
joint,1.0,256,0.80078125,0.9285251399264254,0.9458957750410522,0.9555744009089999,0.4661198082981935,0.7602082474064104
best_single_tau,1.0,256,0.8203125,0.9297287744775564,0.9451508630927898,0.965374998932894,0.4642364059430586,0.7736985576094701
linear_continuous,1.0,256,0.296875,0.7403559524336201,0.6746202189400297,0.7326161594404776,0.27899791468218427,0.2500459584144522
quadratic_profile,1.0,256,0.52734375,0.8508322190108394,0.9922433536052648,0.8410925487990223,0.4769365919161867,0.26752851982334963
quadratic_poisson,1.0,256,0.671875,0.9095592653592599,0.9196642696635339,0.9187415465207055,0.41330096714084025,0.8668486559740931
known,1.0,256,1.0,0.9585716901356965,0.9704602883057933,1.0,0.5692372776557224,0.6135551383662913
zero,2.0,256,0.3359375,0.7787143121085309,0.8161046285917566,0.7368329514055354,0.30772369034076225,0.37306398435757543
joint,2.0,256,0.7109375,0.9243728095277356,0.9498190272131672,0.9314132809867326,0.47095896519176444,0.7398758910294083
best_single_tau,2.0,256,0.69921875,0.9223390935758542,0.9438428270093852,0.9241821212231118,0.46430770540617805,0.7504312382793673
linear_continuous,2.0,256,0.24609375,0.7119115876748232,0.6132671113862209,0.706952246815873,0.23236494341882633,0.25000000020113333
quadratic_profile,2.0,256,0.40625,0.8163267611442981,0.9269358274647312,0.7998299782518814,0.38892029531576644,0.26356805855908105
quadratic_poisson,2.0,256,0.5859375,0.9017943302832161,0.9173516833467679,0.8767688159678231,0.4066284565865309,0.8350521727311908
known,2.0,256,1.0,0.9668119328344322,0.9734778493797606,1.0,0.6095136430748158,0.5675954744195006
