run_slug,run_label,split_key,calibration_mode,eval_split,prior_scale,prior_family,selected_temperature,default_temperature,default_mean_feature_cosine,eval_mean_feature_cosine,delta_vs_default,eval_image_accuracy,eval_mean_true_mass,eval_median_N_eff_fraction,n_eval
origin_smoke64,Origin scale-conditioned smoke64,table_index,global,0,all,all,0.125,1.0,0.9425940759442348,0.9568308260187786,0.014236750074543725,0.8125,0.6390659731193447,0.3517466304913148,32
origin_smoke64,Origin scale-conditioned smoke64,table_index,scale_specific,0,0.5,all,0.125,1.0,0.9438099085666098,0.9792482491964052,0.03543834062979534,0.9090909090909091,0.6808667769461437,0.25498044603000874,11
origin_smoke64,Origin scale-conditioned smoke64,table_index,scale_specific,0,1.0,all,0.25,1.0,0.9411298722024175,0.9581404497963348,0.01701057759391733,0.7272727272727273,0.5924879961084275,0.47098431473539,11
origin_smoke64,Origin scale-conditioned smoke64,table_index,scale_specific,0,2.0,all,0.125,1.0,0.942867284175622,0.940831608530328,-0.002035675645294055,0.8,0.6223601175288376,0.35576259991375603,10
origin_smoke64,Origin scale-conditioned smoke64,table_index,scale_specific,0,all,all,"0.5:0.125,1.0:0.25,2.0:0.125",1.0,0.942594075944235,0.9599872429444819,0.01739316700024684,0.8125,0.6322032399652706,0.35576259991375603,32
origin_smoke64,Origin scale-conditioned smoke64,table_index,global,1,all,all,0.25,1.0,0.942270381226183,0.963877502023507,0.021607120797323964,0.78125,0.6037298554840453,0.49426618924649895,32
origin_smoke64,Origin scale-conditioned smoke64,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9461100079271724,0.9793686526184853,0.0332586446913129,0.9090909090909091,0.6814357154631435,0.26276391320546955,11
origin_smoke64,Origin scale-conditioned smoke64,table_index,scale_specific,1,1.0,all,0.25,1.0,0.9415364449564638,0.9661871336967749,0.024650688740311066,0.7272727272727273,0.6009364754478504,0.5000086573790069,11
origin_smoke64,Origin scale-conditioned smoke64,table_index,scale_specific,1,2.0,all,0.5,1.0,0.9388541217517854,0.9455497768836254,0.006695655131840006,0.7,0.53561741192271,0.5108990195882912,10
origin_smoke64,Origin scale-conditioned smoke64,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.25,2.0:0.5",1.0,0.9422703812261829,0.9642691068220035,0.02199872559582074,0.78125,0.608195881851501,0.5000086573790069,32
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,global,0,all,all,0.25,1.0,0.9391598384073037,0.9618887856428744,0.02272894723557073,0.78125,0.618939022877212,0.44811247505948787,32
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,scale_specific,0,0.5,all,0.25,1.0,0.9242148958564891,0.937658598484386,0.013443702627896958,0.8181818181818182,0.5676181951454456,0.5001484993040766,11
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,scale_specific,0,1.0,all,0.25,1.0,0.9416914701653473,0.967716619696668,0.026025149531320735,0.7272727272727273,0.6141002170173767,0.45461367825753807,11
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,scale_specific,0,2.0,all,0.25,1.0,0.9528144802793515,0.9821313740580389,0.029316893778687403,0.8,0.6807146198279739,0.4358998079134644,10
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,scale_specific,0,all,all,"0.5:0.25,1.0:0.25,2.0:0.25",1.0,0.9391598384073037,0.9618887856428744,0.022728947235570895,0.78125,0.618939022877212,0.45461367825753807,32
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,global,1,all,all,0.125,1.0,0.9381596402144736,0.9539982419161233,0.015838601701649635,0.71875,0.6495240451789246,0.26691749463760833,32
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,scale_specific,1,0.5,all,0.125,1.0,0.9268528622435318,0.9399064696992473,0.013053607455715488,0.7272727272727273,0.6422548743947716,0.29824583515056147,11
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,scale_specific,1,1.0,all,0.125,1.0,0.9365252938293271,0.9556297917872553,0.019104497957928124,0.7272727272727273,0.6422652355466835,0.27010909751407514,11
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,scale_specific,1,2.0,all,0.125,1.0,0.9523948770061708,0.9677044864964419,0.015309609490271159,0.7,0.6655048236369584,0.2538777429829119,10
prior_mean_centered_smoke64,Prior-mean centered quadratic smoke64,table_index,scale_specific,1,all,all,"0.5:0.125,1.0:0.125,2.0:0.125",1.0,0.9381596402144736,0.9539982419161234,0.01583860170164973,0.71875,0.6495240451789247,0.27010909751407514,32
affine_x1000_smoke64,Affine x1000 smoke64,table_index,global,0,all,all,0.25,1.0,0.9395044951597218,0.9626376276350124,0.023133132475290585,0.8125,0.6256286840432854,0.48991767071469117,32
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,0,0.5,all,0.25,1.0,0.9248696458759306,0.9402772382208877,0.015407592344957144,0.8181818181818182,0.571604804159959,0.5001506547956766,11
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,0,1.0,all,0.125,1.0,0.9441308571755365,0.98007039300164,0.03593953582610354,0.8181818181818182,0.6707606925720956,0.2936256273485846,11
affine_x1000_smoke64,Affine x1000 smoke64,table_index,scale_specific,0,2.0,all,0.25,1.0,0.9505138311544954,0.9749251619974151,0.024411330842919687,0.8,0.6869524923808782,0.48991767071469117,10
