lag_model,lags,n_lags,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
instant,0,1,0.5,256,-0.0016427869704836186,-0.0016441066128146248,0.0072777352817210705,0.003616906160050137,
lag0_1,"0,1",2,0.5,256,-0.009735416192085825,-0.0068755652607379175,0.014308153424771698,0.1549533967361239,0.0010498907952298082
lag0_1_2,"0,1,2",3,0.5,256,-0.02351001494342698,-0.012108035339362971,0.02269814145670422,0.1529864491683175,0.06384576008955165
lag0_1_2_4,"0,1,2,4",4,0.5,256,-0.04984488293109605,-0.02714949743699059,0.041780268606758514,0.2923214764508447,0.08789224287609355
lag0_1_2_4_8,"0,1,2,4,8",5,0.5,256,-0.1086688292076527,-0.08452489721320036,0.09035963616032305,0.26094882742610853,0.1196959481104693
instant,0,1,1.0,256,-0.0009951321424377956,-0.0008124104591638176,0.004698420843132937,0.0060392987750345515,
lag0_1,"0,1",2,1.0,256,-0.003971444909488898,-0.0034356067328193407,0.00875150900305556,0.20452590932459347,0.0024410765991031225
lag0_1_2,"0,1,2",3,1.0,256,-0.008891604364770671,-0.008065452055286068,0.013914981429140483,0.19970408099849568,0.08241636167435852
lag0_1_2_4,"0,1,2,4",4,1.0,256,-0.021065388370035958,-0.02212201337690803,0.02649025916109724,0.27919912443869055,0.11185680157553868
lag0_1_2_4_8,"0,1,2,4,8",5,1.0,256,-0.052807656923408074,-0.04810569683502691,0.0573773717922397,0.25994461648668654,0.12824646481064939
instant,0,1,2.0,256,0.00048274052690372785,-6.286321162506103e-05,0.003211776915096446,0.011241738983963908,
lag0_1,"0,1",2,2.0,256,-0.0006120211450191349,-0.0013865717923466359,0.006203795926324979,0.1802748988434179,0.005704281735938016
lag0_1_2,"0,1,2",3,2.0,256,-0.0025600526303760284,-0.003630942480699312,0.0103608351286812,0.16439957952268838,0.07824091582941328
lag0_1_2_4,"0,1,2,4",4,2.0,256,-0.006972943279407046,-0.009327525392224478,0.021473947881842845,0.20523298605533064,0.09184762615453139
lag0_1_2_4_8,"0,1,2,4,8",5,2.0,256,-0.024689247419848136,-0.02365856776109579,0.04534241894437793,0.22907363660321006,0.11747195244781981
