run_slug,run_label,intercept_multiplier,prior_scale,prior_family,median_score_corr_with_zero,median_true_score_delta_vs_zero,n_tables
affine_x1,Affine x1,1.0,0.5,axis_edge_orthogonal,0.79278720233278,0.9271669111576841,128
affine_x1,Affine x1,1.0,0.5,axis_edge_parallel,0.8362450658319885,0.9738483774156919,128
affine_x1,Affine x1,1.0,1.0,axis_edge_orthogonal,0.48425088953812573,7.631294105740295,128
affine_x1,Affine x1,1.0,1.0,axis_edge_parallel,0.667445752348313,7.559319536888552,128
affine_x1,Affine x1,1.0,2.0,axis_edge_orthogonal,0.35229018086831365,18.12152042652076,128
affine_x1,Affine x1,1.0,2.0,axis_edge_parallel,0.4475894782688244,18.193580777949478,128
affine_x10,Affine x10,10.0,0.5,axis_edge_orthogonal,0.7929030243289144,0.927267934409997,128
affine_x10,Affine x10,10.0,0.5,axis_edge_parallel,0.8362450846249467,0.973971187266045,128
affine_x10,Affine x10,10.0,1.0,axis_edge_orthogonal,0.4847921228513209,7.633946031524232,128
affine_x10,Affine x10,10.0,1.0,axis_edge_parallel,0.6711078792976433,7.562183045548636,128
affine_x10,Affine x10,10.0,2.0,axis_edge_orthogonal,0.3543928792966113,18.143642641862186,128
affine_x10,Affine x10,10.0,2.0,axis_edge_parallel,0.4481364315457588,18.17929578874569,128
affine_x1000,Affine x1000,1000.0,0.5,axis_edge_orthogonal,0.7993263083475891,0.9379067845766258,128
affine_x1000,Affine x1000,1000.0,0.5,axis_edge_parallel,0.8430787708086632,0.9868235788808022,128
affine_x1000,Affine x1000,1000.0,1.0,axis_edge_orthogonal,0.6225353582937697,7.808712712532156,128
affine_x1000,Affine x1000,1000.0,1.0,axis_edge_parallel,0.7111796126326015,7.775254234841185,128
affine_x1000,Affine x1000,1000.0,2.0,axis_edge_orthogonal,0.5506683837017357,18.347095031406326,128
affine_x1000,Affine x1000,1000.0,2.0,axis_edge_parallel,0.46630918215672895,18.49392118769589,128
