run_slug,run_label,n,image_accuracy,mean_feature_cosine,mean_true_mass,median_N_eff_fraction,optimizer_success,median_iter,mean_B_r2
k15_ridge0p1,k=15 ridge=0.1,64,0.828125,0.9266968352785293,0.5006577537651021,0.7353368256670576,0.875,72.0,0.18494660766654164
k20_ridge0p1,k=20 ridge=0.1,64,0.84375,0.9261390363162938,0.5004333388240917,0.7236539069237335,0.84375,71.0,0.17731523270053284
k20_ridge0p03,k=20 ridge=0.03,64,0.8125,0.9251950724869528,0.49845904883707803,0.722412314981107,0.60546875,76.0,0.2741357347740387
k10_ridge0p1,k=10 ridge=0.1,64,0.78125,0.9251255334413667,0.49896947774160316,0.6862771460861746,0.9140625,72.0,0.18672675577891681
k10_ridge0p01,k=10 ridge=0.01,64,0.765625,0.9240556067128582,0.49490791273550966,0.695328876651722,0.80078125,72.0,0.29893178719780744
