prior_scale,known_accuracy,zero_accuracy,finite_joint_accuracy,best_single_tau_accuracy,continuous_joint_accuracy,median_trajectory_rmse,median_trajectory_corr_mean,n_trials
0.5,1.0,0.609375,0.796875,0.83203125,0.7109375,0.06163834663138945,0.09521802377197405,256
1.0,1.0,0.390625,0.80078125,0.8203125,0.54296875,0.1677214135207131,0.09510174253720904,256
2.0,1.0,0.3359375,0.7109375,0.69921875,0.4296875,0.24110856974384384,0.12781846831936866,256
