poly_model,degree,include_intercept,n_tables,median_coef_s2_over_s1,median_coef_s3_over_s1,mean_cv_r2_energy,mean_train_r2_energy
linear,1,False,768,6.059612467197588e-07,,-0.0006261541595888186,0.005062344841645437
quadratic,2,False,768,0.007051858923099166,4.7591332812068545e-09,0.2040475737405282,0.2968186086000331
cubic,3,False,768,0.020199007762040935,0.004601593583672604,0.21138194247881867,0.31835258571449815
affine_linear,1,True,768,0.20696153044832055,2.0489853567386068e-07,0.6022327026166273,0.6371639054248907
affine_quadratic,2,True,768,0.020597543801791032,0.009357341407907208,0.6433581889447507,0.6875623656012789
