prior_scale,n,posterior_temperature,image_accuracy,mean_feature_cosine,mean_true_mass,median_neff_fraction,max_effective_score_error,max_raw_temperature_feature_mismatch
all,768,mixed,0.7083333333333334,0.9358345595810328,0.592900307149236,0.47009501892348016,9.094947017729282e-13,6.639133687258436e-14
0.5,256,0.125,0.81640625,0.958019018257051,0.6841758792650336,0.3123878910861494,9.094947017729282e-13,6.639133687258436e-14
1,256,0.125,0.703125,0.9386666534766412,0.6185413212259978,0.37349466340958365,9.094947017729282e-13,6.639133687258436e-14
2,256,0.5,0.60546875,0.9108180070094062,0.47598372095667696,0.6178997773923205,9.094947017729282e-13,6.639133687258436e-14
