trial_id,response_cache_path,prior_family,prior_scale,lag_model,lags,n_lags,n_candidates,n_trajectories,n_timebins,basis_dim,ridge,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1,"0,1",2,4,16,40,10,0.01,0.0019801379461674706,0.0021783530848814014,0.006818051136067982,0.18437178292990186,1.6530657761628114e-06
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.002730782803510634,-0.0031298600470067717,0.008087139750650313,0.19785319576141427,0.10869480770523021
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.01932613394540239,-0.022256826300001697,0.009538101975506641,0.5562871807115388,0.16958857789194265
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.058242576387794676,-0.0694805834487473,0.013467784122270982,0.29253426397684845,0.17244664138490096
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,instant,0,1,4,16,40,10,0.01,0.0028240330449427753,0.0024520991138535786,0.004289695111219294,9.999793096841802e-07,
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1,"0,1",2,4,16,40,10,0.01,0.0005316435145543974,0.0002631268079943405,0.0057823523437149915,0.17369684045876152,1.3169946322635182e-06
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.004241345641045502,-0.0046172453619520715,0.007078434385282134,0.20657375766413666,0.08666713517081816
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.021109701353775157,-0.023573228957683434,0.008549317904258252,0.5814908183938002,0.17895666947858707
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.06037151325492379,-0.07002301505461295,0.012325397893653639,0.3366642946551468,0.1544226026565385
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,instant,0,1,4,16,40,10,0.01,-0.013455852462983808,-0.014227069340132403,0.0019251945976203055,5.018201900461765e-08,
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1,"0,1",2,4,16,40,10,0.01,-0.04990127391122745,-0.05022711046019701,0.0024519713379259345,0.3096695236784515,3.402938363310495e-08
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.16420518955104257,-0.16665555447339353,0.003760276878974761,0.40139908402069796,0.21535682270852075
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.3165430705818098,-0.31887468073525316,0.007563704009916655,0.26975683099036385,0.17809796642747922
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,axis_edge_parallel,0.5,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.351676002622662,-0.366706498673927,0.010934144936104173,0.595736727196438,0.24438409696428887
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,instant,0,1,4,16,40,10,0.01,-0.01640140617970226,-0.013639983639231135,0.0016852110140928855,7.112694084893264e-08,
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1,"0,1",2,4,16,40,10,0.01,-0.04540776371713823,-0.04112923453499673,0.0017877491914402022,0.2895335284080772,8.217416397347685e-08
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.1343156206894648,-0.13265589137848643,0.002433671175218005,0.36975920554310704,0.19240874976004302
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.26051410551418686,-0.2684141051183637,0.0039142702288139375,0.27478358879403364,0.20944777286119548
3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,axis_edge_orthogonal,0.5,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.3066725995576641,-0.3275718325492414,0.00565116720050296,0.5503193441408878,0.2225496223911453
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,instant,0,1,4,16,40,10,0.01,-0.006851528034565846,-0.002849514855924884,0.00441491803415095,4.301557222611538e-08,
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1,"0,1",2,4,16,40,10,0.01,-0.01709208044929389,-0.010341517932367927,0.00525867446090833,0.40566747015132487,5.213129526237173e-08
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.03130160852095126,-0.021622868115685923,0.006031680758865204,0.5075519662295904,0.1386043442125438
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.06227150782893892,-0.043916681491415255,0.00796904697713599,0.4909435717085032,0.1543699688016493
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,axis_edge_parallel,1.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.1355117992965586,-0.0877603838557306,0.014676786389525603,0.3625916961053363,0.21790497520023938
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,instant,0,1,4,16,40,10,0.01,-0.00839494313229222,-0.0026016196840004113,0.0037702352203643763,5.0573591723152604e-08,
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,lag0_1,"0,1",2,4,16,40,10,0.01,-0.018214272210364757,-0.009451672207539397,0.004251490434980437,0.3790630970489399,7.748181988339752e-08
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,lag0_1_2,"0,1,2",3,4,16,40,10,0.01,-0.030407302635702294,-0.019116755728407098,0.004998442420746485,0.5078979202915996,0.1898870612885064
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,lag0_1_2_4,"0,1,2,4",4,4,16,40,10,0.01,-0.05703276101675653,-0.03828061561673424,0.0071316414551454155,0.32310594971134127,0.15139646031265902
4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,lag0_1_2_4_8,"0,1,2,4,8",5,4,16,40,10,0.01,-0.12201356025411125,-0.07961533339023341,0.014612306106989575,0.3639401545943555,0.22028071008871347
