prior_scale,prior_family,axis_label,observer_mode,observer_label,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_map_feature_cosine,mean_true_mass,median_N_eff_fraction,posterior_temperature
0.5,axis_edge_orthogonal,across contour,continuous_joint,joint estimator,128,0.8046875,0.9585438404283086,0.9982231696642834,0.9539261458715296,0.6889363128912669,0.30468198011512393,0.125
0.5,axis_edge_parallel,along contour,continuous_joint,joint estimator,128,0.828125,0.9574941960085706,0.9971601757397801,0.9552571554335134,0.6794154433804532,0.32088303792049944,0.125
0.5,axis_edge_orthogonal,across contour,known,known-eye,128,1.0,0.952562806767048,0.9665020009422505,1.0,0.5432645751831016,0.667264371848368,1.0
0.5,axis_edge_parallel,along contour,known,known-eye,128,1.0,0.952562806767048,0.9665020009422505,1.0,0.5432645751831016,0.667264371848368,1.0
0.5,axis_edge_orthogonal,across contour,zero,zero-eye,128,0.609375,0.8742879766199878,0.925593866259109,0.8608573023752752,0.39668523668629824,0.672151974282264,1.0
0.5,axis_edge_parallel,along contour,zero,zero-eye,128,0.609375,0.8742879766199878,0.925593866259109,0.8608573023752752,0.39668523668629824,0.672151974282264,1.0
1.0,axis_edge_orthogonal,across contour,continuous_joint,joint estimator,128,0.703125,0.9366241196165109,0.9950828706547682,0.92498481911277,0.6147643428847548,0.36484485007414447,0.125
1.0,axis_edge_parallel,along contour,continuous_joint,joint estimator,128,0.703125,0.940709177722486,0.9950104842391767,0.923903524494877,0.6223182609823114,0.3887550341524483,0.125
1.0,axis_edge_orthogonal,across contour,known,known-eye,128,1.0,0.9585716901356964,0.9704602883057933,1.0,0.569237277655722,0.6135551383662933,1.0
1.0,axis_edge_parallel,along contour,known,known-eye,128,1.0,0.9585716901356964,0.9704602883057933,1.0,0.569237277655722,0.6135551383662933,1.0
1.0,axis_edge_orthogonal,across contour,zero,zero-eye,128,0.390625,0.826384896435532,0.8861813452388652,0.7726769045992838,0.3396191761340873,0.5060949767191216,1.0
1.0,axis_edge_parallel,along contour,zero,zero-eye,128,0.390625,0.826384896435532,0.8861813452388652,0.7726769045992838,0.3396191761340873,0.5060949767191216,1.0
2.0,axis_edge_orthogonal,across contour,continuous_joint,joint estimator,128,0.625,0.9166036770230821,0.9414108648346874,0.8777838880121791,0.4843944170276706,0.6271109168178924,0.5
2.0,axis_edge_parallel,along contour,continuous_joint,joint estimator,128,0.5859375,0.9169370725566874,0.9503740673318677,0.8664198358947586,0.4871383150844572,0.6241938194809361,0.5
2.0,axis_edge_orthogonal,across contour,known,known-eye,128,1.0,0.9668119328344323,0.9734778493797603,1.0,0.6095136430748155,0.5675954744194658,1.0
2.0,axis_edge_parallel,along contour,known,known-eye,128,1.0,0.9668119328344323,0.9734778493797603,1.0,0.6095136430748155,0.5675954744194658,1.0
2.0,axis_edge_orthogonal,across contour,zero,zero-eye,128,0.3359375,0.7787143121085309,0.8161046285917566,0.7368329514055354,0.3077236903407626,0.37306398435756477,1.0
2.0,axis_edge_parallel,along contour,zero,zero-eye,128,0.3359375,0.7787143121085309,0.8161046285917566,0.7368329514055354,0.3077236903407626,0.37306398435756477,1.0
