row_type,split_key,calibration_mode,prior_scale,prior_family,eval_split,selected_on_split,selected_run_slug,selected_run_label,train_feature_cosine,eval_feature_cosine,eval_image_accuracy,eval_delta_vs_default,selected_temperature,n_eval
split,trial_id,scale_specific,all,all,0,1,knownstart_scale_prior_hybrid_full,Known-start_scale-prior_hybrid,0.9377999991191759,0.9355324806097499,0.71875,0.024485591339657293,"0.5:0.125,1.0:0.125,2.0:0.25",384
split,trial_id,scale_specific,all,all,1,0,knownstart_scale_prior_hybrid_full,Known-start_scale-prior_hybrid,0.9355324806097499,0.9377999991191759,0.6953125,0.02653216496559511,"0.5:0.125,1.0:0.125,2.0:0.5",384
aggregate,trial_id,scale_specific,all,all,-1,-1,knownstart_scale_prior_hybrid_full;knownstart_scale_prior_hybrid_full,Known-start_scale-prior_hybrid;Known-start_scale-prior_hybrid,0.9366662398644628,0.9366662398644628,0.70703125,0.025508878152626202,"0.5:0.125,1.0:0.125,2.0:0.25;0.5:0.125,1.0:0.125,2.0:0.5",768
