run_slug,run_label,n_trials,zero_accuracy,joint_accuracy,best_single_tau_accuracy,continuous_joint_accuracy,median_trajectory_rmse,median_trajectory_corr_mean
subset_knownstart_ar1_k10,"Subset: known-start AR(1), k=10",96,0.6458333333333334,0.8645833333333334,0.8854166666666666,0.75,0.14111065652003116,0.15617892116591103
subset_axis_interleaved_ar1_k10,Subset: axis-interleaved known-start AR(1),96,0.6458333333333334,0.8645833333333334,0.8854166666666666,0.7604166666666666,0.1429158790050774,0.1806395133425398
subset_knownstart_ar1_fullunits,Subset: full-unit known-start AR(1),96,0.6458333333333334,0.8645833333333334,0.8854166666666666,0.71875,0.2586126751357245,0.13349625744568872
subset_catalog_gaussian_prior,Subset: catalog Gaussian prior,96,0.6458333333333334,0.8645833333333334,0.8854166666666666,0.6770833333333334,0.09410435612741985,0.12796443918301992
subset_catalog_gaussian_ctf,Subset: catalog Gaussian CTF,96,0.6458333333333334,0.8645833333333334,0.8854166666666666,0.7291666666666666,0.1675111308269219,0.1696067759241586
