run_label,run_slug,observer,accuracy,observer_label
"Catalog residual profile, k=10, smooth A(t), top-2 anchors",catalog_residual_k10_timevary_smooth_topk2,known_accuracy,1.0,known eye
"Catalog residual profile, k=10, smooth A(t), top-2 anchors",catalog_residual_k10_timevary_smooth_topk2,zero_accuracy,0.4453125,zero eye
"Catalog residual profile, k=10, smooth A(t), top-2 anchors, tuned AR(1)",catalog_residual_k10_timevary_smooth_topk2_a0p85,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Catalog residual profile, k=10, smooth A(t), top-2 anchors, tuned AR(1)",catalog_residual_k10_timevary_smooth_topk2_a0p85,continuous_joint_accuracy,0.8450520833333334,continuous joint
"Catalog residual profile, k=10, smooth A(t), top-2 anchors, tuned AR(1)",catalog_residual_k10_timevary_smooth_topk2_a0p85,joint_accuracy,0.76953125,finite joint
"Catalog residual profile, k=10, smooth A(t), top-2 anchors, tuned AR(1)",catalog_residual_k10_timevary_smooth_topk2_a0p85,known_accuracy,1.0,known eye
"Catalog residual profile, k=10, smooth A(t), top-2 anchors, tuned AR(1)",catalog_residual_k10_timevary_smooth_topk2_a0p85,zero_accuracy,0.4453125,zero eye
"Catalog residual profile, k=10, smoothed anchors, sigma=6",catalog_residual_k10_topk2_shrink0p19_anchor_smooth6,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Catalog residual profile, k=10, smoothed anchors, sigma=6",catalog_residual_k10_topk2_shrink0p19_anchor_smooth6,continuous_joint_accuracy,0.84375,continuous joint
"Catalog residual profile, k=10, smoothed anchors, sigma=6",catalog_residual_k10_topk2_shrink0p19_anchor_smooth6,joint_accuracy,0.76953125,finite joint
"Catalog residual profile, k=10, smoothed anchors, sigma=6",catalog_residual_k10_topk2_shrink0p19_anchor_smooth6,known_accuracy,1.0,known eye
"Catalog residual profile, k=10, smoothed anchors, sigma=6",catalog_residual_k10_topk2_shrink0p19_anchor_smooth6,zero_accuracy,0.4453125,zero eye
"Kalman marginal, k=50",kalman_k50,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Kalman marginal, k=50",kalman_k50,continuous_joint_accuracy,0.40625,continuous joint
"Kalman marginal, k=50",kalman_k50,joint_accuracy,0.76953125,finite joint
"Kalman marginal, k=50",kalman_k50,known_accuracy,1.0,known eye
"Kalman marginal, k=50",kalman_k50,zero_accuracy,0.4453125,zero eye
"Linear Poisson profile, k=10",poisson_k10,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
"Linear Poisson profile, k=10",poisson_k10,continuous_joint_accuracy,0.4973958333333333,continuous joint
"Linear Poisson profile, k=10",poisson_k10,joint_accuracy,0.76953125,finite joint
"Linear Poisson profile, k=10",poisson_k10,known_accuracy,1.0,known eye
"Linear Poisson profile, k=10",poisson_k10,zero_accuracy,0.4453125,zero eye
"Linear Poisson profile, k=10, A(t)",poisson_k10_timevary,best_single_tau_accuracy,0.7838541666666666,best catalog trajectory
