candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,basis_source,basis_dim,kalman_alpha,kalman_process_var,likelihood_scale,n_trials,known_accuracy,known_median_true_rank,known_median_true_margin,zero_accuracy,zero_median_true_rank,zero_median_true_margin,joint_accuracy,joint_median_true_rank,joint_median_true_margin,best_single_tau_accuracy,best_single_tau_median_true_rank,best_single_tau_median_true_margin,continuous_joint_accuracy,continuous_joint_median_true_rank,continuous_joint_median_true_margin,continuous_minus_zero_accuracy,joint_minus_zero_accuracy,median_trajectory_rmse,median_trajectory_corr_mean,run_label,run_slug,full_cache,continuous_score_mode,observation_model,time_smoothing_sigma,time_shrinkage,trajectory_prior_mean,trajectory_process_model,brownian_cov_floor,brownian_cov_scale,catalog_residual_aggregation,catalog_residual_top_k,catalog_residual_all_anchor_shrinkage,trajectory_initial_position,trajectory_initial_position_var,trajectory_basis_family,trajectory_basis_components,trajectory_basis_smoothing_sigma,trajectory_basis_coeff_prior_var,catalog_residual_anchor_smoothing_sigma,catalog_residual_anchor_smoothing_schedule,catalog_residual_refine_top_k,catalog_gaussian_smoothing_sigma,catalog_gaussian_cov_floor,catalog_gaussian_shrinkage
hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,0.5,128,1.0,1.0,0.2919276750441852,0.609375,1.0,0.0212878933918858,0.7578125,1.0,0.1329679371063719,0.828125,1.0,0.1443271387466467,0.453125,2.0,-5.684847725000964,-0.15625,0.1484375,0.0852663084741058,0.0467407913462295,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,1.0,128,1.0,1.0,0.5838553500883705,0.609375,1.0,0.0425757867837717,0.78125,1.0,0.252654889475508,0.828125,1.0,0.2886542774932934,0.453125,2.0,-11.369695450001927,-0.15625,0.171875,0.0852663084741058,0.0467407913462295,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,0.5,128,1.0,1.0,0.3801102579001991,0.390625,2.0,-0.151501487817427,0.7734375,1.0,0.108204144000723,0.875,1.0,0.1504058653767686,0.3828125,2.0,-17.79916571763215,-0.0078125,0.3828125,0.2324354924232686,0.047394192920341,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,1.0,128,1.0,1.0,0.7602205158003983,0.390625,2.0,-0.303002975634854,0.8046875,1.0,0.2709082706304855,0.875,1.0,0.3008117307535372,0.3828125,2.0,-35.5983314352643,-0.0078125,0.4140625,0.2324354924232686,0.047394192920341,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,0.5,128,1.0,1.0,0.4452712244078043,0.3359375,2.0,-0.7067944679378115,0.765625,1.0,0.1095223022809648,0.734375,1.0,0.122555333063218,0.328125,2.0,-25.170792395229228,-0.0078125,0.4296875,0.3479213188119882,0.0026929913067813,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,1.0,128,1.0,1.0,0.8905424488156086,0.3359375,2.0,-1.413588935875623,0.7421875,1.0,0.2199162532766649,0.734375,1.0,0.2451106661264361,0.328125,2.0,-50.341584790458455,-0.0078125,0.40625,0.3479213188119882,0.0026929913067813,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,0.5,128,1.0,1.0,0.2919276750441852,0.609375,1.0,0.0212878933918858,0.765625,1.0,0.097425358142523,0.8359375,1.0,0.1539940050964219,0.4375,2.0,-9.33043485992266,-0.171875,0.15625,0.1114068895076302,0.0384038243622379,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,1.0,128,1.0,1.0,0.5838553500883705,0.609375,1.0,0.0425757867837717,0.8125,1.0,0.3002345117076572,0.8359375,1.0,0.3079880101928438,0.4375,2.0,-18.660869719845323,-0.171875,0.203125,0.1114068895076302,0.0384038243622379,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,0.5,128,1.0,1.0,0.3801102579001991,0.390625,2.0,-0.151501487817427,0.7421875,1.0,0.113690639930283,0.765625,1.0,0.1355458587859743,0.4453125,2.0,-8.810747535494556,0.0546875,0.3515625,0.3036931469573501,0.0181829205653503,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,50,0.92,0.001,1.0,128,1.0,1.0,0.7602205158003983,0.390625,2.0,-0.303002975634854,0.796875,1.0,0.2351539418185098,0.765625,1.0,0.2710917175719487,0.4453125,2.0,-17.621495070989113,0.0546875,0.40625,0.3036931469573501,0.0181829205653503,"Kalman marginal, k=50",kalman_k50,True,,,,,,,,,,,,,,,,,,,,,,,
