prior_scale,n,posterior_temperature,image_accuracy,mean_feature_cosine,mean_true_mass,median_neff_fraction,max_effective_score_error,max_raw_temperature_feature_mismatch
all,768,mixed,0.7083333333333334,0.9378186805592742,0.5961611820418192,0.46760029917156676,9.094947017729282e-13,1.20570220474292e-13
0.5,256,0.125,0.81640625,0.9580190182184392,0.6841758781358598,0.31238789108364085,9.094947017729282e-13,1.20570220474292e-13
1,256,0.125,0.703125,0.9386666486694983,0.6185413019335337,0.3734946634520079,9.094947017729282e-13,1.20570220474292e-13
2,256,0.5,0.60546875,0.9167703747898849,0.48576636605606394,0.6251192229244995,9.094947017729282e-13,1.20570220474292e-13
