latent,run_family,run_slug,run_label,observer_mode,prior_scale,posterior_temperature,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_map_feature_cosine,median_map_feature_cosine,mean_feature_rmse,mean_true_mass,median_N_eff_fraction,median_true_margin,analyzer_posterior_temperature
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,best_single_tau,0.5,1.0,256,0.83203125,0.9279617763326482,0.947172073347949,0.9584917595547299,1.0,0.28703061856344536,0.46118257428352677,0.7959402653788767,0.2937263595420916,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,best_single_tau,1.0,1.0,256,0.8203125,0.9297287744775563,0.9451508630927898,0.965374998932894,1.0,0.2833576444267383,0.46423640594305926,0.7736985576094896,0.27739528836869454,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,best_single_tau,2.0,1.0,256,0.69921875,0.9223390935758542,0.9438428270093856,0.9241821212231118,1.0,0.28825432647779514,0.4643077054061786,0.7504312382793892,0.19708820336592225,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,continuous_joint,0.5,1.0,256,0.83203125,0.9286256276963663,0.9390781528199715,0.9628302930087184,1.0,0.28704807583723513,0.45835533676213,0.8081148677174874,0.2886610404071064,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,continuous_joint,1.0,1.0,256,0.8046875,0.930280798444211,0.9427433667459821,0.960287551823696,1.0,0.28163735508945403,0.4668876710957447,0.7803350254125645,0.2723612130760955,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,continuous_joint,2.0,1.0,256,0.7578125,0.9311404061331282,0.9488492493416207,0.9484073928845664,1.0,0.27506904650263164,0.47627200767743044,0.7720158974662157,0.2342204442655884,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,joint,0.5,1.0,256,0.796875,0.9266980565122523,0.9444346367576617,0.9513205656027092,1.0,0.28569676392350335,0.4622593070994492,0.7845269945517382,0.27807382324736807,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,joint,1.0,1.0,256,0.80078125,0.9285251399264253,0.9458957750410519,0.9555744009089999,1.0,0.28279521664086776,0.4661198082981931,0.7602082474063916,0.24921140458107516,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,joint,2.0,1.0,256,0.7109375,0.9243728095277358,0.949819027213169,0.9314132809867326,1.0,0.2824889086875069,0.47095896519176317,0.7398758910294398,0.18708687337985452,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,known,0.5,1.0,256,1.0,0.952562806767048,0.9665020009422505,1.0,1.0,0.23144377303530228,0.5432645751831016,0.667264371848368,0.5838553500883847,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,known,1.0,1.0,256,1.0,0.9585716901356964,0.9704602883057933,1.0,1.0,0.21482769067880003,0.569237277655722,0.6135551383662933,0.7602205158003983,1
pyramid_local_field,catalog_residual,catalog_residual_all,Catalog residual all anchors,known,2.0,1.0,256,1.0,0.9668119328344323,0.9734778493797603,1.0,1.0,0.1869504165904931,0.6095136430748155,0.5675954744194658,0.890542448815637,1
