prior_scale,metric,pearson_feature_cosine,spearman_feature_cosine,pearson_image_correct,spearman_image_correct,n_tables,summary_type,quartile,metric_min,metric_max,image_accuracy,mean_feature_cosine,mean_true_mass
0.5,residual_variance,0.02762157974291765,0.03556591897459373,-0.1965514593267022,-0.19749237705927702,256,correlation,,,,,,
0.5,B_train_r2_energy,-0.054815280012635026,-0.03698786907759212,0.017062722833048202,0.005666044692678878,256,correlation,,,,,,
0.5,B_singular1,-0.03447763469010891,-0.017256523231860835,-0.15087577797609436,-0.1614481409419945,256,correlation,,,,,,
0.5,B_singular2_fraction,-0.0025789246381894178,0.014093614099336228,0.03857426114653273,0.05208665181342149,256,correlation,,,,,,
0.5,B_singular3_fraction,0.049286060506431084,0.10817406729228654,0.022536778947442212,0.08635598236432267,256,correlation,,,,,,
1.0,residual_variance,0.013098495002842526,-0.00034905012588693055,-0.19491468281363492,-0.19795247312378628,256,correlation,,,,,,
1.0,B_train_r2_energy,-0.025607634168071554,-0.03288724536507209,0.0054175298960165855,-0.02140339423021652,256,correlation,,,,,,
1.0,B_singular1,-0.024776750342098267,-0.03432636186770427,-0.13401264652042022,-0.1419565660566252,256,correlation,,,,,,
1.0,B_singular2_fraction,0.09483928491107228,0.09918459601739527,0.08240152858291908,0.054376190747036555,256,correlation,,,,,,
1.0,B_singular3_fraction,0.08073871635552367,0.10315432593270768,-0.04627898827581977,-0.06224338430192696,256,correlation,,,,,,
2.0,residual_variance,-0.006361886865683722,0.006888017853055618,-0.16817755350557848,-0.1728781377934037,256,correlation,,,,,,
2.0,B_train_r2_energy,-0.03261487098215549,0.0043488212405584795,0.010596564354621474,0.006326788277081086,256,correlation,,,,,,
2.0,B_singular1,-0.011981665046989626,0.02332913710231174,-0.09644014314566449,-0.09035951462395295,256,correlation,,,,,,
2.0,B_singular2_fraction,0.0701066258530473,0.03592998970016022,0.08110560291709601,0.07002727195572656,256,correlation,,,,,,
2.0,B_singular3_fraction,0.06993769786715348,0.1612017910276951,0.10757181537575226,0.1148014659166081,256,correlation,,,,,,
all,residual_variance,-0.032705070607648795,-0.021715068545987523,-0.2413883702513834,-0.2597052698809973,768,correlation,,,,,,
all,B_train_r2_energy,-0.00892527116577899,0.023008279602524825,0.06471577213286436,0.049514433264539616,768,correlation,,,,,,
all,B_singular1,0.026814062290348183,0.01758959891357238,0.020956207874142388,0.002144936305301037,768,correlation,,,,,,
all,B_singular2_fraction,0.04977518617585445,0.025939746966462823,0.0523333949934637,0.025971819118404127,768,correlation,,,,,,
all,B_singular3_fraction,0.0719832159353011,0.13754507708244676,0.07228641598096237,0.08073230141880049,768,correlation,,,,,,
,B_train_r2_energy,,,,,192,quartile,0.0,0.0256748474067113,0.1625781347426061,0.6875,0.9129984317724237,0.4051485009187064
,B_train_r2_energy,,,,,192,quartile,1.0,0.1626993531449586,0.2278476867748529,0.6875,0.9022932312202832,0.41626855727565254
,B_train_r2_energy,,,,,192,quartile,2.0,0.2286054809149658,0.2949871374466726,0.71875,0.9135847057203739,0.4481717623202765
,B_train_r2_energy,,,,,192,quartile,3.0,0.2953587716179379,0.5107000313161093,0.7395833333333334,0.9141803352199936,0.40578871899817653
,residual_variance,,,,,192,quartile,0.0,2.3656020481272405e-06,3.43928979257048e-05,0.8697916666666666,0.9188428179600617,0.475232132393231
,residual_variance,,,,,192,quartile,1.0,3.440756070144848e-05,5.0777129738562e-05,0.734375,0.9074101961451793,0.4127419741409993
,residual_variance,,,,,192,quartile,2.0,5.08040063701528e-05,6.933146795496101e-05,0.6875,0.9082610985456201,0.39860874971800103
,residual_variance,,,,,192,quartile,3.0,6.949722276333087e-05,0.0001537112386791,0.5416666666666666,0.9085425912822132,0.3887946832605806
,B_singular2_fraction,,,,,192,quartile,0.0,0.0022995683048630134,0.008845924800559289,0.7135416666666666,0.9100117860572912,0.3897589326970614
,B_singular2_fraction,,,,,192,quartile,1.0,0.008866370021533124,0.014223768209309172,0.6822916666666666,0.9079231293570537,0.41708900890539596
,B_singular2_fraction,,,,,192,quartile,2.0,0.014238989765682686,0.02155622379723143,0.703125,0.9145035907269867,0.4405772448823197
,B_singular2_fraction,,,,,192,quartile,3.0,0.021566938847911932,0.17227930286999146,0.734375,0.9106181977917429,0.42795235302803497
