trial_id,response_cache_path,prior_family,prior_scale,poly_model,degree,include_intercept,n_candidates,n_trajectories,n_timebins,basis_dim,ridge,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,axis_edge_orthogonal,1.0,affine_quadratic,2,True,4,16,40,10,0.0001,0.7149214267740995,0.7047512482450564,0.7340756054379715,0.009819596314168753,0.005327901974644892
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,linear,1,False,4,16,40,10,0.0001,0.003905425064864382,0.0037338119116713253,0.0051292215647367745,0.00013025579880936207,
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,quadratic,2,False,4,16,40,10,0.0001,0.4702628899256633,0.47792278292235846,0.4827505146956722,0.0037596877392505742,9.490698394057886e-07
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,cubic,3,False,4,16,40,10,0.0001,0.47070904382203227,0.47874634027534746,0.4840043750775789,0.09894764966526762,0.002326155496179417
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,affine_linear,1,True,4,16,40,10,0.0001,0.8200790241232863,0.8193694645656291,0.8294027167383375,0.15545896723787828,4.624371054058217e-05
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,axis_edge_parallel,2.0,affine_quadratic,2,True,4,16,40,10,0.0001,0.8349465276687948,0.8366352327644184,0.8429142432881043,0.020184283005880856,0.012211642281934419
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,linear,1,False,4,16,40,10,0.0001,0.002820100666925479,0.0024478584716546292,0.004289707004328652,9.983307074017453e-05,
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,quadratic,2,False,4,16,40,10,0.0001,0.46347031504661823,0.4668045674776675,0.47464904763853627,0.003217425796131045,1.1600833361958688e-06
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,cubic,3,False,4,16,40,10,0.0001,0.4638044202277487,0.4677743155800979,0.4759094579016414,0.09805457206962301,0.0020278583956711603
2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,axis_edge_orthogonal,2.0,affine_linear,1,True,4,16,40,10,0.0001,0.831125293477544,0.8283346263189029,0.8391790508820962,0.13750011788507893,5.656676027834042e-05
