run_slug,run_label,intercept_multiplier,prior_scale,prior_family,median_intercept_fraction,p90_intercept_fraction,median_dynamic_fro_norm,median_train_r2_energy,n_fit
affine_x1,Affine x1,1.0,0.5,axis_edge_orthogonal,0.015532097766348701,0.028147332966753893,1.023109042490776,0.5620621953261853,512
affine_x1,Affine x1,1.0,0.5,axis_edge_parallel,0.012600854505485,0.02449808917496786,0.9608204033694918,0.5582784830072545,512
affine_x1,Affine x1,1.0,1.0,axis_edge_orthogonal,0.12598103750826484,0.21981350096244515,0.21347031638059433,0.6727077440737808,512
affine_x1,Affine x1,1.0,1.0,axis_edge_parallel,0.1064263859251181,0.17231586915210226,0.2202978972994612,0.6730136643360322,512
affine_x1,Affine x1,1.0,2.0,axis_edge_orthogonal,0.3942516636466491,0.6876020884481094,0.09543642197457465,0.7887857093117284,512
affine_x1,Affine x1,1.0,2.0,axis_edge_parallel,0.3331672073516174,0.5882952802855884,0.10265288820169655,0.8046881277237483,512
affine_x10,Affine x10,10.0,0.5,axis_edge_orthogonal,0.015527393237557599,0.028139961098797923,1.023209464237064,0.562067941836298,512
affine_x10,Affine x10,10.0,0.5,axis_edge_parallel,0.01259769665052945,0.02449130574946336,0.9609252709539671,0.5582845598104526,512
affine_x10,Affine x10,10.0,1.0,axis_edge_orthogonal,0.1254269616577796,0.21842514049873257,0.2141308572416366,0.6727482084436307,512
affine_x10,Affine x10,10.0,1.0,axis_edge_parallel,0.10597067017177539,0.17146807377433007,0.22099852949456283,0.6730523769784374,512
affine_x10,Affine x10,10.0,2.0,axis_edge_orthogonal,0.3904039110319564,0.684019997604352,0.09655310370234199,0.7888121981940781,512
affine_x10,Affine x10,10.0,2.0,axis_edge_parallel,0.3300109773348595,0.5831764482273205,0.10383226985709296,0.8047033106193449,512
affine_x1000,Affine x1000,1000.0,0.5,axis_edge_orthogonal,0.01509299427690275,0.027377202141596464,1.0349346017995833,0.5626183111861738,512
affine_x1000,Affine x1000,1000.0,0.5,axis_edge_parallel,0.01226921248617285,0.02376722442709296,0.9694408632760094,0.5587204750128268,512
affine_x1000,Affine x1000,1000.0,1.0,axis_edge_orthogonal,0.08417577326070719,0.12917996111901736,0.2839514661223286,0.6669862068325421,512
affine_x1000,Affine x1000,1000.0,1.0,axis_edge_parallel,0.07174818325893065,0.108148807467861,0.27867107058514856,0.6672339289895487,512
affine_x1000,Affine x1000,1000.0,2.0,axis_edge_orthogonal,0.15184093904851587,0.29061929123876035,0.21966173760183277,0.7759789528071886,512
affine_x1000,Affine x1000,1000.0,2.0,axis_edge_parallel,0.13630095162510905,0.24922069276157469,0.21699824385775707,0.7914702255083496,512
