lag_model,lags,n_lags,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
instant,0,1,0.5,32,-0.003521425107587915,-0.0022759021634735643,0.003721574982781613,8.034629324562656e-05,
lag0_1,"0,1",2,0.5,32,-0.011849980608055904,-0.008731145610410163,0.0074128830642348695,0.14399855447501836,1.6055339881340738e-05
lag0_1_2,"0,1,2",3,0.5,32,-0.027275958398696894,-0.014548937017688404,0.011924987422464995,0.17842057385703952,0.07083352713000682
lag0_1_2_4,"0,1,2,4",4,0.5,32,-0.05045111914866333,-0.022436148656027527,0.023173929342536682,0.31617432622588765,0.09817587812471817
lag0_1_2_4_8,"0,1,2,4,8",5,0.5,32,-0.06684363985711501,-0.03451343288555758,0.06406429403968376,0.2916357738840376,0.13937785336439398
instant,0,1,1.0,32,-0.0019447871654371509,-0.0014237879084190996,0.004722921119231321,9.20461736976766e-05,
lag0_1,"0,1",2,1.0,32,-0.006744213540598903,-0.0051095576567546375,0.007573072877840055,0.23746322877023246,4.816863328721074e-05
lag0_1_2,"0,1,2",3,1.0,32,-0.015703029098023003,-0.008110922180656066,0.011223294624842176,0.2412568206070565,0.09942085690571409
lag0_1_2_4,"0,1,2,4",4,1.0,32,-0.03989406348728136,-0.019461916848624028,0.020910150021767812,0.3547229397119064,0.13312987275783586
lag0_1_2_4_8,"0,1,2,4,8",5,1.0,32,-0.0619860815615965,-0.021752046508669437,0.05013792680355705,0.2763382530953434,0.1429634991510247
instant,0,1,2.0,32,-0.00023618988076504113,-0.00038201958287796545,0.0030359317516636753,0.0001404942494435672,
lag0_1,"0,1",2,2.0,32,-0.0023947685365770964,-0.002915128964805405,0.005731700444479182,0.16416100060412753,7.67799713353615e-05
lag0_1_2,"0,1,2",3,2.0,32,-0.005428702998235237,-0.004851184831946687,0.00905650147990382,0.1555665935197763,0.07908100775963813
lag0_1_2_4,"0,1,2,4",4,2.0,32,-0.014386232341164701,-0.016058076559069462,0.0168415129168431,0.18685567780977955,0.09501905180358332
lag0_1_2_4_8,"0,1,2,4,8",5,2.0,32,-0.043693631265436565,-0.042697099769136784,0.033428262144245144,0.2525255576004052,0.1321227853675847
