poly_model,degree,include_intercept,n_tables,median_coef_s2_over_s1,median_coef_s3_over_s1,mean_cv_r2_energy,mean_train_r2_energy
linear,1,False,96,9.233140963879501e-07,,-0.0018315758944118514,0.0038266977994708593
quadratic,2,False,96,0.006708628613592622,6.879028534741081e-09,0.22088024904150647,0.32005521395515285
cubic,3,False,96,0.02111224766503531,0.004095710241128861,0.22791091178431358,0.3385589893266488
affine_linear,1,True,96,0.20758132948375113,3.339586191659469e-07,0.6031926546024926,0.6379284566387766
affine_quadratic,2,True,96,0.021949404086688377,0.009024762250308568,0.6544554975681534,0.6970850071189784
