poly_model,degree,include_intercept,n_tables,median_coef_s2_over_s1,median_coef_s3_over_s1,mean_cv_r2_energy,mean_train_r2_energy
linear,1,False,96,0.00919862140295248,,-0.0019015110094423218,0.0038268092979925877
quadratic,2,False,96,0.0055068228685556195,5.7912983355554303e-05,0.13325629771037323,0.3451154899974913
cubic,3,False,96,0.07535410734436107,0.0016777566127755897,-0.6271286391218066,0.38404474245764747
affine_linear,1,True,96,0.20750092105313211,0.0033319469656347338,0.6031220275095454,0.6379285682907903
affine_quadratic,2,True,96,0.018604802052220315,0.006833180091348936,0.6439675950173034,0.709245790042052
