run_label,run_slug,run_family,run_dirname,table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_timebins,n_units,observer_mode,latent,posterior_temperature,true_candidate_index_local,pred_candidate_index_local,true_candidate_id,pred_candidate_id,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse,manifest_table_index
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:25,source_row:25,True,1,0.0710249172555563,0.3384095538105828,1.2736981703825925,3.393307415608517,0.8483268539021294,0.2004978829429725,-0.2004978829429725,0.4477698995499503,24.817926915856848,0.8955353919754636,55.35716385314352,46.55352626726844,1.0,0.0,0.0,0.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:25,source_row:25,True,1,0.0635066037682463,0.3371293189432274,1.2734481480019195,3.3928347444249214,0.8482086861062303,0.201194059026889,-0.201194059026889,0.448546607418771,24.8609764355828,0.895116801386768,55.35716385314352,46.55666751630761,1.0,0.0,0.0,1.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,2,-1.062832340077421,0.2052114101349205,1.0079413297249915,2.3256964320878293,0.5814241080219573,0.1487931108394265,-0.1487931108394265,0.3857371006779443,21.379720215632343,0.899236352645311,47.34179291251737,47.87960472879065,0.8237351843954694,0.2779343607150047,0.5271948033839149,6.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,2,-0.5142726992418147,0.2749257070397517,1.1066334612281776,2.83852276433386,0.709630691083465,0.1249701542499797,-0.1249701542499797,0.3535111798090404,19.593578383132005,0.9150341105998746,47.34179291251737,47.70450160914879,0.8237351843954694,0.2779343607150047,0.5271948033839149,7.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,12,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:87,source_row:87,True,1,2.42383496142088,0.8851885454322923,0.4502418375700024,1.265052162939019,0.3162630407347547,0.0033610494564273,-0.0033610494564273,0.0579745586997203,3.2132761988575966,0.9952376648802695,31.98885317956852,31.0607001828129,1.0,0.0,0.0,12.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,13,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:87,source_row:87,True,1,2.5441839177538554,0.899242228691789,0.4059654836445024,1.228245422715028,0.307061355678757,0.0026425460489973,-0.0026425460489973,0.0514057005496216,2.8491931248197164,0.9962858101902868,31.98885317956852,31.141579361591077,1.0,0.0,0.0,13.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:369,source_row:369,True,1,0.6602651194201599,0.4638675553175715,1.254196240409208,3.12874076744406,0.782185191861015,0.1296504963552163,-0.1296504963552163,0.3600701269964176,19.957112135858345,0.8897993004381736,43.55782142770001,36.97915161423074,1.0000000000000002,0.0,0.0,18.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:369,source_row:369,True,1,0.6763545858942734,0.4767679470030017,1.2331914966022075,3.0341479531069617,0.7585369882767404,0.1247032720268743,-0.1247032720268743,0.353133504537412,19.57264549483687,0.8942604556016753,43.55782142770001,37.20108067004257,1.0000000000000002,0.0,0.0,19.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,24,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:420,source_row:420,True,1,0.5761261180365977,0.5499251028124356,1.0648774087389183,2.45093763968106,0.612734409920265,0.1072867427234705,-0.1072867427234705,0.3275465504679763,18.154472552142668,0.9357056686628548,50.81129610299023,44.6688786270266,1.0,0.0,0.0,24.0
"0.5x k=10, ridge 0.01",scale0p5_k10_ridge0p01,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,25,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:420,source_row:420,True,1,0.7000930871244009,0.5603568579270737,1.0789440472983851,2.464990146288663,0.6162475365721658,0.0987246632022467,-0.0987246632022467,0.3142048109151844,17.41499828760549,0.9419072083261422,50.81129610299023,44.39130047379742,1.0,0.0,0.0,25.0
