prior_scale,n,posterior_temperature,image_accuracy,mean_feature_cosine,mean_true_mass,median_neff_fraction,max_effective_score_error,max_raw_temperature_feature_mismatch
all,768,mixed,0.70703125,0.937743445510825,0.5974108121109268,0.4635172116244456,9.094947017729282e-13,8.326672684688674e-14
0.5,256,0.125,0.8125,0.9603314959380944,0.6894085755489996,0.3303119168091546,9.094947017729282e-13,8.326672684688674e-14
1,256,0.125,0.69921875,0.9404414205808886,0.6237850763189949,0.3816593174257072,9.094947017729282e-13,8.326672684688674e-14
2,256,0.5,0.609375,0.912457420013492,0.4790387844647861,0.6240091357486462,9.094947017729282e-13,8.326672684688674e-14
