lag_model,lags,n_lags,n_tables,median_coef_s2_over_s1,median_coef_s3_over_s1,mean_cv_r2_energy,mean_train_r2_energy
instant,0,1,768,0.0060392987750345515,,-0.0007183928620058955,0.005062644346650151
lag0_1,"0,1",2,768,0.1802748988434179,0.0024410765991031225,-0.004772960748864619,0.009754486118050746
lag0_1_2,"0,1,2",3,768,0.16439957952268838,0.07824091582941328,-0.011653890646191227,0.01565798600484197
lag0_1_2_4,"0,1,2,4",4,768,0.27919912443869055,0.09184762615453139,-0.02596107152684635,0.029914825216566198
lag0_1_2_4_8,"0,1,2,4,8",5,768,0.25994461648668654,0.1196959481104693,-0.062055244516969636,0.0643598089656469
