lag_model,lags,n_lags,n_tables,median_coef_s2_over_s1,median_coef_s3_over_s1,mean_cv_r2_energy,mean_train_r2_energy
instant,0,1,96,9.233140963879501e-07,,-0.0018315758944118514,0.0038266977994708593
lag0_1,"0,1",2,96,0.16512385693599102,4.884527517882079e-07,-0.006285886462085939,0.006896587232540093
lag0_1_2,"0,1,2",3,96,0.17744023857101016,0.07897077004706995,-0.014461038002933406,0.010725663934211135
lag0_1_2_4,"0,1,2,4",4,96,0.3106223587467779,0.0983170750233727,-0.03254973588749611,0.020299439613706633
lag0_1_2_4_8,"0,1,2,4,8",5,96,0.2749671766890198,0.13737634967341344,-0.055517630398603364,0.0491983247765326
