sigma,n,continuous_accuracy,median_rmse,median_corr,median_anchor_score_gap,median_true_margin
0.0,96,0.90625,0.0528000328092223,0.15793160392670613,0.824043062785762,0.43294649460165147
0.75,96,0.90625,0.051749486147467647,0.16653721091695414,0.8219344456903173,0.4323305790709639
1.5,96,0.90625,0.0513128966304135,0.16477692124288004,0.8223600338490087,0.43172792784145025
3.0,96,0.90625,0.05124385261682775,0.16781176761706607,0.8224950015969625,0.43171745912874826
6.0,96,0.90625,0.0508677343162785,0.1667210100310662,0.822321108573675,0.4319035979332852
