comparison,run_label,suffix,n_tables,image_accuracy,mean_feature_cosine,mean_map_feature_cosine,mean_true_mass,median_N_eff_fraction,gap_to_finite_joint,gap_to_known_eye,optimizer_success,median_optimizer_iterations,mean_quadratic_train_r2,mean_quadratic_residual_var,best_temperature,best_temperature_feature_cosine,best_temperature_true_mass,best_temperature_N_eff_fraction,scale_specific_best_temperature_by_scale,scale_specific_best_feature_cosine
basis_ridge_subset64,"k=10, ridge 0.01",scale2_parallel_k10_64,64,0.625,0.8944774739034473,0.894280986483589,0.41188374493903956,0.7987977259099548,0.02056956570102786,0.0719356119867185,0.85546875,70.0,0.30725502325988463,0.00011705303014710852,,,,,,
basis_ridge_subset64,"k=20, ridge 0.01",scale2_parallel_k20_64,64,0.65625,0.8991807543223852,0.8917176402836099,0.4213804954388607,0.8109049529921297,0.015866285282089998,0.06723233156778063,0.6953125,74.0,0.30290059620895743,6.1330631895055e-05,,,,,,
basis_ridge_subset64,"k=20, ridge 0.1",scale2_parallel_k20_ridge0p1_64,64,0.671875,0.8992684143824469,0.8915403160249711,0.4229329307745786,0.8100331893616097,0.01577862522202833,0.06714467150771897,0.8828125,70.0,0.24660752889087562,6.655049031299202e-05,,,,,,
basis_ridge_subset64,"k=30, ridge 0.01",scale2_parallel_k30_64,64,0.546875,0.8962556857850563,0.8486559157191209,0.4132253890105966,0.8098913706509923,0.018791353819418877,0.07015740010510951,0.53125,78.0,0.3016217773271552,4.1940271223765094e-05,,,,,,
full_2x_parallel,"k=10, ridge 0.01",full,128,0.578125,0.8992797133753616,0.8775848527642953,0.40203127884729684,0.8357530250979897,0.01908148381096475,0.06753221945907062,0.888671875,70.0,0.29542087958449276,0.00011987815226929268,0.5,0.9055797090902088,0.46209647360823913,0.6924272251847421,,
full_2x_parallel,"k=20, ridge 0.1",scale2_parallel_k20_ridge0p1_full,128,0.6171875,0.9045739105447488,0.8677031496179156,0.41388429639383584,0.8041819373157025,0.013787286641577579,0.06223802228968345,0.890625,70.0,0.23960972876246206,6.746206533799127e-05,0.5,0.9113514101160487,0.47921000522061585,0.6320284249711914,,
all_scale,k=10 all scales,full,768,0.69140625,0.9097747909079811,0.9167006710470167,0.41556440815719603,0.8426915289180201,0.016757211080823176,0.049540685671077944,0.8095703125,71.0,0.2968186086000331,8.58947321223444e-05,0.25,0.9322513691040483,0.5639977768716768,0.5000342780387126,"0.5:0.125,1:0.25,2:0.5",0.934057688568915
all_scale,k=20/ridge0.1 all scales,full_k20_ridge0p1,768,0.69921875,0.910027596321385,0.9122519320865289,0.41920279989553594,0.8274138944807463,0.016504405667419286,0.049287880257674055,0.8668619791666666,70.0,0.17858664196755555,5.091920202164477e-05,0.25,0.929952096714481,0.5648055576540546,0.49184695178826143,"0.5:0.125,1:0.125,2:0.5",0.9324992456668327
all_scale,native scale-conditioned,continuous_joint_quadratic_poisson_scale_conditioned_full,768,0.7083333333333334,0.9107641759832686,0.9160372052514415,0.4188443848782029,0.8292305333106427,0.015767826005535945,0.04855130059579027,0.7874348958333334,73.0,,5.572750952024301e-05,0.25,0.9325021632270852,0.5675400070810775,0.49219799581091694,"0.5:0.125,1:0.125,2:0.5",0.935834559581033
