poly_model,degree,include_intercept,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
linear,1,False,0.5,32,-0.0035228805447513716,-0.002276670837907363,0.00372157501152504,0.008033746536264826,
quadratic,2,False,0.5,32,0.15391150076865887,0.25500893894078436,0.41317364895393527,0.004389453745698945,3.341145571865833e-05
cubic,3,False,0.5,32,-0.3669559119413353,0.1148382331025598,0.44459766001083073,0.05559153745121259,0.001447163853446141
affine_linear,1,True,0.5,32,0.3907180432706615,0.3936041417049443,0.45165319535393117,0.2241956248421404,0.0033319469656347338
affine_quadratic,2,True,0.5,32,0.48378272001747646,0.5075866271311889,0.611894370852025,0.007127305741797896,0.0017924916516289752
linear,1,False,1.0,32,-0.0019453699416427982,-0.0014239042818295078,0.004722921127564548,0.00919862140295248,
quadratic,2,False,1.0,32,0.16746349297206214,0.27773395029099135,0.31784951057976935,0.0055068228685556195,5.7912983355554303e-05
cubic,3,False,1.0,32,-0.5950270261306263,0.1917341451991424,0.34020559590674593,0.15113389484504225,0.002664225973378729
affine_linear,1,True,1.0,32,0.6221113735808613,0.6323949245821895,0.6563293875168584,0.20750092105313211,0.0030683467097774404
affine_quadratic,2,True,1.0,32,0.6542870423409929,0.6621457771547189,0.7046173629636402,0.018604802052220315,0.006833180091348936
linear,1,False,2.0,32,-0.0002362825419327955,-0.00038210450053575984,0.003035931754888175,0.01403698154778006,
quadratic,2,False,2.0,32,0.07839389939039867,0.24843993855266594,0.30432331045876926,0.005519138984292326,0.00011110302986946657
cubic,3,False,2.0,32,-0.9194029792934583,0.2251290206349269,0.3673309714553658,0.07535410734436107,0.0016777566127755897
affine_linear,1,True,2.0,32,0.7965366656771131,0.8031579574767187,0.8058031220015812,0.17073669476567505,0.004161240677157086
affine_quadratic,2,True,2.0,32,0.7938330226934407,0.8016145850880815,0.8112256363104912,0.09898891375356869,0.027193693811502224
