table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,trajectory_hat_rms,trajectory_hat_temporal_std_mean
20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,2,0,16,640,0.00044896734022414897,0.00011244930316028296,0.2283529773802654,8.68101448991561e-05,26.67992308704474,1,True,75,0.08316428180211999,0.01572258136572354
20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,3,0,16,640,0.00039378703739278986,9.728635636153225e-05,0.26981404080468163,7.106511595793805e-05,35.7099532142868,1,True,48,0.0881956597166105,0.011917557141851514
21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,0,0,16,640,0.0010183222326772823,0.00010020023346125014,0.2786426559466354,7.235385382110037e-05,18.461240988095845,2,True,60,0.06300887732108833,0.011991563326316738
21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,1,0,16,640,0.0018728362328561676,0.00015756280734017185,0.23289264663729914,0.00012109437806595347,12.696904987014339,1,True,72,0.05891549426962092,0.011888857885799886
21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,2,0,16,640,0.0015072266398447054,0.00014140378069046845,0.21960957392710934,0.00011051673042159223,26.159764451606414,0,True,73,0.07677320580438483,0.014641228281371255
21,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,1.0,3,0,16,640,0.0008662118744068303,7.721930203556815e-05,0.24743330678786635,5.816305631508843e-05,53.46901121198712,2,True,30,0.09568902306559182,0.0128752956497338
22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,0,0,16,640,0.006150766786975015,0.00016968216003139316,0.32915248706661737,0.00011453533518179557,38.32387641857801,1,True,70,0.09920823894722076,0.017521835765890406
22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,1,0,16,640,0.006077123948349916,0.000249821350999294,0.3138529172009593,0.0001724622657746063,29.127853923456886,1,True,78,0.09452298056287926,0.017705157358991745
22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,2,0,16,640,0.000471204117108992,0.00018497291354531862,0.33044799719780604,0.00012390737039149377,45.15784240918893,1,False,80,0.11454561262001953,0.020994898049003084
22,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,2.0,3,0,16,640,0.0063968810115278,0.00016861954748998128,0.30417539189191956,0.00011808500628603536,51.50533099444929,0,True,60,0.1175486320777863,0.017016620273286872
23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,0,0,16,640,0.007581345914495885,0.00015050034820677803,0.2984375408211586,0.00010639198886533846,38.40201225554544,1,True,70,0.10510287974850356,0.018759978469523413
23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,1,0,16,640,0.008196895032622442,0.00023583707538152085,0.2934070947177362,0.0001680180304260917,28.564752650826257,1,True,76,0.09753348860810095,0.018305827418053963
23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,2,0,16,640,0.0005415601903454581,0.0002256650614502787,0.31235885630103544,0.00015526066394328506,40.55925070319063,1,True,79,0.11013479329870199,0.019679738498035178
23,11,response_tables/trial_00011_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,3,0,16,640,0.003202218107276833,0.0001039208684402815,0.27401730602487206,7.568711869247506e-05,80.22438748129024,0,True,56,0.13942882050750952,0.019926102050216898
24,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,0,0,16,640,0.003173971114534324,3.0193480319298306e-05,0.3642702164356617,1.925601273664885e-05,61.51398814185403,0,False,80,0.07909345395401703,0.021411809981797154
24,12,response_tables/trial_00012_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,1,0,16,640,0.005254223916843825,7.079760416354071e-05,0.3735835641134204,4.458303210299501e-05,60.60451491142556,1,False,80,0.08405767484167692,0.019597432244637628
