run_slug,run_label,prior_scale,n,image_accuracy,mean_feature_cosine,mean_true_mass,median_N_eff_fraction
standard,standard compact basis,0.5,32,0.9375,0.9412606647922059,0.5090445151354991,0.5989232547331078
axis_interleaved,axis-interleaved basis,0.5,32,0.9375,0.9408658872407037,0.5093930068533846,0.6194116875877931
axis_interleaved,axis-interleaved basis,1.0,32,0.78125,0.9371649749823308,0.5052094468804286,0.5737301747862944
standard,standard compact basis,1.0,32,0.78125,0.9369068521600391,0.5033271852534572,0.5708128549186595
standard,standard compact basis,2.0,32,0.8125,0.9344971079793004,0.507497896723794,0.5815953656046414
axis_interleaved,axis-interleaved basis,2.0,32,0.78125,0.9341521274172311,0.5066573845850886,0.6543074279169756
standard,standard compact basis,all,96,0.84375,0.9375548749771818,0.5066231990375835,0.5921901000502114
axis_interleaved,axis-interleaved basis,all,96,0.8333333333333334,0.9373943298800885,0.5070866127729673,0.6083508706889882
