run_label,run_slug,run_family,run_dirname,table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_timebins,n_units,observer_mode,latent,posterior_temperature,true_candidate_index_local,pred_candidate_index_local,true_candidate_id,pred_candidate_id,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse,manifest_table_index
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:25,source_row:25,True,1,0.0710249172555563,0.3384095538105828,1.2736981703825925,3.393307415608517,0.8483268539021294,0.2004978829429725,-0.2004978829429725,0.4477698995499503,24.817926915856848,0.8955353919754636,55.35716385314352,46.55352626726844,1.0,0.0,0.0,0.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,0,source_row:25,source_row:25,True,1,0.0635066037682463,0.3371293189432274,1.2734481480019195,3.3928347444249214,0.8482086861062303,0.201194059026889,-0.201194059026889,0.448546607418771,24.8609764355828,0.895116801386768,55.35716385314352,46.55666751630761,1.0,0.0,0.0,1.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,2,source_row:25,source_row:9142,False,3,-0.3020129221375782,0.2695634002276293,1.2950683160413197,3.458152363829649,0.8645380909574123,0.2634517525437829,-0.2634517525437829,0.5132755132906526,28.448616553612958,0.8585224060074204,55.35716385314352,45.6363022544153,0.5450920735126369,0.8627886600790683,0.9288641774118906,2.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,2,source_row:25,source_row:9142,False,3,-0.2096458991296685,0.2654433271544604,1.3206959666340927,3.5947935039884675,0.8986983759971169,0.2582010921467849,-0.2582010921467849,0.5081349152998492,28.1636956927695,0.8617318822519078,55.35716385314352,45.61556493773213,0.5450920735126369,0.8627886600790683,0.9288641774118906,3.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,2,source_row:25,source_row:9142,False,3,-0.3904524866649126,0.2722044453281641,1.1061716822053236,2.945635460545028,0.736408865136257,0.2615659852694978,-0.2615659852694978,0.5114352209903986,28.346617201138788,0.8590134712206327,55.35716385314352,46.95248383073915,0.5450920735126369,0.8627886600790683,0.9288641774118906,4.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,1,source_row:25,source_row:9427,False,3,-0.260555715457258,0.2849330066107937,1.1157530872014605,2.9918856389638937,0.7479714097409734,0.2385799387363656,-0.2385799387363656,0.4884464543185524,27.072450421011307,0.8724113396895905,55.35716385314352,47.38129700085252,0.7413606378765814,0.5354190394629591,0.731723335327608,5.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,2,-1.062832340077421,0.2052114101349205,1.0079413297249915,2.3256964320878293,0.5814241080219573,0.1487931108394265,-0.1487931108394265,0.3857371006779443,21.379720215632343,0.899236352645311,47.34179291251737,47.87960472879065,0.8237351843954694,0.2779343607150047,0.5271948033839149,6.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,2,-0.5142726992418147,0.2749257070397517,1.1066334612281776,2.83852276433386,0.709630691083465,0.1249701542499797,-0.1249701542499797,0.3535111798090404,19.593578383132005,0.9150341105998746,47.34179291251737,47.70450160914879,0.8237351843954694,0.2779343607150047,0.5271948033839149,7.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,2,-0.5049498433123745,0.2859791339413088,1.2113225019551117,2.963512601388109,0.7408781503470273,0.1069613763441987,-0.1069613763441987,0.3270495013666872,18.12692329462941,0.9250545603921267,47.34179291251737,46.08104999576296,0.8237351843954694,0.2779343607150047,0.5271948033839149,8.0
standard compact basis,standard_basis,no_anchor,continuous_joint_quadratic_poisson_scale_conditioned_full,9,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,40,756,continuous_joint,pyramid_local_field,1.0,0,3,source_row:76,source_row:4203,False,4,-0.7693894910901236,0.1617040488570549,1.3430029442125873,3.68322166565162,0.920805416412905,0.1455613446154984,-0.1455613446154984,0.3815250248876192,21.14626327885878,0.8971447754109279,47.34179291251737,45.607316709081765,0.8237351843954694,0.2779343607150047,0.5271948033839149,9.0
