grouping,prior_scale,optimizer_success,n_tables,image_accuracy,mean_feature_cosine,mean_true_mass,median_N_eff_fraction,mean_optimizer_success_fraction
all_candidates,0.5,False,134,0.7835820895522388,0.9101267067100134,0.4309387092203771,0.8196169511002874,0.48134328358208955
all_candidates,0.5,True,122,0.8524590163934426,0.9265050709800992,0.42185589920553695,0.8557523131696545,1.0
all_candidates,1.0,False,119,0.6638655462184874,0.9032365755670793,0.4108536531016479,0.8074242464791437,0.5861344537815126
all_candidates,1.0,True,137,0.7372262773722628,0.9165513798145751,0.4201969616558381,0.8890459338906196,1.0
all_candidates,2.0,False,109,0.6146788990825688,0.90102362123534,0.4256626455391158,0.7462765317970322,0.591743119266055
all_candidates,2.0,True,147,0.5986394557823129,0.9062042418687424,0.40547268039553963,0.8309065048026228,1.0
all_candidates,all,False,362,0.6933701657458563,0.9051207345477246,0.4227475141391996,0.797953110443334,0.5490331491712708
all_candidates,all,True,406,0.7216748768472906,0.9157960129282611,0.4153642548474622,0.8529813681836991,1.0
true_candidate,0.5,False,77,0.7532467532467533,0.900970780377384,0.4334458728615323,0.8189380101382773,0.37662337662337664
true_candidate,0.5,True,179,0.8435754189944135,0.9252281970371805,0.4236696901020562,0.8534608575902252,0.8798882681564246
true_candidate,1.0,False,57,0.5964912280701754,0.8963220881705122,0.38955076031298813,0.8040402658769856,0.4956140350877193
true_candidate,1.0,True,199,0.7336683417085427,0.9143835804088444,0.42338781471409836,0.8661955655669878,0.8969849246231156
true_candidate,2.0,False,53,0.6037735849056604,0.90063241568522,0.4398066484378275,0.7460990196501281,0.5094339622641509
true_candidate,2.0,True,203,0.6059113300492611,0.9048772425519236,0.4073495567226753,0.8249122425937678,0.9088669950738916
true_candidate,all,False,187,0.6631016042780749,0.8994578991769754,0.4218688658576639,0.793935593259323,0.4505347593582888
true_candidate,all,True,581,0.7228915662650602,0.9144032013925231,0.4178709288658808,0.8471832248555398,0.8958691910499139
