poly_model,degree,include_intercept,prior_scale,n_tables,mean_cv_r2_energy,median_cv_r2_energy,mean_train_r2_energy,median_coef_s2_over_s1,median_coef_s3_over_s1
linear,1,False,0.5,32,-0.003380541093428306,-0.002200603568914161,0.003721319969027634,8.078688413204663e-07,
quadratic,2,False,0.5,32,0.2734037908791071,0.26875081290793296,0.35051204873749503,0.006708628613592622,4.656563129206172e-09
cubic,3,False,0.5,32,0.27346186505720493,0.2695878551752333,0.35196688011924,0.015279774443294302,0.004095710241128861
affine_linear,1,True,0.5,32,0.3908616607197033,0.39391146618630984,0.45165294020349656,0.22527220419478022,3.339586191659469e-07
affine_quadratic,2,True,0.5,32,0.5045526893797375,0.5034801506329476,0.5783763920498154,0.011280485513147528,0.0026670790250580634
linear,1,False,1.0,32,-0.0018872151459287936,-0.0014122053468391405,0.004722852834957905,9.233140963879501e-07,
quadratic,2,False,1.0,32,0.23718573665802917,0.28918283744355766,0.30744312568463933,0.0068274959807586326,6.879028534741081e-09
cubic,3,False,1.0,32,0.2393185577764935,0.2890631684777126,0.31589761477356365,0.02111224766503531,0.004886698982926393
affine_linear,1,True,1.0,32,0.6221701839586874,0.6324398768438069,0.6563293190660817,0.20758132948375113,3.0769412109441267e-07
affine_quadratic,2,True,1.0,32,0.6616805691881757,0.6548413615422938,0.7017488209516723,0.021949404086688377,0.009024762250308568
linear,1,False,2.0,32,-0.00022697144387845512,-0.00037356938076167634,0.0030359205944270372,1.4076967118113321e-06,
quadratic,2,False,2.0,32,0.15205121958738313,0.25459604676534503,0.3022104674433241,0.005930594321066202,1.2416436066849372e-08
cubic,3,False,2.0,32,0.17095231251924234,0.25510419263489426,0.3478124730871429,0.023363967807294404,0.0029965648414682685
affine_linear,1,True,2.0,32,0.7965461191290871,0.8031758471679527,0.8058031106467517,0.1707082688650356,4.1637598548664517e-07
affine_quadratic,2,True,2.0,32,0.7971332341365468,0.803485192732682,0.8111298083554477,0.10909606718532197,0.029914392928326924
