table_index,trial_id,response_cache_path,prior_scale,candidate_index,true_candidate_index,n_fit_trajectories,n_fit_samples,linear_train_r2,linear_residual_var,quadratic_train_r2,quadratic_residual_var,profile_energy,profile_start_index,optimizer_success,optimizer_iterations,optimizer_final_iterations,optimizer_stage_success_fraction,quadratic_continuation_scales,observation_continuation_scales,trajectory_hat_rms,trajectory_hat_temporal_std_mean
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,0,0,16,640,0.0039444756544373405,0.0002982064530433516,0.4756891967025114,0.0001569720373233037,39.44710098875389,1,False,80,80,0.0,1,1,0.10298492297832469,0.02034462856940429
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,1,0,16,640,0.00587222226358286,0.0003176025636196881,0.47993249525683357,0.0001661504451045712,37.10993026508979,1,True,79,79,1.0,1,1,0.09792155867688486,0.020753258573855172
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,2,0,16,640,0.004208281179255424,0.00031896222007556693,0.46744688707306437,0.00017058218098910227,39.397550423192925,1,False,80,80,0.0,1,1,0.09457633634359705,0.019004724856664774
5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,2.0,3,0,16,640,0.0031338013476015503,0.0002515386290886005,0.4605723482101215,0.0001361134445195711,71.09947586735993,0,True,66,66,1.0,1,1,0.09939458422744632,0.016045955563498776
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,0,0,16,640,0.0018852399459393654,3.133069460646598e-05,0.31139594101026313,2.161519330283403e-05,255.14574026201225,1,True,57,57,1.0,1,1,0.12493296423791385,0.0189652131387687
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,1,0,16,640,0.0013739021473215818,4.270844017765567e-05,0.23888394235617627,3.255080123184384e-05,382.2320604854563,2,False,80,80,0.0,1,1,0.12599427712094138,0.02460158951123494
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,2,0,16,640,0.003537740443870674,3.3859332836686606e-05,0.2928510852182399,2.402859741156975e-05,223.97892496278973,0,False,80,80,0.0,1,1,0.12137326833940926,0.019962122705942074
6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,0.5,3,0,16,640,0.0009038958533496011,3.5433179049813155e-05,0.31887599264469846,2.4156223618107647e-05,218.65054650660744,1,True,61,61,1.0,1,1,0.11311423137659872,0.018386859232777532
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,0,0,16,640,0.0009972633650223717,6.402140967061097e-05,0.26879409746968075,4.685956396590653e-05,119.86733692521089,1,True,57,57,1.0,1,1,0.10685535001383052,0.01653831794117271
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,1,0,16,640,0.003258491596212054,5.185854893926188e-05,0.23168779369732329,3.997381047668649e-05,329.0195517134584,0,False,80,80,0.0,1,1,0.141504660527502,0.030728855936654254
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,2,0,16,640,0.0015166633017541509,6.0874879233104393e-05,0.26033600230396503,4.509535099675784e-05,132.1787362862429,0,True,68,68,1.0,1,1,0.10991288840252919,0.01809281562164632
7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,0.5,3,0,16,640,0.0009684257933829654,6.202945764251922e-05,0.2683798996270981,4.54259897266378e-05,112.44196702882459,1,True,58,58,1.0,1,1,0.10314915852130326,0.016855865895942092
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,0,0,16,640,0.006853783610298758,8.283366566568994e-05,0.30797140111686416,5.771885815500949e-05,88.7655162847084,0,True,59,59,1.0,1,1,0.113782092678257,0.01777229636647598
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,1,0,16,640,0.0010898509249424038,0.00011377178593081364,0.3434783359386163,7.477513597363684e-05,93.8360318633214,0,False,80,80,0.0,1,1,0.09827508385509234,0.018500925396922583
8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,1.0,2,0,16,640,0.005524269409069693,9.179272986031169e-05,0.2971402878627809,6.487580310036436e-05,76.50534720445906,1,True,61,61,1.0,1,1,0.10634277717391757,0.017996199924772773
