table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,n_candidates,n_trajectories,n_timebins,n_units,basis_dim,ridge,alpha,process_var,observation_var_floor,trajectory_initial_position,trajectory_initial_position_var,optimizer_max_iter,quadratic_continuation_scales,observation_continuation_scales,observer_mode,latent,image_correct,true_rank,true_margin,candidate_posterior_true_mass,candidate_posterior_entropy,candidate_posterior_N_eff,candidate_posterior_N_eff_fraction,pred_candidate_index_local,true_candidate_index_local,pred_candidate_id,true_candidate_id,feature_mse,feature_neg_mse,feature_rmse,feature_l2_error,feature_cosine,feature_true_norm,feature_pred_norm,map_feature_cosine,map_feature_mse,map_feature_rmse
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,pyramid_local_field,False,2.0,-103.3021605184395,1.3691206415765472e-45,1.417087997238438e-43,1.0,0.25,2,0,source_row:11021,source_row:76,0.4644320156094235,-0.4644320156094235,0.681492491234807,37.77214783345195,0.7588915779183177,47.34179291251737,57.75066560606587,0.7588915779183177,0.4644320156094235,0.681492491234807
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,pyramid_local_field,False,3.0,-18.994244061041826,3.857949277151758e-09,0.6233351062480774,1.7600310909711039,0.44000777274277597,3,0,source_row:4203,source_row:76,0.24073413987924233,-0.24073413987924233,0.4906466548130562,27.19439791039751,0.8455297726629584,47.34179291251737,50.05896959509534,0.8237351843954694,0.2779343607150047,0.5271948033839149
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_poisson,pyramid_local_field,False,2.0,-0.2185739862865148,0.309160671578062,1.2751966586663595,3.341597218054703,0.8353993045136757,3,0,source_row:4203,source_row:76,0.10033480463958593,-0.10033480463958593,0.31675669628215586,17.556438131147445,0.9297764261985292,47.34179291251737,46.1396327828595,0.8237351843954694,0.2779343607150047,0.5271948033839149
1,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,known,pyramid_local_field,True,1.0,0.45467566056157693,0.48312040043837035,1.1603330539689205,2.8169244760292607,0.7042311190073152,0,0,source_row:76,source_row:76,0.057006128984332556,-0.057006128984332556,0.23875956312644853,13.23339821209464,0.9601980332900513,47.34179291251737,45.96882344552439,1.0,0.0,0.0
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,zero,pyramid_local_field,True,1.0,4.757431641024596,0.9914620919152342,0.04933199932598338,1.0172220019810312,0.2543055004952578,0,0,source_row:87,source_row:87,2.8904760315630814e-05,-2.8904760315630814e-05,0.005376314752284395,0.29798560987003697,0.9999631540281599,31.988853179568522,31.871964428786235,1.0,0.0,0.0
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,joint,pyramid_local_field,True,1.0,2.215833897442849,0.8992534137808387,0.3391618960989998,1.2220719562432105,0.30551798906080263,0,0,source_row:87,source_row:87,0.003893335386002846,-0.003893335386002846,0.062396597551491906,3.4583704697155775,0.9946761156105819,31.988853179568522,30.772790310589407,1.0,0.0,0.0
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,best_single_tau,pyramid_local_field,True,1.0,2.50563936931826,0.9228113407888825,0.2809207625168929,1.1665105522171555,0.2916276380542889,0,0,source_row:87,source_row:87,0.0022923716761502912,-0.0022923716761502912,0.04787871840546999,2.6537079321458297,0.9969185443787121,31.988853179568522,31.026882433437997,1.0,0.0,0.0
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,linear_continuous,pyramid_local_field,False,2.0,-183.42627371191088,2.1826368882508127e-80,4.0035295127800703e-78,1.0,0.25,2,0,source_row:10726,source_row:87,0.4156262323351551,-0.4156262323351551,0.6446908036688247,35.73239126805812,0.5618129988513454,31.988853179568522,41.982188414052516,0.5618129988513454,0.4156262323351551,0.6446908036688247
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_profile,pyramid_local_field,True,1.0,118.36290007278866,1.0,4.665102966931959e-50,1.0,0.25,0,0,source_row:87,source_row:87,0.0,-0.0,0.0,0.0,1.0,31.988853179568522,31.988853179568522,1.0,0.0,0.0
2,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,4,16,40,756,30,0.01,0.92,0.001,1e-06,inferred,0.0001,80,1,1,quadratic_poisson,pyramid_local_field,True,1.0,1.8824694720960906,0.8555522960340974,0.4690762705900535,1.335055178891271,0.33376379472281775,0,0,source_row:87,source_row:87,0.007128140110621983,-0.007128140110621983,0.08442831344177132,4.679492111311946,0.9899442606345483,31.988853179568522,30.474994644926213,1.0,0.0,0.0
