observer_mode,prior_scale,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_map_feature_cosine,mean_true_mass,median_N_eff_fraction
zero,0.5,256,0.609375,0.8742879766199879,0.9255938662591103,0.8608573023752752,0.3966852366862985,0.6721519742822251
joint,0.5,256,0.796875,0.9266980565122521,0.9444346367576599,0.9513205656027092,0.46225930709944885,0.7845269945517425
best_single_tau,0.5,256,0.83203125,0.9279617763326482,0.9471720733479491,0.9584917595547299,0.4611825742835264,0.7959402653788958
linear_continuous,0.5,256,0.484375,0.83473807317538,0.9950480441258567,0.8289207992142972,0.4679290032219327,0.2500001350316797
quadratic_profile,0.5,256,0.61328125,0.8937331752265014,0.9999493416540531,0.8869176016713155,0.5985472080738369,0.2500552310658746
quadratic_poisson,0.5,256,0.7890625,0.915748592860833,0.9339813181235622,0.9432358311577835,0.42772816243836703,0.8334470880255097
known,0.5,256,1.0,0.9525628067670481,0.96650200094225,1.0,0.543264575183102,0.6672643718483452
zero,1.0,256,0.390625,0.8263848964355318,0.8861813452388629,0.7726769045992838,0.33961917613408704,0.5060949767191283
joint,1.0,256,0.80078125,0.9285251399264254,0.9458957750410522,0.9555744009089999,0.4661198082981935,0.7602082474064104
best_single_tau,1.0,256,0.8203125,0.9297287744775564,0.9451508630927898,0.965374998932894,0.4642364059430586,0.7736985576094701
linear_continuous,1.0,256,0.296875,0.7401281132996185,0.6752178303572399,0.7363521791426546,0.27985555697616527,0.25000000069553074
quadratic_profile,1.0,256,0.546875,0.8503330884143443,0.9966442666753133,0.8465668588861099,0.49970340363761606,0.25031186703949115
quadratic_poisson,1.0,256,0.703125,0.910335603072445,0.9232557975392239,0.9244441718038235,0.4158108222683058,0.8595465892428115
known,1.0,256,1.0,0.9585716901356965,0.9704602883057933,1.0,0.5692372776557224,0.6135551383662913
zero,2.0,256,0.3359375,0.7787143121085309,0.8161046285917566,0.7368329514055354,0.30772369034076225,0.37306398435757543
joint,2.0,256,0.7109375,0.9243728095277356,0.9498190272131672,0.9314132809867326,0.47095896519176444,0.7398758910294083
best_single_tau,2.0,256,0.69921875,0.9223390935758542,0.9438428270093852,0.9241821212231118,0.46430770540617805,0.7504312382793673
linear_continuous,2.0,256,0.25390625,0.7090331143315615,0.6114327914545903,0.708494701656769,0.23313581762991348,0.25
quadratic_profile,2.0,256,0.42578125,0.821093127148679,0.9576811497617324,0.8080344028060635,0.4113869253186468,0.2502586340721476
quadratic_poisson,2.0,256,0.60546875,0.9039985930308769,0.9180896407955088,0.8690757932979795,0.4140694149799351,0.8100215163346967
known,2.0,256,1.0,0.9668119328344322,0.9734778493797606,1.0,0.6095136430748158,0.5675954744195006
