run_family,run_slug,run_label,observer_mode,latent,prior_scale,posterior_temperature,n,image_accuracy,mean_feature_cosine,median_feature_cosine,mean_true_mass,median_N_eff_fraction
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,0.5,0.5,256,0.7109375,0.9028037765322232,0.96132826272544,0.48407896487403357,0.5757579015734625
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,0.5,1.0,256,0.7109375,0.8947252859025491,0.9308317476930714,0.41397657435851987,0.7495763755701825
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,0.5,2.0,256,0.7109375,0.8837200089813557,0.8966766778868598,0.35102872933869544,0.889522987341799
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,0.5,4.0,256,0.7109375,0.8712151508536388,0.8734443073523359,0.30754429813613515,0.9672141367901009
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,0.5,8.0,256,0.7109375,0.8613677482658967,0.8534974788033668,0.28117945723788546,0.9919897764133607
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,0.5,16.0,256,0.7109375,0.8545741898463982,0.8469774297637507,0.26609511487644266,0.9979820927312695
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,1.0,0.125,256,0.54296875,0.8664487388056414,0.9920557819651089,0.5079117635032022,0.26847241384954956
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,1.0,0.25,256,0.54296875,0.8717510976001538,0.9778088985164053,0.4852741125721789,0.35401097672842596
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,1.0,0.5,256,0.54296875,0.8750827271828824,0.9563605906574573,0.4478843203421618,0.5001667861421291
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,1.0,1.0,256,0.54296875,0.8752665888321809,0.9158872620250684,0.40084672322863873,0.6838951329290925
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,1.0,2.0,256,0.54296875,0.8730467132068823,0.899558774579325,0.35144457989900196,0.8517401675918512
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,1.0,4.0,256,0.54296875,0.8676141240792085,0.8766777380649053,0.3094536273836718,0.9509189382371855
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,1.0,8.0,256,0.54296875,0.860294591840338,0.857093125505185,0.28138308272848644,0.9853848025792689
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,1.0,16.0,256,0.54296875,0.854197147329718,0.8466946737154606,0.2659658452953876,0.9960010189699405
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,2.0,0.125,256,0.4296875,0.8074148778275119,0.9383221016628892,0.4103483252171179,0.25072671109848116
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,2.0,0.25,256,0.4296875,0.815545840603929,0.9046346024251383,0.4029897175454759,0.27186085451381115
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,2.0,0.5,256,0.4296875,0.8276499370525013,0.9117773134757294,0.3896961415965524,0.3826334892580199
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,2.0,1.0,256,0.4296875,0.8435838015879454,0.9108607449811053,0.37118268229060253,0.5083973227402885
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,2.0,2.0,256,0.4296875,0.8569882000894613,0.8893192780289472,0.3461599078997695,0.6832114961907608
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,2.0,4.0,256,0.4296875,0.8638154947068678,0.87706817743884,0.3170469906964355,0.860806945831859
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,2.0,8.0,256,0.4296875,0.8623454218669246,0.8592433623947073,0.2906613069236367,0.9554611138010214
no_anchor,noanchor_ar1,No-anchor AR(1),continuous_joint,pyramid_local_field,2.0,16.0,256,0.4296875,0.8570371956888566,0.8511711554209509,0.27196488267973107,0.9882981584865997
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,0.5,0.125,256,0.70703125,0.9105285808675404,0.9969891172197323,0.5999073886708381,0.28144744846978764
no_anchor,noanchor_brownian_ctf,No-anchor Brownian CTF,continuous_joint,pyramid_local_field,0.5,0.25,256,0.70703125,0.908396216552581,0.9853601177076163,0.5473920269658208,0.4383560217137976
