row_type,run_slug,run_label,n_eval,image_accuracy,mean_feature_cosine,mean_true_mass,median_N_eff_fraction,image_accuracy_ci_low,image_accuracy_ci_high,mean_feature_cosine_ci_low,mean_feature_cosine_ci_high,fraction_feature_delta_positive
run,scale0p5_k10_ridge0p01,"0.5x k=10, ridge 0.01",256,0.81640625,0.9179320209324762,0.4266101825726798,0.8390854358335921,,,,,
run,scale0p5_k10_ridge0p1,"0.5x k=10, ridge 0.1",256,0.796875,0.9174505161729383,0.4284591162597752,0.8432005554996929,,,,,
paired_delta,scale0p5_k10_ridge0p1_minus_ridge0p01,0.5x k=10 ridge 0.1 - ridge 0.01,256,-0.01953125,-0.0004815047595379462,,,-0.04296875,0.0,-0.001990837602788894,0.0008844650581300103,0.4921875
