table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_trajectories,n_timebins,n_units,true_candidate_index,true_image_id,true_trajectory_index,nearest_trajectory_index,nearest_trajectory_distance,kalman_alpha,kalman_process_var,observation_model,time_smoothing_sigma,time_shrinkage,continuous_score_mode,catalog_residual_aggregation,catalog_residual_top_k,catalog_residual_all_anchor_shrinkage,basis_source,basis_dim,known_pred_candidate_index,known_pred_image_id,known_correct,known_true_rank,known_true_margin,known_true_score,zero_pred_candidate_index,zero_pred_image_id,zero_correct,zero_true_rank,zero_true_margin,zero_true_score,joint_pred_candidate_index,joint_pred_image_id,joint_correct,joint_true_rank,joint_true_margin,joint_true_score,best_single_tau_pred_candidate_index,best_single_tau_pred_image_id,best_single_tau_correct,best_single_tau_true_rank,best_single_tau_true_margin,best_single_tau_true_score,continuous_joint_pred_candidate_index,continuous_joint_pred_image_id,continuous_joint_correct,continuous_joint_true_rank,continuous_joint_true_margin,continuous_joint_true_score,continuous_joint_minus_zero_true_score,continuous_joint_score_corr_with_zero,catalog_residual_true_best_anchor_index,catalog_residual_true_best_anchor_score,catalog_residual_true_anchor_logmean_score,catalog_residual_true_anchor_score_gap,catalog_residual_true_anchor_aggregate_count,trajectory_rmse,trajectory_corr_x,trajectory_corr_y,trajectory_corr_mean,trajectory_r2,trajectory_hat_rms,trajectory_true_rms,true_residual_lift,continuous_top_comp_residual_lift,true_lift_minus_top_comp_lift,transition_best_to_residual,margin_gain_vs_best_single
0,0,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,16,40,756,0,source_row:25,-1,2,0.0235040225088596,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:25,True,1.0,0.4585033296139613,-292.2846528359316,1,source_row:9427,False,3.0,-0.4722450351436009,-293.7358086775656,0,source_row:25,True,1.0,0.1320600058440959,-293.1045073805971,0,source_row:25,True,1.0,0.2305293538828436,-292.58798339670204,0,source_row:25,True,1.0,0.2264304051935823,-292.6067628858087,1.12904579175688,0.8116061675498969,15,-292.52069367525684,-292.90496939438407,0.3842757191272312,2,0.0230811903853346,0.5738992979666323,-0.3985513946365344,0.0876739516650489,-1.4136964887170498,0.0202059565115536,0.0148565125433322,-0.018779489106634628,-0.014680540417373322,-0.004098948689261306,both_correct,-0.004098948689261306
1,1,0,response_tables/trial_00000_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,16,40,756,0,source_row:25,-1,2,0.0165096595883369,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:25,True,1.0,0.4585033296139613,-292.2846528359316,1,source_row:9427,False,3.0,-0.4722450351436009,-293.7358086775656,0,source_row:25,True,1.0,0.1313554544774433,-293.1048725970841,0,source_row:25,True,1.0,0.2205910861048892,-292.513691067613,0,source_row:25,True,1.0,0.2448002782178946,-292.56609934943447,1.1697093281310913,0.8231198174092476,15,-292.48005029931346,-292.87934464842664,0.3992943491131768,2,0.0159695911795555,0.6601178538922693,0.5766335238241902,0.6183756888582297,-0.1554571618763243,0.0195277049599467,0.0148565125433322,-0.052408281821442415,-0.07661747393450469,0.024209192113062272,both_correct,0.0242091921130054
2,2,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,16,40,756,0,source_row:25,-1,13,0.0451176315546035,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:25,True,1.0,0.4901839647392876,-396.5620352002388,3,source_row:11021,False,4.0,-3.6006411624255747,-408.7944911213511,0,source_row:25,True,1.0,0.189649798885739,-398.8286994021529,0,source_row:25,True,1.0,0.2704393984897706,-397.4280693203907,0,source_row:25,True,1.0,0.1825015763029682,-397.7425016963368,11.051989425014312,-0.6646050532253756,4,-397.3370715299434,-398.5438964343542,1.2068249044107802,2,0.0556997563352286,0.6864185656709155,-0.6427390667714871,0.0218397494497142,-2.514089767480121,0.0513175934054725,0.0297130250866645,-0.314432375946069,-0.2264945537592098,-0.0879378221868592,both_correct,-0.0879378221868024
3,3,1,response_tables/trial_00001_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,16,40,756,0,source_row:25,-1,7,0.0266389772295951,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:25,True,1.0,0.4901839647392876,-396.5620352002388,3,source_row:11021,False,4.0,-3.6006411624255747,-408.7944911213511,1,source_row:9427,False,2.0,-0.0163723332235576,-398.78113411129584,0,source_row:25,True,1.0,0.2400275421654214,-397.3139856654335,0,source_row:25,True,1.0,0.1572697850928648,-397.4999683206205,11.29452280073059,-0.6278702764622068,4,-397.1546413813317,-398.3884999208727,1.233858539540961,2,0.0274116198884593,0.7362499634503556,0.5799672675220832,0.6581086154862195,0.1489096573972846,0.0338098433928726,0.0297130250866645,-0.1859826551869901,-0.10322489811449032,-0.08275775707249977,both_correct,-0.08275775707255661
4,4,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,16,40,756,0,source_row:25,-1,4,0.0954675748944282,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:25,True,1.0,0.644002530185503,-551.3237321021053,3,source_row:11021,False,4.0,-10.07175906356474,-594.7724362947597,2,source_row:9142,False,3.0,-0.5056345907526065,-556.7730129532251,2,source_row:9142,False,3.0,-0.4414469924191735,-554.9915224701324,1,source_row:9427,False,3.0,-0.2467409969168557,-554.725881757837,40.04655453692271,-0.6088328872910964,15,-554.2309759435824,-555.8546045692791,1.6236286256967103,2,0.1055093493822738,0.8043470520461825,-0.5954723739693757,0.1044373390384034,-2.152304481458512,0.0977125146140999,0.059426050173329,0.26564071229540787,0.1513889761321252,0.11425173616328266,both_wrong,0.19470599550231782
5,5,2,response_tables/trial_00002_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,1.0,4,16,40,756,0,source_row:25,-1,10,0.0689588785171508,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:25,True,1.0,0.644002530185503,-551.3237321021053,3,source_row:11021,False,4.0,-10.07175906356474,-594.7724362947597,1,source_row:9427,False,3.0,-0.3701451009662833,-556.3121350930946,2,source_row:9142,False,3.0,-0.3715791187636341,-554.6721761198777,0,source_row:25,True,1.0,0.0191423427618246,-554.3178606510145,40.454575643745216,-0.6694249295267543,15,-553.8547452600524,-555.499753572129,1.645008312076584,2,0.083952497104205,0.7535970794374596,0.5848952325156352,0.6692461559765475,-0.9957838606119144,0.0954930609229776,0.059426050173329,0.35431546886320575,-0.015217621099395728,0.3695330899626015,rescued_by_residual,0.39072146152545867
6,6,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,16,40,756,0,source_row:76,-1,1,0.0810113176703453,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:76,True,1.0,0.4546756605615769,-509.9374792197064,2,source_row:11021,False,3.0,-4.246743497816055,-536.0127500115244,0,source_row:76,True,1.0,0.0667493245773585,-518.7099027060607,0,source_row:76,True,1.0,0.672800059260453,-516.0125036907509,1,source_row:7530,False,3.0,-0.3311420967929734,-515.4300600828175,20.58268992870694,-0.5466287085988123,14,-514.7459153862003,-516.8404872267981,2.094571840597837,2,0.1110580505386474,-0.2449867081618884,0.5265624329461482,0.1407878623921299,-0.7130403675571702,0.1250425699264047,0.0848528135464297,0.5824436079334419,3.6946929716524437,-3.112249363719002,lost_by_residual,-1.0039421560534265
7,7,3,response_tables/trial_00003_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,16,40,756,0,source_row:76,-1,13,0.1201969683170318,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:76,True,1.0,0.4546756605615769,-509.9374792197064,2,source_row:11021,False,3.0,-4.246743497816055,-536.0127500115244,3,source_row:4203,False,3.0,-0.5123373635935877,-517.6257475234204,3,source_row:4203,False,3.0,-0.4689748203676345,-515.5961419171734,3,source_row:4203,False,2.0,-0.2569479806949175,-513.7232490662947,22.289500945229747,0.9305968926580592,8,-513.3843472469329,-514.919968806416,1.535621559483161,2,0.1547768424585464,0.2781273864863181,0.656856815279732,0.467492100883025,-2.3272043155671263,0.136476440837025,0.0848528135464297,1.8728928508787703,1.6608660112060534,0.21202683967271696,both_wrong,0.21202683967271702
8,8,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,16,40,756,0,source_row:76,-1,1,0.0744054690003395,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:76,True,1.0,0.4546756605615769,-509.9374792197064,2,source_row:11021,False,3.0,-4.246743497816055,-536.0127500115244,3,source_row:4203,False,2.0,-0.8267888533423502,-517.0775549398435,3,source_row:4203,False,2.0,-0.5482839191239464,-515.1556928738586,3,source_row:4203,False,2.0,-0.2491536826129277,-513.9900163013231,22.02273371020135,0.7368363853827702,10,-513.4687921344486,-515.294333014765,1.8255408803164528,2,0.1153810345619289,-0.0584931778387771,0.7701218908489852,0.355814356505104,-0.8489976663984908,0.1622083327591723,0.0848528135464297,1.1656765725355172,0.8665463360244985,0.29913023651101867,both_wrong,0.29913023651101867
9,9,4,response_tables/trial_00004_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,16,40,756,0,source_row:76,-1,0,0.121529497206211,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:76,True,1.0,0.4546756605615769,-509.9374792197064,2,source_row:11021,False,3.0,-4.246743497816055,-536.0127500115244,3,source_row:4203,False,2.0,-0.0433998110023594,-515.3573047103503,0,source_row:76,True,1.0,0.2265434250866747,-513.7197935209099,0,source_row:76,True,1.0,0.1059398245749889,-513.0879170504245,22.924832961099924,0.8570914088520281,10,-512.865334029962,-513.8299566320322,0.9646226020702215,2,0.1239313057355601,-0.1895116228355153,0.1676727519087641,-0.0109194354633755,-1.1331900850360743,0.0863637941674518,0.0848528135464297,0.6318764704853947,0.7524800709970805,-0.12060360051168573,both_correct,-0.12060360051168578
