table_index,manifest_table_index,trial_id,response_cache_path,candidate_set_mode,observation_family,prior_family,prior_scale,axis_catalog_mode,likelihood_scale,n_candidates,n_trajectories,n_timebins,n_units,true_candidate_index,true_image_id,true_trajectory_index,nearest_trajectory_index,nearest_trajectory_distance,kalman_alpha,kalman_process_var,observation_model,time_smoothing_sigma,time_shrinkage,continuous_score_mode,catalog_residual_aggregation,catalog_residual_top_k,catalog_residual_all_anchor_shrinkage,basis_source,basis_dim,known_pred_candidate_index,known_pred_image_id,known_correct,known_true_rank,known_true_margin,known_true_score,zero_pred_candidate_index,zero_pred_image_id,zero_correct,zero_true_rank,zero_true_margin,zero_true_score,joint_pred_candidate_index,joint_pred_image_id,joint_correct,joint_true_rank,joint_true_margin,joint_true_score,best_single_tau_pred_candidate_index,best_single_tau_pred_image_id,best_single_tau_correct,best_single_tau_true_rank,best_single_tau_true_margin,best_single_tau_true_score,continuous_joint_pred_candidate_index,continuous_joint_pred_image_id,continuous_joint_correct,continuous_joint_true_rank,continuous_joint_true_margin,continuous_joint_true_score,continuous_joint_minus_zero_true_score,continuous_joint_score_corr_with_zero,catalog_residual_true_best_anchor_index,catalog_residual_true_best_anchor_score,catalog_residual_true_anchor_logmean_score,catalog_residual_true_anchor_score_gap,catalog_residual_true_anchor_aggregate_count,trajectory_rmse,trajectory_corr_x,trajectory_corr_y,trajectory_corr_mean,trajectory_r2,trajectory_hat_rms,trajectory_true_rms,true_residual_lift,continuous_top_comp_residual_lift,true_lift_minus_top_comp_lift,transition_best_to_residual,margin_gain_vs_best_single
10,10,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,16,40,756,0,source_row:76,-1,9,0.0678257346153259,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:76,True,1.0,0.4546756605615769,-509.9374792197064,2,source_row:11021,False,3.0,-4.246743497816055,-536.0127500115244,3,source_row:4203,False,3.0,-0.5582674287194322,-515.1083764061464,3,source_row:4203,False,3.0,-0.5941483564348573,-514.036388222743,3,source_row:4203,False,2.0,-0.4291923464101046,-513.3151733763149,22.697576635209543,0.8648034451128227,0,-513.1070230333394,-514.0348701120578,0.9278470787184006,2,0.0854194849531909,-0.2705593916762629,0.8986691499421565,0.3140548791329468,-0.0134011726901237,0.1458208433800835,0.0848528135464297,0.7212148464280972,0.5562588364033445,0.1649560100247527,both_wrong,0.1649560100247527
11,11,5,response_tables/trial_00005_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,1.0,4,16,40,756,0,source_row:76,-1,15,0.1292713582515716,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:76,True,1.0,0.4546756605615769,-509.9374792197064,2,source_row:11021,False,3.0,-4.246743497816055,-536.0127500115244,0,source_row:76,True,1.0,0.1234085282976593,-513.7904954919285,0,source_row:76,True,1.0,0.2453369208407139,-512.2275029705752,0,source_row:76,True,1.0,0.1797940382862179,-512.3429255069587,23.669824504565668,0.8399559292397758,0,-511.9704188112789,-513.0818969596203,1.111478148341348,2,0.1034770633806442,0.1738612871456141,0.7138047130009803,0.4438330000732972,-0.4871531521301238,0.0641741319336363,0.0848528135464297,-0.11542253638356215,-0.04987965382906623,-0.06554288255449592,both_correct,-0.065542882554496
12,12,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,16,40,756,0,source_row:87,-1,0,0.0146469855681061,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:87,True,1.0,2.7623847639350174,-365.93380360521536,0,source_row:87,True,1.0,2.6381113070721085,-366.69287386772726,0,source_row:87,True,1.0,2.5545020850354376,-366.7984436108312,0,source_row:87,True,1.0,2.5231893404770744,-366.19308088618857,0,source_row:87,True,1.0,2.5352463631881506,-366.2640081791002,0.4288656886270132,0.801564736539497,0,-366.1339151441655,-366.67420223546816,0.5402870913026732,2,0.0309176082611852,0.6221847249579968,-0.2650516819554877,0.1785665215012545,-3.908924615904688,0.0359151980530493,0.0139544495130084,-0.07092729291161959,-0.08298431562280939,0.012057022711189802,both_correct,0.012057022711076115
13,13,6,response_tables/trial_00006_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,16,40,756,0,source_row:87,-1,12,0.0209218095988035,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:87,True,1.0,2.7623847639350174,-365.93380360521536,0,source_row:87,True,1.0,2.6381113070721085,-366.69287386772726,0,source_row:87,True,1.0,2.344072989669769,-367.10687067224586,0,source_row:87,True,1.0,2.501609442407186,-366.18620437450096,0,source_row:87,True,1.0,2.4527594785448628,-366.3157326204737,0.3771412472535758,0.9386733813098572,12,-366.1483981480571,-366.9749528819135,0.8265547338564261,2,0.0245028041982774,0.5237585169577891,0.5431498956369593,0.5334542062973742,-2.083231694340229,0.0248506154388351,0.0139544495130084,-0.12952824597272183,-0.08067828211039796,-0.048849963862323875,both_correct,-0.04884996386232343
14,14,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,16,40,756,0,source_row:87,-1,1,0.0314196497201919,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:87,True,1.0,3.717943609036524,-434.4503626031169,0,source_row:87,True,1.0,3.537060860111069,-439.4296722245617,0,source_row:87,True,1.0,2.670588368553638,-436.18338650679215,0,source_row:87,True,1.0,2.6228318598925284,-435.5208197751644,0,source_row:87,True,1.0,2.547518210706585,-435.5048478633968,3.924824361164896,0.8925742584788676,9,-435.4118264673372,-435.8846583042804,0.4728318369431576,2,0.0426158295901334,0.3574672342019977,0.2414649060292995,0.2994660701156486,-1.331613093399759,0.042820494421933,0.0279088990260169,0.015971911767621805,0.0912855609535086,-0.07531364918588679,both_correct,-0.07531364918594363
15,15,7,response_tables/trial_00007_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel1x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,1.0,per_candidate,1.0,4,16,40,756,0,source_row:87,-1,0,0.0399570688605308,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:87,True,1.0,3.717943609036524,-434.4503626031169,0,source_row:87,True,1.0,3.537060860111069,-439.4296722245617,0,source_row:87,True,1.0,3.230087677371728,-436.2757862072176,0,source_row:87,True,1.0,3.266395624726385,-435.3810916868399,0,source_row:87,True,1.0,3.163792244958529,-435.4465472215165,3.983125003045189,0.802725880599956,12,-435.23641592085664,-436.0396854083889,0.8032694875322477,2,0.0474728052718159,-0.2809216250694104,-0.2936607796233953,-0.2872912023464029,-1.893372723538575,0.0342011649037172,0.0279088990260169,-0.06545553467657328,0.037147845091112686,-0.10260337976768596,both_correct,-0.10260337976785605
16,16,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel2x.npz,hard_negative_structure,empirical,axis_edge_parallel,2.0,per_candidate,1.0,4,16,40,756,0,source_row:87,-1,14,0.0750414580106735,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:87,True,1.0,4.0253786812668295,-541.5873072297384,0,source_row:87,True,1.0,4.757431641024596,-559.9584316107132,0,source_row:87,True,1.0,2.215833897442849,-544.7061084134026,0,source_row:87,True,1.0,2.50563936931826,-543.5205480977253,0,source_row:87,True,1.0,2.4255382965997114,-543.6112581417499,16.34717346896332,0.954594881770212,4,-543.2871867164743,-544.3668412671036,1.079654550629357,2,0.0566678309856713,0.6501609731872191,-0.198379469773255,0.225890751706982,-0.0306893290344456,0.0604581236282853,0.0558177980520338,-0.09071004402460403,-0.010608971306055537,-0.0801010727185485,both_correct,-0.0801010727185485
17,17,8,response_tables/trial_00008_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel2x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,2.0,per_candidate,1.0,4,16,40,756,0,source_row:87,-1,7,0.0836718454957008,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:87,True,1.0,4.0253786812668295,-541.5873072297384,0,source_row:87,True,1.0,4.757431641024596,-559.9584316107132,0,source_row:87,True,1.0,4.070327459484247,-544.2540242484866,0,source_row:87,True,1.0,4.02315729736074,-543.3483718754817,0,source_row:87,True,1.0,3.743458189215289,-543.4308287399956,16.5276028707176,0.8036901008033849,7,-543.2459582600159,-544.0151204973648,0.7691622373489508,2,0.0651003809003505,0.6119411219211073,0.3073191785974845,0.4596301502592959,-0.3602591598821527,0.0485279773489653,0.0558177980520338,-0.0824568645139152,0.19724224363153553,-0.27969910814545074,both_correct,-0.27969910814545074
18,18,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_parallel,0.5,per_candidate,1.0,4,16,40,756,0,source_row:369,-1,2,0.0179103221744298,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:369,True,1.0,0.95741833417037,-366.74183845086407,0,source_row:369,True,1.0,1.2389787444774356,-367.50236624074455,0,source_row:369,True,1.0,0.687620166146246,-367.8948177982771,0,source_row:369,True,1.0,0.669617250386068,-367.1551805968244,0,source_row:369,True,1.0,0.6158291886214329,-367.2158433336601,0.2865229070844179,0.9807118946582344,0,-367.08361244984087,-367.7388958031414,0.6552833533005469,2,0.0246644059493201,-0.1370226104615378,-0.0076900447190881,-0.072356327590313,-2.541706153279845,0.0194085387522038,0.0131058259717522,-0.06066273683569534,-0.0068746750711170534,-0.05378806176457829,both_correct,-0.05378806176463513
19,19,9,response_tables/trial_00009_hard_negative_structure_obs-empirical_prior-axis_edge_orthogonal_rel0p5x.npz,hard_negative_structure,empirical,axis_edge_orthogonal,0.5,per_candidate,1.0,4,16,40,756,0,source_row:369,-1,0,0.0223022680729627,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:369,True,1.0,0.95741833417037,-366.74183845086407,0,source_row:369,True,1.0,1.2389787444774356,-367.50236624074455,0,source_row:369,True,1.0,0.744080848979138,-368.0001531349455,0,source_row:369,True,1.0,0.6466480879581127,-367.259162098517,0,source_row:369,True,1.0,0.6686391800562888,-367.32114816656303,0.1812180741815154,0.9827982392330856,13,-367.190236743011,-367.8318762240477,0.641639481036691,2,0.0532436497327858,0.6555300545465852,-0.1356624875361898,0.2599337835051977,-15.504669869281845,0.0514974121849828,0.0131058259717522,-0.06198606804605333,-0.08397716014411571,0.02199109209806238,both_correct,0.021991092098176068
20,20,10,response_tables/trial_00010_hard_negative_structure_obs-empirical_prior-axis_edge_parallel_rel1x.npz,hard_negative_structure,empirical,axis_edge_parallel,1.0,per_candidate,1.0,4,16,40,756,0,source_row:369,-1,9,0.0343385972082614,0.7,0.01,time_varying,1.5,0.5,catalog_residual_profile,topk_logmeanexp,2,0.19,outputs/fixation_statistics_by_stimulus_all_sessions_after_review/backimage_image_disjoint_compact_basis_delta025_v1/image_disjoint_compact_basis_delta0p25_fold0of2.npz,10,0,source_row:369,True,1.0,0.95852760332275,-430.4368154392996,0,source_row:369,True,1.0,2.1872862703841065,-434.97318125818754,0,source_row:369,True,1.0,0.794762975095523,-432.3464702178996,0,source_row:369,True,1.0,0.6375843825508127,-431.4215422798369,0,source_row:369,True,1.0,0.6517541218774454,-431.4432609756043,3.529920282583248,0.9877084461799852,9,-431.27554662553166,-432.0970780172468,0.8215313917150979,2,0.0566008483718238,0.3507089095101456,0.0178879817645107,0.1842984456373282,-3.6629106812154593,0.0577680358784598,0.0262116519435045,-0.021718695767390273,-0.03588843509396611,0.014169739326575836,both_correct,0.01416973932663268
